pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Possession in,furnishing,features,ratings,Overlooking,Property Age
"2 BHK Flat in Awadhpuri, Bhopal",Regal Nest,₹22 Lac,"₹3,554 /sqft",Ready To Move,"This property is ideally located near the regal civic center, offering easy access to multiple facilities such as a cinema, reliance store, and hotel regal grand. The society is well-Maintained, situated within a covered campus with 24/7 security for complete peace of mind. A temple within the campus adds to the serene environment, and ample car parking space is available. The property comprises two blocks, each equipped with lift facilities, ensuring convenience for all residents.","Carpet area: 619
(57.51 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac+ Govt Charges & Tax
@ 3,554 per sq.ft. (Negotiable)","Regal Nest
Awadhpuri, Bhopal",4th   of 6 Floors,East,,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,1 to 5 Year Old
"4 BHK Flat in Shirdipuram, Bhopal",Western Courtyard,₹85 Lac,"₹5,667 /sqft",Ready To Move,"Located in the popular residential address of shirdipuram, bhopal, western courtyard is one of the most preferred destination for apartments in bhopal. This 4 bhk flat is your ticket to be a part of this community. This residential flat is south-West-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms . All in all, the flat is spread over a built up area of 1500 sq.Ft. The property is located on the 4th floor of a 8 floors tall building. This 5-10 years old property is available for immediate possession as the project is ready to move.","Built Up area: 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, No Balcony","₹ 85 Lac
@ 5,667 per sq.ft. View Price Details","Western Courtyard
Shirdipuram, Bhopal",4th   of 8 Floors,South-West,undefined,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,
"2 BHK Flat in Jayshree Apartment, Bhopal",Idgah hills,₹12 Lac,"₹2,390 /sqft",Ready To Move,"The prime location of this apartment , close to grocery mart, gurudwara, mosque, church,school , gym and cafeteria makes it an amazing place for your stay.","Carpet area: 502
(46.64 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 12 Lac
@ 2,390 per sq.ft. (Negotiable)","Idgah hills
Jayshree Apartment, Bhopal",3rd   of 6 Floors,,,[],"['Water Storage', 'Visitor Parking']",[],Main Road,10+ Year Old
"2 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹20 Lac,"₹2,882 /sqft",Ready To Move,"Nirupam royal palms is one of bhopal's most sought after destination for apartments and this 2 bhk flat in hoshangabad road is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a built up area of 694 sq.Ft. The flat has a total of 6 floors and this property is situated on top floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move.","Built Up area: 694
(64.47 sq.m.)
Carpet area: 575 sq.ft. (53.42 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 20 Lac
@ 2,882 per sq.ft. View Price Details","Nirupam Royal Palms
Hoshangabad Road, Bhopal",6th   of 6 Floors,,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Janki Nagar, Bhopal",Unihomes Bhopal,₹17 Lac,"₹2,267 /sqft",Ready To Move,"This lovely 2 bhk apartment/flat in janki nagar is available for sale in one of bhopal's most popular projects, unihomes bhopal. The flat is over 750 sq.Ft. Built up area and comes with 2 bedroom(s), 2 bathrooms . The property is located on the 1st floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Built Up area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 17 Lac
@ 2,267 per sq.ft.","Unihomes Bhopal
Janki Nagar, Bhopal",1st   of 6 Floors,,undefined,[],[],[],,
"2 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹21 Lac,"₹2,471 /sqft",Ready To Move,"Nirupam royal palms is one of bhopal's most sought after destination for apartments and this 2 bhk flat in hoshangabad road is your opportunity to be a part of this community. The flat is over 850 sq.Ft. Built up area and comes with 2 bedroom(s), 1 bathroom and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 2nd floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","Built Up area: 850
(78.97 sq.m.)
Carpet area: 820 sq.ft. (76.18 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 21 Lac
@ 2,471 per sq.ft.","Nirupam Royal Palms
Hoshangabad Road, Bhopal",2nd   of 6 Floors,,undefined,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Nayapura, Bhopal",Fame Lalita Nagar,₹22.5 Lac,"₹3,103 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fame lalita nagar, nayapura, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 725 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 725
(67.35 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22.5 Lac
@ 3,103 per sq.ft.","Fame Lalita Nagar
Nayapura, Bhopal",2nd   of 4 Floors,,,[],[],[],,5 to 10 Year Old
"1 BHK Flat in ratnagiri jaswant apartment, Bhopal",ratnagiri,₹10.5 Lac,"₹2,100 /sqft",Ready To Move,Near highway 50meter and in front of tarun pushkar,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Pooja Room","₹ 10.5 Lac+ Govt Charges & Tax
@ 2,100 per sq.ft. (All inclusive, Negotiable)","ratnagiri
ratnagiri jaswant apartment, Bhopal",2nd   of 3 Floors,East,,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],[],,10+ Year Old
"3 BHK Flat in Rajharsh Colony, Bhopal",Navaakar Parke Serene,₹32 Lac,"₹2,723 /sqft",Ready To Move,Natural sunlight in entire flat,"Super Built up area 1175
(109.16 sq.m.)
Built Up area: 1050 sq.ft. (97.55 sq.m.)
Carpet area: 960 sq.ft. (89.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32 Lac+ Govt Charges & Tax
@ 2,723 per sq.ft. (Negotiable)","Navaakar Parke Serene
Rajharsh Colony, Bhopal",5th   of 6 Floors,,,"['4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '8 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '4 Wardrobe', '1 Sofa', '1 Microwave', 'No AC', 'No Dining Table', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Swimming Pool'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹22 Lac,"₹2,820 /sqft",Ready To Move,"Judge covered campus, close to nature, civilised locality","Carpet area: 780
(72.46 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 22 Lac
@ 2,820 per sq.ft. (All inclusive)","IBD Hallmark Citii
Mahawadiya, Bhopal",3rd   of 4 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"2 BHK Flat in Chitragupt Nagar, Bhopal",Vardhaman Enclave,₹25 Lac,"₹3,333 /sqft",Ready To Move,"It in prime location at the heart of the city , market, school and hispitals within one killometer. And 1.5km away from new market.","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (Negotiable)","Vardhaman Enclave
Chitragupt Nagar, Bhopal",1st   of 2 Floors,East,,"['1 Bed', '3 Wardrobe', '1 Water Purifier', '4 Fan', '1 Sofa', '5 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']",[],[],,10+ Year Old
"2 BHK Flat in Kolar Road, Bhopal",Unitech Unihomes,₹19 Lac,"₹1,936 /sqft",Ready To Move,I am first owner and want to sell it asap as moved to different city.,"Carpet area: 981
(91.14 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 19 Lac
@ 1,936 per sq.ft. (Negotiable)","Unitech Unihomes
Kolar Road, Bhopal",5th   of 6 Floors,,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old
"3 BHK Flat in Misrod, Bhopal",Shrinath Sheetal Heights,₹27 Lac,"₹2,250 /sqft",Ready To Move,Spacious rooms and well maintained lift,"Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 27 Lac
@ 2,250 per sq.ft.","Shrinath Sheetal Heights
Misrod, Bhopal",1st   of 7 Floors,,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,0 to 1 Year Old
"3 BHK Flat in Hoshangabad Road, Bhopal",Sagar Royal Villas,₹39 Lac,"₹3,250 /sqft",Ready To Move,"Sagar royal villas is one of bhopal's most sought after destination for apartments and this 3 bhk flat in hoshangabad road is your opportunity to be a part of this community. The flat is facing the north-East direction. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a built up area of 1200 sq.Ft. The property is located on the 4th floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Built Up area: 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 39 Lac
@ 3,250 per sq.ft.","Sagar Royal Villas
Hoshangabad Road, Bhopal",4th   of 6 Floors,North-East,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Janki Nagar, Bhopal",SBD Cosmos City,₹20 Lac,"₹2,167 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in sbd cosmos city, one of the most prominent projects for flats in janki nagar, bhopal. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a built up area of 923 sq.Ft. This flat is situated on the top floor of this 1 floor tall residential building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property.","Built Up area: 923
(85.75 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 20 Lac
@ 2,167 per sq.ft.","SBD Cosmos City
Janki Nagar, Bhopal",1st   of 1 Floors,,undefined,[],[],[],,
"3 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹85 Lac,"₹5,448 /sqft",Ready To Move,"Spacious 3bhk riverfront home with serene natural views, large windows, and abundant sunlight. Enjoy open living spaces, a modern kitchen, and private bedrooms. The balcony and garden overlook a peaceful flowing river, offering tranquility and a deep connection to natureideal for relaxed living or a rejuvenating retreat.","Carpet area: 1560
(144.93 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 85 Lac
@ 5,448 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",2nd   of 6 Floors,East,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club",0 to 1 Year Old
"1 BHK Flat in Kolar Road, Bhopal",Soumya Tulip Heights,₹16.5 Lac,"₹3,000 /sqft",Ready To Move,"Check out this 1 bhk apartment for sale in soumya tulip heights, a popular residential project that houses in-Demand flats in kolar road, bhopal. The flat occupies a built up area of 550 sq.Ft. That consists of 1 bedroom, 1 bathroom . The flat has a total of 1 floor and this property is situated on ground floor. This is a ready to move project and the property is 0-1 year old.","Built Up area: 550
(51.1 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 16.5 Lac
@ 3,000 per sq.ft.","Soumya Tulip Heights
Kolar Road, Bhopal",Ground of 1 Floors,,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Janki Nagar, Bhopal",IBD Hallmark Citii,₹19.5 Lac,"₹1,498 /sqft",Ready To Move,"Situated in kolar road, bhopal, ibd hallmark citii is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. The flat is over 1075 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms . This flat is situated on the top floor of this 3 floors tall residential building. As the project is already ready to move, so you can easily move into this 5 year old property.","Built Up area: 1075
(99.87 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 19.5 Lac
@ 1,498 per sq.ft.","IBD Hallmark Citii
Janki Nagar, Bhopal",3rd   of 3 Floors,,,[],[],[],,1 to 5 Year Old
"2 BHK Flat in Lambakheda, Bhopal",Kartik Kasturi Heights,₹25 Lac,"₹2,314 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in kartik kasturi heights, lambakheda, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1080 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1080
(100.34 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 25 Lac
@ 2,314 per sq.ft.","Kartik Kasturi Heights
Lambakheda, Bhopal",2nd   of 6 Floors,,,[],[],[],,5 to 10 Year Old    View Construction Status
"2 BHK Flat in Lambakheda, Bhopal",Kartik Kasturi Heights,₹25 Lac,"₹2,314 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in kartik kasturi heights, lambakheda, bhopal. This it is a and the unit is located on 2nd floor and has a carpet area of 1080 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The unit is located in a co-Operative society.","Carpet area: 1080
(100.34 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac
@ 2,314 per sq.ft.","Kartik Kasturi Heights
Lambakheda, Bhopal",2nd   of 6 Floors,,,[],[],[],,1 to 5 Year Old    View Construction Status
"3 BHK Flat in Hoshangabad Road, Bhopal",mahindra green woods,₹32 Lac,"₹2,370 /sqft",Ready To Move,"This 3 bhk flat is located in mahindra green woods, which houses some of the most spacious apartments in hoshangabad road, bhopal. The flat is over super built up area of 1350 sq.Ft. And comes with 2 bathrooms and 3 balconies. The property is located on the 1st floor of a 6 floor tall building. Being a ready to move project, you can expect immediate possession of this 5-10 year(s) old property.","Super Built up area 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 32 Lac
@ 2,370 per sq.ft.","mahindra green woods
Hoshangabad Road, Bhopal",1st   of 6 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"3 BHK Flat in Janki Nagar, Bhopal",IBD Hallmark Citii,₹25 Lac,"₹2,439 /sqft",Ready To Move,"This beautiful 3 bhk flat in janki nagar, bhopal is situated in ibd hallmark citii, one of the popular residential society in bhopal. The flat occupies a built up area of 1025 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 5 floors in total and the flat for sale is located on the top floor. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.","Built Up area: 1025
(95.23 sq.m.)
Carpet area: 725 sq.ft. (67.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 25 Lac
@ 2,439 per sq.ft.","IBD Hallmark Citii
Janki Nagar, Bhopal",5th   of 5 Floors,,undefined,[],[],[],,
