pname,society,colony,property_type,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area,zone,location,latitude,longitude
"2 BHK Flat in Dam Kheda, Bhopal",saikripa apartment mandakini colony kolar road,bhopal,Flat,38.0,3830,Ready To Move,"Well connected to the main road,all facilities like( Hospital, gym,grocery shop,banks, movie theater, branded out lets pizza hut, dominos, belzium buffle, vishal mega mart, indian cafe house, baapu ki kutitya, bata, khadim etc and many more) are available within 5min of reach. J.K hospital , maruti service centre, tvs, honda, hyundai are also very near.Bhoj university is also just within 400m distance.Property is located very much at the prime place where, it is very much demanded for rent to students, doctors, nurses.","Built Up area: 992
(92.16 sq.m.)
Carpet area: 694 sq.ft. (64.47 sq.m.)  
sq.ft.",2.0,East,10+ Year Old,"['3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '8 Light', '1 TV', '1 Modular Kitchen', '1 Curtains', '2 Bed', '4 Wardrobe', 'No AC', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Sofa', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors']","Park/Garden,Main Road,Others",2,2,2,Not Available,992.17,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Huzur, Bhopal",aks land mark sector a,bhopal,House,150.0,6250,Ready To Move,"Looking for buyer to purchase our house/villa available for sale in sector a, bhopal. Available at price of rs 15000000. It has carpet area of 2400 sqft. It has 4 bhk, 4 bathroom, 0 balcony.It is a freehold property","Carpet area: 2400
(222.97 sq.m.)  
sq.ft.",1.0,,1 to 5 Year Old,,,,4,4,0,Not Available,2400.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 Bedroom House for sale in Bangrasia, Bhopal",bangrasia,bhopal,House,35.0,5833,Ready To Move,"Connectivity to bhojpur, mandideep, bhopal main city. There is crpf camp within 500 meters range making it a perfect choice for renting out the first half separate portion of the house","Plot area 600
(55.74 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",1.0,East,1 to 5 Year Old,,['Water Storage'],,2,2,1,Not Available,600.03,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 BHK Flat in Sagar Eden Garden, Bhopal",hoshangabad road,bhopal,Flat,35.0,3608,Ready To Move,"It is semi furnished with all wooden work done, fans lights available","Carpet area: 970
(90.12 sq.m.)  
sq.ft.",5.0,North,5 to 10 Year Old,"['2 Wardrobe', '3 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Pool,Park/Garden,Club",2,2,1,Not Available,970.07,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 Bedroom House for sale in Pushpa Nagar, Bhopal",pushpa nagar,bhopal,House,70.0,5154,Ready To Move,Society is located near the city centre which makes it convenient for the people to reach out in shorten time period,"Plot area 1358
(126.16 sq.m.)  
sq.ft.",2.0,South,10+ Year Old,,,Park/Garden,3,2,0," pooja room,study room",1358.17,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Panchvati Market, Bhopal",panchvati market,bhopal,House,235.0,15666,Ready To Move,"It is a prime location property on 80 feet wide road. It can be used for commercial purpose ,like showroom ,beautyparlor, superbazar,bank, nursing home, doctors or any other purpose , it is only 1 km from aiims bhopal","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2.0,East,10+ Year Old,,"['Water Storage', 'Visitor Parking']",Main Road,4,3,1,Not Available,1500.06,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 Bedroom House for sale in Sourabh Colony, Bhopal",sourabh colony,bhopal,House,30.0,3333,Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 2 bhk house in sourabh colony, which is an ideal choice for a family. The floor plan additionally contains 2 bedrooms, 2 bathrooms and 2 balconies. All in all, the independent house is spread over a built up area of 900 sq.Ft. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 30 lac.","Built Up area: 900
(83.61 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.",1.0,,,,,,2,2,2,Not Available,900.09,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 BHK Flat in Professors Colony, Bhopal",luxe residences,bhopal,Flat,165.0,6600,Under Construction,Located in prime area of professors colony with 3 side road and centre of bhopal.,"Carpet area: 2500
(232.26 sq.m.)  
sq.ft.",5.0,North-East,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","Main Road,Others",4,4,2," pooja room,others with view floor plan",2500.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 Bedroom House for sale in Krishna Nagar, Bhopal",krishna nagar,bhopal,House,6.25,1388,Ready To Move,"House for sale near by polytechnic square, ttti road . 450 sq. Feet, teen shade","Plot area 450
(41.81 sq.m.)  
sq.ft.",1.0,East,10+ Year Old,,"['Water Storage', 'Park']",Others,2,2,1,Not Available,450.29,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"5 Bedroom House for sale in Akashganga Colony, Bhopal",akashganga colony,bhopal,House,150.0,12396,Ready To Move,"Property is at the great location, temple is front of the house and hospital is present nearby","Plot area 1210
(112.41 sq.m.)
Built Up area: 3420 sq.ft. (317.73 sq.m.)  
sq.ft.",3.0,South,1 to 5 Year Old,"['6 Fan', '1 Exhaust Fan', '27 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage']","Park/Garden,Main Road",5,6,3,Not Available,1210.07,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Chinar Fortune City, Bhopal",chinar fortune city,bhopal,House,120.0,8333,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in chinar fortune city, bhopal and make it your new address. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1440 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.2 crore, you can become the proud owner of this independent house. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 1440
(133.78 sq.m.)  
sq.ft.",2.0,East,10+ Year Old,,,"Pool,Main Road,Park/Garden",4,4,2,Not Available,1440.06,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 BHK Flat in Chobdarpura, Bhopal",gl mid city complex,bhopal,Flat,32.0,2978,Ready To Move,"2bhk furnished flat in the heart of the city, ( Close to chowk bazar, boat club, kamla park, vip road, shyamla hills, new market)","Super Built up area 940
(87.33 sq.m.)
Built Up area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.",2.0,North,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff']",,2,2,1,Not Available,1074.55,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"5 Bedroom House for sale in Congress Nagar, Bhopal",congress nagar,bhopal,House,72.0,3428,Ready To Move,"Located at city centre in a covered campus with ease of accessbility to railway station, hospitals & shopping centers","Plot area 2100
(195.1 sq.m.)  
sq.ft.",2.0,,10+ Year Old,,,,5,4,1,Not Available,2100.35,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"10 Bedroom House for sale in Ghora Nakkas, Bhopal",ghora nakkas,bhopal,House,18.0,1000,Ready To Move,A commercial independent house situated at kamali mandir road near bus stand and ghora niklaa,"Plot area 1800
(167.23 sq.m.)  
sq.ft.",2.0,,10+ Year Old,,,,10,4,2,Not Available,1800.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 Bedroom House for sale in Arwaliya, Bhopal",arwaliya,bhopal,House,40.0,3333,Ready To Move,"This was our dreamhouse. I have used quality products in the home for our living but since i am in army we have to move frequently. This is a good house in a good locality. It has a car parking (We park dezire), a garden area, hall with stylish roofing and leds, 3 bedrooms, one kitchen, one gallery, two bathrooms( One indian and one western attached to bedroom), store area and granite finishing in kitchen.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1.0,South-West,1 to 5 Year Old,"['1 Exhaust Fan', '1 Geyser', '17 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking']",,3,2,1,Not Available,1200.12,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"5 Bedroom House for sale in Suraj Nagar, Bhopal",suraj nagar,bhopal,House,250.0,10000,Ready To Move,"We have a house/villa available for sale in suraj nagar, meerut. Available at price of rs 2.5 crores. It has plot area of 2500 sq ft. It has 5 bhk, 4 bathroom, 5 balcony.It is a freehold property","Plot area 2500
(232.26 sq.m.)  
sq.ft.",3.0,,5 to 10 Year Old,,,,5,4,3,Not Available,2500.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"1 Bedroom House for sale in Vidisha Road, Bhopal",mayur homes,bhopal,House,15.0,1785,Ready To Move,"Independent 01 bhk singlax, plot area 840 sq. Ft. Ready to move.","Plot area 840
(78.04 sq.m.)  
sq.ft.",1.0,,1 to 5 Year Old    View Construction Status,,"['Private Garden / Terrace', 'Park']",Park/Garden,1,1,0,Not Available,840.34,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 BHK Flat in Jumerati, Bhopal",aliganj,bhopal,Flat,23.0,4181,Ready To Move,"55b, aliganj, jumerati, bhopal","Carpet area: 550
(51.1 sq.m.)  
sq.ft.",1.0,West,10+ Year Old,"['1 Fan', '7 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Spacious Interiors']",Others,2,2,1,Not Available,550.11,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 Bedroom House for sale in Rasipuram road, Bhopal",rasipuram road,bhopal,House,65.0,9027,Ready To Move,"Main road property , t and cp approved","Plot area 720
(66.89 sq.m.)  
sq.ft.",2.0,West,10+ Year Old,,['Park'],Park/Garden,3,2,1,Not Available,720.06,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 Bedroom House for sale in Peepalner, Bhopal",rusia nagar,bhopal,House,70.0,5617,Ready To Move,"Near airport and many colleges, great for investment and rental potential","Plot area 1246
(115.76 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,"['Water Storage', 'Park']",,3,3,2," pooja room,study room",1246.22,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Golden City, Bhopal",golden city,bhopal,House,500.0,12500,Ready To Move,"4.Bhk luxury bungalow available for sale very prime location golden city jaat khedi hoshangabad road near by aashima mall no. 1 covered campus in bhopal, surrounding mall, all market, hospital, school, college, mnc companies etc. Final price 5.Cr More information please contact me vinod namdev","Plot area 2900
(269.42 sq.m.)
Built Up area: 4500 sq.ft. (418.06 sq.m.)
Carpet area: 4000 sq.ft. (371.61 sq.m.)  
sq.ft.",2.0,East,5 to 10 Year Old,"['10 Fan', '1 Exhaust Fan', '20 Light', '1 Modular Kitchen', '1 Chimney', '12 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Main Road,Club,Pool,Others",4,4,2," pooja room,study room",4000.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 BHK Flat in Dr A S Rao Nagar Colony, Bhopal",oceanic towers,bhopal,Flat,28.0,3733,Ready To Move,"We are the proud owners of this 2 bhk apartment available in oceanic towers, dr a s rao nagar colony, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.",3.0,,5 to 10 Year Old,,,,2,2,0,Not Available,750.07,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 Bedroom House for sale in Chopra Kalan, Vidisha road, Bhopal",chopra kalan vidisha road,bhopal,House,45.0,3750,Ready To Move,"Fully furnished property with premium interiors and all essential electronics included. Located near bhanpur peoples mall, offering excellent connectivity and convenience. Ready-To-Move with superior build quality and thoughtfully designed interiors for a comfortable lifestyle.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1.0,South-West,1 to 5 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Geyser', '30 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '2 Wardrobe', '1 Sofa', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine']","['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society']",,2,2,1, pooja room,1200.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"1 Bedroom House for sale in Ahinsa Vihar Colony, Bhopal",housing board,bhopal,House,20.0,4545,Ready To Move,Ews 202 part 2 house for sale near devmata hospital narela jod square ayodhya nagar bhopal south facing location only 500 mtrs from main road ayodhya nagar,"Plot area 440
(40.88 sq.m.)
Built Up area: 450 sq.ft. (41.81 sq.m.)
Carpet area: 440 sq.ft. (40.88 sq.m.)  
sq.ft.",0.0,South,5 to 10 Year Old,,"['Park', 'Waste Disposal', 'Rain Water Harvesting']",Others,1,1,0,Not Available,440.04,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"1 Bedroom House for sale in Khejrabaramad, Bhopal",shri aadinath parisar,bhopal,House,25.0,3676,Ready To Move,Ready to move,"Plot area 700
(65.03 sq.m.)
Carpet area: 680 sq.ft. (63.17 sq.m.)  
sq.ft.",1.0,,0 to 1 Year Old,,,,1,2,0,Not Available,680.09,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"6 Bedroom House for sale in Shankar Nagar, Bhopal",shankar nagar,bhopal,House,550.0,18272,Ready To Move,Heres a polished property description you can use:,"Plot area 3010
(279.64 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.",2.0,North,10+ Year Old,"['3 Wardrobe', '6 Fan', '14 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",Others,6,6,3," study room,others",3010.07,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Sehore Road, Bhopal",sehore road,bhopal,House,250.0,16666,Ready To Move,"Looking for buyer to purchase our house/villa available for sale in sehore, bhopal. Available at price of rs 2.5 crores. It has plot area of 1500 sq ft. It has 4 bhk, 10 bathroom, 4 balcony.It is a power of attorney property","Plot area 1500
(139.35 sq.m.)  
sq.ft.",3.0,,1 to 5 Year Old,,,,4,4,3,Not Available,1500.06,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"5 Bedroom House for sale in Kailash Nagar, Bhopal",kailash nagar,bhopal,House,75.0,8333,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in kailash nagar, a well-Planned and well-Connected locality in bhopal. This house occupies a super built up area of 900 sq.Ft. And contains 5 bedrooms, 5 bathrooms and 3 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This is a ready to move house, which is 5-10 years old. The ownership right of this property is freehold. By paying just 75 lac, you can become the proud owner of this independent house. The house provides a continuous supply of water for its residents. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 900
(83.61 sq.m.)  
sq.ft.",2.0,East,5 to 10 Year Old,,,Park/Garden,5,5,3,Not Available,900.04,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"10 Bedroom House for sale in Indra Nagar, Bhopal",indra nagar,bhopal,House,40.0,3999,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 10 bhk house for sale in indra nagar, a well-Planned and well-Connected locality in bhopal. Containing 10 bedrooms, 4 bathrooms and 2 balconies, this independent house is spread over a super built up area of 1000 sq.Ft. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. The price of this spacious independent house is 40 lac.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.",3.0,East,10+ Year Old,,"['Water Storage', 'Separate entry for servant room']",,10,4,2," store room,servant room",1000.25,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 BHK Flat in Jr LIG Colony, Bhopal",mahalaxmi awasiya parisar,bhopal,Flat,65.0,5909,Ready To Move,"Property situated at heart of the city. All important places are ( Like railway station bhopal & habibganj new market, vallabh bhavan, mp nagar) very near. Covered campus. Metro rail station proposed at 100m distance.","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.",10.0,North,0 to 1 Year Old,,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road",3,3,2,Not Available,1100.02,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 Bedroom House for sale in Khajoori Sadak, Bhopal",khajoori sadak,bhopal,House,30.0,2000,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in khajoori sadak, bhopal and make it your new address. This house occupies a carpet area of 1800 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 3 balconies. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 30 lac. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Carpet area: 1800
(167.23 sq.m.)  
sq.ft.",2.0,East,,,,,3,3,3,Not Available,1500.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"8 Bedroom House for sale in Nishatpura, Bhopal",nagar nigam colony,bhopal,House,90.0,6000,Ready To Move,Good rental property Good road connectivity Hospitals,"Plot area 1500
(139.35 sq.m.)
Built Up area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.",2.0,North,5 to 10 Year Old,,['Park'],Park/Garden,8,8,3," pooja room,study room,servant room,others",1500.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
