pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Overlooking,Possession in,furnishing,features,ratings,Facing,Property Age
"3 Bedroom House for sale in Arvind Vihar, Bhopal","Arvind Vihar, Bhopal",₹4.56 Cr,"₹12,000 /sqft",Ready To Move,House for sale Commercial use main road house,"Plot area 3800
(353.03 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Study Room,Others","₹ 4.56 Crore
@ 12,000 per sq.ft. (Negotiable) View Price Details","Arvind Vihar, Bhopal",3 Floors,Main Road,,[],['Visitor Parking'],[],North,10+ Year Old
"3 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹2.11 Cr,"₹8,178 /sqft",Ready To Move,Good for residential use,"Plot area 2580
(239.69 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Others","₹ 2.11 Crore
@ 8,178 per sq.ft. (Negotiable) View Price Details","Saket Nagar, Bhopal",1 Floors,"Main Road,Others,Park/Garden",,[],"['Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,10+ Year Old
"3 Bedroom House for sale in MP Nagar, Bhopal","MP Nagar, Bhopal",₹6.24 Cr,"₹26,000 /sqft",Ready To Move,Price reduce,"Plot area 2400
(222.97 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Study Room,Others","₹ 6.24 Crore
@ 26,000 per sq.ft. (Negotiable) View Price Details","MP Nagar, Bhopal",2 Floors,"Park/Garden,Others,Main Road",,[],"['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,10+ Year Old
"4 Bedroom House for sale in Govindpura, Bhopal",Govind Garden,₹1.3 Cr,"₹8,666 /sqft",Ready To Move,"Plot size 30 x 50 , 200 mtr walking distance for roshan hospital, and raisen road , 3rd floor, well furnished , in front 25 feet wide road","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies with Pooja Room,Study Room,Store Room","₹ 1.3 Crore
@ 8,666 per sq.ft. (Negotiable)","Govind Garden
Govindpura, Bhopal",2 Floors,,,"['1 Fan', '1 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,5 to 10 Year Old
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",nikhil banglow hoshangabad road,₹90 Lac,"₹9,000 /sqft",Ready To Move,"Hoshangabad road is one of bhopal's most sought after destination for residential houses and this 3 bhk house in hoshangabad road is your opportunity to be a part of this community. Constructed on a super built up area of 1000 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. The houses comes with dedicated 2 covered parking space(s) where you can easily park your vehicle(s). As the property is already ready to move, so you can easily move into this 5-10 years old house. This house is owned under freehold contract. The price of this spacious independent house is 90 lac. This independent house has access to clean 24*7 supply of water for its residents.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 90 Lac
@ 9,000 per sq.ft. (Negotiable) View Price Details","nikhil banglow hoshangabad road
Hoshangabad Road, Bhopal",2 Floors,Park/Garden,,"['2 Bed', '2 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"4 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹1.3 Cr,"₹8,666 /sqft",Ready To Move,Duplex 4 bhk 1500 sqft Facing north Covered campus Demand 1.30 cr Fortune enclave kolar road,"Plot area 1500
(139.35 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 1.3 Crore
@ 8,666 per sq.ft. View Price Details","Kolar Road, Bhopal",2 Floors,"Park/Garden,Others,Main Road",,[],"['Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,1 to 5 Year Old
"1 Bedroom House for sale in Arera Colony, Bhopal","Arera Colony, Bhopal",₹9 Cr,"₹17,708 /sqft",Ready To Move,"For sale independent bungalow in arera colony bhopal. The bunglow is park and west facing and is old construction. The property is situated at prime location of arera colony bhopal and is near main road and markets . The property is built on 4000 sqft plot size with separate units on ground and first floor. The property has different entry for different units. The property is close to all amenities like petrol pump, main road , markets, malls , hospitals, railway station etc. Situated in the heart of nature the property is surrounded by lush green trees and garden faced","Plot area 4000
(371.61 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 2 Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 9 Crore
@ 17,708 per sq.ft. (Negotiable) View Price Details","Arera Colony, Bhopal",2 Floors,Park/Garden,,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,10+ Year Old
"4 Bedroom House for sale in Arera Colony, Bhopal",area colony,₹17 Cr,"₹40,476 /sqft",Ready To Move,"This proparty is very good location .,this proparty is corner+ corner proparty north +east fecing","Plot area 4200
(390.19 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3+ Balconies with Store Room,Servant Room","₹ 17 Crore
@ 40,476 per sq.ft. View Price Details","area colony
Arera Colony, Bhopal",2 Floors,,,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Geyser', '2 Light', '1 AC', '1 TV', '1 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Stove']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"7 Bedroom House for sale in Bawadia Kalan, Bhopal",Priyadarshini The Athenaeum,₹5 Cr,"₹13,764 /sqft",Under Construction,This proparty is very good locations in coverd compus in bawadiya kala,"Plot area 2906
(269.98 sq.m.)  
sq.ft.","7 Bedrooms , 8 Bathrooms, 3+ Balconies with Pooja Room,Servant Room,Store Room","₹ 5 Crore
@ 13,764 per sq.ft. (Negotiable) View Price Details","Priyadarshini The Athenaeum
Bawadia Kalan, Bhopal",3 Floors,,,[],"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Under Construction
"6 Bedroom House for sale in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹6.5 Cr,"₹16,250 /sqft",Ready To Move,"Check out this 6 bhk house for sale in chuna bhatti, a popular residential locality that contains many of the in-Demand properties in bhopal. The floor plan additionally contains 6 bedrooms, 6 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 4000 sq.Ft. The houses comes with dedicated 2 covered and 2 open parking space(s) where you can easily park your vehicle(s). This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 6.5 crore.","Plot area 4000
(371.61 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 6.5 Crore
@ 16,250 per sq.ft. View Price Details","Chuna Bhatti, Bhopal",3 Floors,,,"['1 Water Purifier', '1 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 AC', '1 Curtains', '1 Sofa', '1 Microwave', 'No Bed', 'No Geyser', 'No Fridge', 'No TV', 'No Wardrobe', 'No Washing Machine']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"5 Bedroom House for sale in Bawadia Kalan, Bhopal",18 down hills,₹5.5 Cr,"₹15,000 /sqft",Under Construction,This proparty is very good location and coverd compus in bawadiya kala bhopal,"Plot area 3200
(297.29 sq.m.)  
sq.ft.","5 Bedrooms , 8 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 5.5 Crore+ Govt Charges & Tax
@ 15,000 per sq.ft. View Price Details","18 down hills
Bawadia Kalan, Bhopal",3 Floors,,,[],"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Under Construction
"5 Bedroom House for sale in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹3.25 Cr,"₹16,666 /sqft",Under Construction,"House/villa available on sell in chunna bhhati , bhopal. Coverd compus contact us for price details.Comarcial use locations","Plot area 1800
(167.23 sq.m.)
Built Up area: 4200 sq.ft. (390.19 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3 Balconies with Study Room,Servant Room,Store Room","₹ 3.25 Crore+ Govt Charges & Tax
@ 16,666 per sq.ft. View Price Details","Chuna Bhatti, Bhopal",2 Floors,,Dec 2025,"['2 Bed', '3 Wardrobe', '1 Fan', '1 Geyser', '1 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Katara Hills, Bhopal",Fast Track Heavens Life,₹95 Lac,"₹6,333 /sqft",Ready To Move,"House/villa available on sell in hoshangabad road, bhopal. Contact us for price details.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2300 sq.ft. (213.68 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Others","₹ 95 Lac
@ 6,333 per sq.ft.","Fast Track Heavens Life
Katara Hills, Bhopal",2 Floors,,,[],"['Maintenance Staff', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"4 Bedroom House for sale in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹1.6 Cr,"₹10,666 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in hosangabad road road, bhopal seems to be an ideal choice for a peaceful abode for a family. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 3 balconies. All in all, the independent house is spread over a super built up area of 1500 sq.Ft. The owner of the house also gets 2 covered and 2 open parking slot(s) to park their car safely. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This spacious house can be all yours at an attractive price of 1.25 crore.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room","₹ 1.6 Crore
@ 10,666 per sq.ft. View Price Details","Hoshangabad Road, Bhopal",2 Floors,,,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"5 Bedroom House for sale in Hoshangabad Road, Bhopal",pay bal bay,₹3 Cr,"₹12,500 /sqft",Under Construction,This property is very good locations in coverd compus in hosangabad road,"Plot area 2400
(222.97 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3 Balconies","₹ 3 Crore
@ 12,500 per sq.ft. View Price Details","pay bal bay
Hoshangabad Road, Bhopal",2 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Under Construction
"4 Bedroom House for sale in Jatkhedi, Bhopal",Swadesh Red Square,₹1.75 Cr,"₹11,666 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 4 bhk house for sale in jatkhedi, a well-Planned and well-Connected locality in bhopal. The house has over super built up area of 1500 sq.Ft. And comes with 4 bedrooms, 3 bathrooms and 3 balconies. There is 1 covered & 1 open parking available with this house. Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. This independent house is available at an attractive price of 1.65 crore.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies with Store Room","₹ 1.75 Crore
@ 11,666 per sq.ft. View Price Details","Swadesh Red Square
Jatkhedi, Bhopal",2 Floors,,,[],[],[],,1 to 5 Year Old
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Agrawal Sagar Pearl,₹1.4 Cr,"₹12,000 /sqft",Ready To Move,"On the lookout for a spacious house in bhopal? Go for this 4 bhk house for sale in hoshangabad road, a well-Connected locality within bhopal. Constructed on a super built up area of 1250 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and 2 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This spacious house can be all yours at an attractive price of 1.5 crore. Many of the modern amenities being offered, like maintenance staff, visitor parking and park, will provide a pleasant living experience for you. The house provides continuous water supply from municipal corporation and borewell/tank. This is a east-Facing property.","Plot area 1250
(116.13 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.4 Crore
@ 12,000 per sq.ft. (All inclusive, Negotiable) View Price Details","Agrawal Sagar Pearl
Hoshangabad Road, Bhopal",3 Floors,"Pool,Park/Garden,Club,Main Road,Others,Sea facing",,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '2 Geyser', '24 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,1 to 5 Year Old
"3 Bedroom House for sale in Sanjeev Nagar, Bhopal",Comfort Heights,₹99 Lac,"₹8,497 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in sanjeev nagar, a well-Planned and well-Connected locality in bhopal. Constructed on a super built up area of 1165 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This is a ready to move house, which is 1-5 years old. The ownership right of this property is freehold. This independent house is available at an attractive price of 99 lac. The house will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff, visitor parking and park. This independent house is well equipped to meet all your water needs through access to borewell/tank and municipal corporation supply. This property faces the north direction.","Plot area 1165
(108.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 99 Lac+ Govt Charges & Tax
@ 8,497 per sq.ft. (Negotiable) View Price Details","Comfort Heights
Sanjeev Nagar, Bhopal",2 Floors,Park/Garden,,"['1 Water Purifier', '1 Fridge', '6 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '10 Light', '1 Chimney', '4 AC', '1 Curtains', '1 Modular Kitchen', '1 TV', '4 Wardrobe', '3 Bed', '1 Sofa', '1 Microwave', '1 Washing Machine']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,1 to 5 Year Old
"4 Bedroom House for sale in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹1.6 Cr,"₹10,666 /sqft",Ready To Move,Urgent newly constructed luxurious 4bhk bungalow for sale at prime location of bawadiya kalan near apollo hospital and aura mall. This is a garden facing property and has 2 car parking facilities available. For more details contact komal,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room","₹ 1.6 Crore
@ 10,666 per sq.ft. (All inclusive, Negotiable)","Bawadia Kalan, Bhopal",3 Floors,Park/Garden,,"['1 Fan', '1 Fridge', '1 Stove', '1 Washing Machine', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No TV', 'No Wardrobe', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,0 to 1 Year Old
"2 Bedroom House for sale in Patel Nagar Colony, Bhopal","Patel Nagar Colony, Bhopal",₹34.9 Lac,"₹5,816 /sqft",Ready To Move,"Hey, check it out! I'm selling a brand new, east-Facing duplex with two bedrooms, about 390 square feet. It's in a nice, small gated community, super close to gayatri hospital in patel nagar, and you can walk to raisen road in bhopal.","Plot area 390
(36.23 sq.m.)
Built Up area: 800 sq.ft. (74.32 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 34.9 Lac
@ 5,816 per sq.ft. (Negotiable)","Patel Nagar Colony, Bhopal",2 Floors,,,"['20 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",[],East,0 to 1 Year Old
"8 Bedroom House for sale in Rohit Nagar, Bhopal","Rohit Nagar, Bhopal",₹1.2 Cr,"₹7,666 /sqft",Ready To Move,5 bhk semi commercial used garden facing house for sale in rohit nagar phase 2 near aakriti eco city bawadiya kalan,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","8 Bedrooms , 6 Bathrooms, 3+ Balconies with Pooja Room","₹ 1.2 Crore+ Govt Charges & Tax
@ 7,666 per sq.ft. View Price Details","Rohit Nagar, Bhopal",3 Floors,"Park/Garden,Main Road",,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,5 to 10 Year Old
