pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"5 Bedroom House for sale in Kohefiza, Bhopal",Housing Board Colony,₹5.6 Cr,"₹13,526 /sqft",Ready To Move,"East facing, big garden with full surrounding from tress and all over greenery.","Plot area 4140
(384.62 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 2 Balconies with Pooja Room,Servant Room,Store Room","₹ 5.6 Crore+ Govt Charges & Tax
@ 13,526 per sq.ft.","Housing Board Colony
Kohefiza, Bhopal",1 Floors,East,10+ Year Old,"['3 Geyser', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"3 Bedroom House for sale in Ashoka Garden, Bhopal","Ashoka Garden, Bhopal",₹65 Lac,"₹8,666 /sqft",Ready To Move,"Saiz 15x50 Total = 750 sqft Naveen nagar , Near 80","Plot area 750
(69.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 8,666 per sq.ft.","Ashoka Garden, Bhopal",1 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"8 Bedroom House for sale in Dwarka Nagar, Bhopal","Dwarka Nagar, Bhopal",₹70 Lac,"₹9,333 /sqft",Ready To Move,"This triplex is situated in the city centre , just 0.5 km from railway station, 3km from bus stand , and 4 km from city market , everything is situated nearby .","Plot area 750
(69.68 sq.m.)  
sq.ft.","8 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 70 Lac
@ 9,333 per sq.ft. (All inclusive, Negotiable)","Dwarka Nagar, Bhopal",3 Floors,North,5 to 10 Year Old,[],"['False Ceiling Lighting', 'No open drainage around', 'Natural Light', 'Airy Rooms']",[],,
"4 Bedroom House for sale in Airport Road, Bhopal","Comfort Green, Airport Road",₹95 Lac,"₹9,047 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in airport road, bhopal. Available at price of rs 95 lacs. It has plot area of 1050 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 1050
(97.55 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 95 Lac
@ 9,047 per sq.ft. (All inclusive, Negotiable)","Comfort Green, Airport Road
Airport Road, Bhopal",2 Floors,North-East,10+ Year Old,[],"['Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"3 Bedroom House for sale in Bypass Road, Bhopal",jawahar nagar,₹52 Lac,"₹2,600 /sqft",Ready To Move,"We have a house/villa available for sale in bypass road, meerut. Available at price of rs 52 lacs. It has plot area of 2000 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 2000
(185.81 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 52 Lac
@ 2,600 per sq.ft.","jawahar nagar
Bypass Road, Bhopal",2 Floors,,5 to 10 Year Old,[],[],[],,
"4 Bedroom House for sale in Kotra Sultanabad, Bhopal",Akash Nagar,₹2 Cr,"₹13,333 /sqft",Ready To Move,"Its a gated colony with 24 hour security House has 2 & 4 wheeler parking in front as well as inside the house First floor will be given for rent, house is open, airy & very light with a separate puja room The balcony of the house is west facing & has direct visibility to temple There is a children park in front of the house with walking trail and exercise equipment As there is a park, it will always be open in front of the house - Which means air cross ventilation is permanent & privacy is maintained when you are sitting in balcony Water capacity is 2000 litres & house has 24-Hour security surveillance on both floors We are a vegetarian family & we prefer the same The society celebrates all festivals & family will appreciate the ambience","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 2 Crore+ Govt Charges & Tax
@ 13,333 per sq.ft. (All inclusive)","Akash Nagar
Kotra Sultanabad, Bhopal",2 Floors,West,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Water Storage', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"3 Bedroom House for sale in Karond, Bhopal","Karond, Bhopal",₹35 Lac,"₹2,916 /sqft",Ready To Move,Direct owner sell this property and good area.,"Plot area 1200
(111.48 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 35 Lac
@ 2,916 per sq.ft.","Karond, Bhopal",1 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in Neelbad, Bhopal",Manohar colony,₹55 Lac,"₹4,583 /sqft",Ready To Move,"Looking for buyer this property near by hospital, school, colleges, petrol pump and sehore indore highway and all facilities available in this property this property in covered campus","Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac
@ 4,583 per sq.ft. (Negotiable)","Manohar colony
Neelbad, Bhopal",2 Floors,North-East,1 to 5 Year Old,[],"['Water Storage', 'Internet/wi-fi connectivity']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"5 Bedroom House for sale in Indrapuri, Bhopal","Indrapuri, Bhopal",₹2.9 Cr,"₹12,083 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in indrapuri, a well-Planned and well-Connected locality in bhopal. The house has over super built up area of 2400 sq.Ft. And comes with 5 bedrooms, 3 bathrooms and 2 balconies. As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under leasehold contract. This independent house is available at an attractive price of 2.9 crore.","Plot area 2400
(222.97 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 2.9 Crore
@ 12,083 per sq.ft.","Indrapuri, Bhopal",3 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"7 Bedroom House for sale in Danish Kunj, Bhopal","Danish Kunj, Bhopal",₹1.5 Cr,"₹10,000 /sqft",Ready To Move,Danish kunj prime location Plot 1500sqfeet (30*50),"Plot area 1500
(139.35 sq.m.)  
sq.ft.","7 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 1.5 Crore
@ 10,000 per sq.ft.","Danish Kunj, Bhopal",1 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Shangrila Housing Society,₹1.2 Cr,"₹12,000 /sqft",Ready To Move,"We have a house/villa available for sale in sonagiri, bhopal. Available at price of rs.12000000. It has plot area of 1000 sqft. It has 4 bhk, 3 bathroom, 2 balcony.It is a leasehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.2 Crore
@ 12,000 per sq.ft.","Shangrila Housing Society
Hoshangabad Road, Bhopal",2 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"6 Bedroom House for sale in Neerja Nagar, Bhopal","Neerja Nagar, Bhopal",₹3.2 Cr,"₹13,333 /sqft",Ready To Move,"6 room, 1 common hall Pooja mandir Wooden work cabinets 5 toilets, 2 kitchen, 2 car parking 2 scooter parking 5000 litre water storage tank 24 hours water supply Self 24 hours boring Expandable first floor Wide first floor terrace 2 terrace Front mini garden 2 seperate gate entry Wide open kitchen 12 x 12 East facing North side 2 plots south side 4 plots, west 12. Well maintained.","Plot area 2100
(195.1 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)
Carpet area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 3.2 Crore
@ 13,333 per sq.ft. (All inclusive, Negotiable)","Neerja Nagar, Bhopal",1 Floors,,10+ Year Old,"['8 Wardrobe', '10 Fan', '1 Exhaust Fan', '10 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],,
"3 Bedroom House for sale in Shahpura, Bhopal",Amrit South Avenue,₹3 Cr,"₹16,666 /sqft",Ready To Move,Premium location near sai board. No brokers . Direct communication with owner.,"Plot area 1800
(167.23 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 3 Crore
@ 16,666 per sq.ft.","Amrit South Avenue
Shahpura, Bhopal",2 Floors,South-West,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"8 Bedroom House for sale in Mandakini Colony, Bhopal",Drishti Plaza,₹1.05 Cr,"₹9,900 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in kolar road, bhopal. Available at price of rs 99 lacs. It has plot area of 1000 sq ft. It has 8 bhk, 6 bathroom, balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","8 Bedrooms , 6 Bathrooms, No Balcony","₹ 1.05 Crore
@ 9,900 per sq.ft.","Drishti Plaza
Mandakini Colony, Bhopal",3 Floors,,5 to 10 Year Old,[],['Visitor Parking'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Panchwati Colony, Bhopal","Panchwati Colony, Bhopal",₹67 Lac,"₹8,933 /sqft",Ready To Move,"It's in one of the best colonies in bhopal. It has access to all the amenities whether it's schools, hospital, shops and everything within the colony itself","Plot area 750
(69.68 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 67 Lac
@ 8,933 per sq.ft. (All inclusive, Negotiable)","Panchwati Colony, Bhopal",2 Floors,East,10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club,Main Road",
"4 Bedroom House for sale in Katara Hills, Bhopal",Sage Suncity,₹2 Cr,"₹16,666 /sqft",Ready To Move,"1. East facing. 2. Garden facing. 3. Constructed for g+3 floors. 4. Inside sage university, so very good for hostel or rental. 5. 1 km from sagar school.","Plot area 1200
(111.48 sq.m.)
Carpet area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Store Room","₹ 2 Crore
@ 16,666 per sq.ft.","Sage Suncity
Katara Hills, Bhopal",2 Floors,East,0 to 1 Year Old,"['5 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"3 Bedroom House for sale in Vidya Nagar, Bhopal",HIG B 60 vidhya nagar bhopal,₹4 Cr,"₹15,267 /sqft",Ready To Move,"Near hosangabad road ,corner plot,2620 sq ft","Plot area 2620
(243.41 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 4 Crore
@ 15,267 per sq.ft. (Negotiable)","HIG B 60 vidhya nagar bhopal
Vidya Nagar, Bhopal",2 Floors,North,10+ Year Old,"['1 Bed', '1 Fan', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,
"4 Bedroom House for sale in Sanjeev Nagar, Bhopal",Elixir Gardens,₹1 Cr,"₹9,689 /sqft",Ready To Move,"Located in the vibrant community of new jail road, elixir garden in bhopal, a stunning opportunity awaits. Presenting a luxurious 4 bhk corner residential house, this property epitomizes elegance and comfort. From its spacious interiors to its serene surroundings, every aspect of this home reflects modern living at its finest. Property specifications This meticulously designed 4 bhk residential property boasts a super area of 2250 sqft and is thoughtfully crafted according to vaastu principles. Facing east, this home welcomes abundant natural light and positive energy throughout the day. Spread across a g+2 structure, each floor offers a perfect blend of functionality and comfort. Ground floor: The ground floor features a spacious living room, a well-Appointed open kitchen with a chimney and a dining area, two bedrooms, and two bathrooms (One attached and one common). Both indian and western-Style amenities are provided, with geysers in all bathrooms for added convenience. First floor: On the first floor, you'll find two cozy bedrooms with attached western-Style bathrooms, along with a charming balcony and separate pooja room. Second floor: The third floor offers a serene retreat with an open terrace, perfect for relaxation or entertaining under the open sky. The ground floor also boasts a modern modular kitchen with a chimney, ensuring an enjoyable and convenient cooking experience. Throughout the property, the elegant tile flooring adds timeless charm and is easy to maintain. This residence epitomizes contemporary living at its best. Facilities The property offers 1 open parking space and 24/7 security with cctv surveillance at the entrance of the colony. Locality Convenience is at your doorstep, with schools, hospitals, malls, and supermarkets all within a 1 km radius, ensuring easy access to essential amenities. Public transport options are abundant, with buses and auto-Rickshaws readily available for daily commutes. Additionally, banks and atms are conveniently located nearby.","Plot area 1032
(95.88 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 1 Crore+ Govt Charges & Tax
@ 9,689 per sq.ft. (Negotiable)","Elixir Gardens
Sanjeev Nagar, Bhopal",2 Floors,East,1 to 5 Year Old,"['2 Bed', '2 Wardrobe', '5 Fan', '1 Sofa', '1 Exhaust Fan', '2 Geyser', '30 Light', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"4 Bedroom House for sale in Talaiya, Bhopal","Talaiya, Bhopal",₹65 Lac,"₹7,319 /sqft",Ready To Move,2bhk in ground floor and 2 big rooms in first floor . Distance from main chowk bazar of bhopal approx 500 meter and bada taalab approx 400 meters.,"Plot area 888
(82.5 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 65 Lac
@ 7,319 per sq.ft. (Negotiable)","Talaiya, Bhopal",2 Floors,North-West,10+ Year Old,"['1 Wardrobe', '4 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],Main Road,
"6 Bedroom House for sale in Chouksey Nagar, Bhopal","Chouksey Nagar, Bhopal",₹70 Lac,"₹5,833 /sqft",Ready To Move,Rambha nagar prime location pr makan hai individual,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","6 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 70 Lac
@ 5,833 per sq.ft. (All inclusive)",", Bhopal",3 Floors,,1 to 5 Year Old,[],[],[],,
"3 Bedroom House for sale in Arwaliya, Bhopal","Arwaliya, Bhopal",₹40 Lac,"₹3,333 /sqft",Ready To Move,"This was our dreamhouse. I have used quality products in the home for our living but since i am in army we have to move frequently. This is a good house in a good locality. It has a car parking (We park dezire), a garden area, hall with stylish roofing and leds, 3 bedrooms, one kitchen, one gallery, two bathrooms( One indian and one western attached to bedroom), store area and granite finishing in kitchen.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (All inclusive, Negotiable)","Arwaliya, Bhopal",1 Floors,South-West,1 to 5 Year Old,"['1 Exhaust Fan', '1 Geyser', '17 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking']",[],,
"3 Bedroom House for sale in Pushpa Nagar, Bhopal","Pushpa Nagar, Bhopal",₹70 Lac,"₹5,154 /sqft",Ready To Move,Society is located near the city centre which makes it convenient for the people to reach out in shorten time period,"Plot area 1358
(126.16 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony with Pooja Room,Study Room","₹ 70 Lac
@ 5,154 per sq.ft.","Pushpa Nagar, Bhopal",2 Floors,South,10+ Year Old,[],[],[],Park/Garden,
"6 Bedroom House for sale in Piplani, Bhopal",Mamta Nagar,₹50 Lac,"₹6,153 /sqft",Ready To Move,3 storied house in front of by pass road highway. Prices expected to increase at least 4 fold in coming years since the highway is going to expand.,"Plot area 650
(60.39 sq.m.)  
sq.ft.","6 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 50 Lac
@ 6,153 per sq.ft. (All inclusive, Negotiable)","Mamta Nagar
Piplani, Bhopal",3 Floors,North,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"5 Bedroom House for sale in Priyanka Nagar, Bhopal","Priyanka Nagar, Bhopal",₹2.5 Cr,"₹7,142 /sqft",Ready To Move,"This is not just a homeits a multipurpose villa that offers both luxury and opportunity. The property features: a spacious 5 bhk villa with two beautifully maintained gardens private parking space a fully furnished rooftop restaurant, complete with modern kitchen appliances","Plot area 3500
(325.16 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 2 Balconies with Others","₹ 2.5 Crore
@ 7,142 per sq.ft. (Negotiable)","Priyanka Nagar, Bhopal",1 Floors,North,1 to 5 Year Old,[],[],[],Park/Garden,
