pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"3 Bedroom House for sale in Sarvdharm, Bhopal","Sarvdharm, Bhopal",₹80 Lac,"₹6,666 /sqft",Ready To Move,"Sari facilities 1km ke andar hi mil jayeinge jaise petrol tank, ddx cinemas, pizza hut, sagar gaire, banks and atms, schools and coaching classes, furniture shops, vishal mega mart, manglam, reliance digital and many more.","Plot area 1200
(111.48 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 80 Lac
@ 6,666 per sq.ft. (Negotiable)","Sarvdharm, Bhopal",0 Floors,10+ Year Old,[],[],[],,Main Road,
"3 Bedroom House for sale in Khajuri Kalan , Bhopal","Khajuri Kalan , Bhopal",₹56 Lac,"₹7,375 /sqft",Ready To Move,New contractions duplex 800 sqf corner plot 40*20 =800sqf plot size,"Plot area 800
(74.32 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","3 Bedrooms , 5 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 56 Lac
@ 7,375 per sq.ft. (All inclusive, Negotiable)","Khajuri Kalan , Bhopal",2 Floors,1 to 5 Year Old,"['2 Bed', '2 Fan', '1 Sofa', '15 Light', '1 TV', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Main Road,
"3 Bedroom House for sale in Vineet Kunj, Bhopal","Vineet Kunj, Bhopal",₹62 Lac,"₹6,888 /sqft",Ready To Move,"Independent villa an impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in , vineet kunj, m p which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort. Basic details: You will love this villa which is constructed on a built up area of of 900 sq.Ft. And features 3 bedrooms, 2 bathroom and 1 balcony and a modular kitchen. The villa is beautifully landscaped with garden. Location: The property is close to all basic facilities. The villa is situated in a family friendly neighborhood. Moreover, the property has great connectivity with other parts of the city. Major banks and atms located within a close radius several schools located within proximity easy access to public transport wait no more and schedule a visit today. For more information, kindly contact the owner.","Plot area 900
(83.61 sq.m.)
Built Up area: 1650 sq.ft. (153.29 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 62 Lac
@ 6,888 per sq.ft.","Vineet Kunj, Bhopal",2 Floors,10+ Year Old,[],[],[],,,
"3 Bedroom House for sale in Kolar Road, Bhopal",Lakshya Serene Wood,₹40 Lac,"₹3,968 /sqft",Under Construction,"Check out this 3 bhk house for sale in kolar road, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential property boasts proximity to key landmarks like close to school and close to market. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 1680 sq.Ft. The owner of the house also gets 1 open parking slot(s) to park their car safely. This is a ready to move house, which is 10+ years old. The ownership right of this property is freehold. By paying just 40 lac, you can become the proud owner of this independent house. The housing society ensures a continuous supply of water to your house from municipal corporation and borewell/tank. This residential house is west-Facing direction. The well built others flooring enhances the aesthetic appeal of this independent house. The others flooring of this independent house is beautifully designed and helps to give it a pleasing look.","Plot area 1008
(93.65 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 40 Lac
@ 3,968 per sq.ft. (All inclusive, Negotiable)","Lakshya Serene Wood
Kolar Road, Bhopal",2 Floors,,[],['Private Garden / Terrace'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,,Within 3 months
"3 Bedroom House for sale in Katara Hills, Bhopal",BDA Swami Vivekanand Parisar,₹80 Lac,"₹8,255 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in katara hills, bhopal. Available at price of rs 80 lacs. It has plot area of 969 sq ft. It has 3 bhk, 3 bathroom, balcony.It is a leasehold property","Plot area 969
(90.02 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 80 Lac
@ 8,255 per sq.ft.","BDA Swami Vivekanand Parisar
Katara Hills, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹38 Lac,"₹4,750 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in ayodhya nagar, bhopal seems to be an ideal choice for a peaceful abode for a family. Constructed on a built up area of 800 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 38 lac.","Built Up area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 38 Lac
@ 4,750 per sq.ft.","Ayodhya Nagar, Bhopal",2 Floors,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,undefined
"5 Bedroom House for sale in Airport Road, Bhopal","Airport Road, Bhopal",₹60 Lac,"₹5,000 /sqft",Ready To Move,"Bhopal's prime location airport/karod by pass road, Well construct with topgrade rcc.","Plot area 1200
(111.48 sq.m.)
Built Up area: 2800 sq.ft. (260.13 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, No Balcony","₹ 60 Lac
@ 5,000 per sq.ft. View Price Details","Airport Road, Bhopal",,5 to 10 Year Old,[],"['Private Garden / Terrace', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 Bedroom House for sale in Ayodhya Bypass , Bhopal","Ayodhya Bypass , Bhopal",₹45 Lac,"₹6,428 /sqft",Ready To Move,Coverd campus nice society For your new house,"Plot area 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac
@ 6,428 per sq.ft. (Negotiable)","Ayodhya Bypass , Bhopal",2 Floors,1 to 5 Year Old,[],"['Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road",
"4 Bedroom House for sale in Mandideep, Bhopal",Madhav Residency,₹40 Lac,"₹7,619 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in bagli, jamnagar. Available at price of rs 40 lacs. It has plot area of 525 sq ft. It has 4 bhk, 4 bathroom, 2 balcony.It is a freehold property","Plot area 525
(48.77 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 40 Lac
@ 7,619 per sq.ft.","Madhav Residency
Mandideep, Bhopal",3 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"5 Bedroom House for sale in Kalpana Nagar, Bhopal","Kalpana Nagar, Bhopal",₹2 Cr,"₹8,333 /sqft",Ready To Move,"This 5 bhk house for sale in kalpana nagar, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. Containing 5 bedrooms, 4 bathrooms and 2 balconies, this independent house is spread over a super built up area of 2400 sq.Ft. This 10+ years old property is available for immediate possession as the house is ready to move. It is a leasehold property. By paying just 2 crore, you can become the proud owner of this independent house.","Plot area 2400
(222.97 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 2 Crore
@ 8,333 per sq.ft. (Negotiable)","Kalpana Nagar, Bhopal",2 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Aakriti Aqua City,₹42 Lac,"₹5,250 /sqft",Under Construction,House is under construction with 85 % complete. Want to sell in present condition. Beautiful colony . Duplex house under pushkar catagory.,"Plot area 800
(74.32 sq.m.)
Built Up area: 1350 sq.ft. (125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony with Study Room,Pooja Room","₹ 42 Lac
@ 5,250 per sq.ft. (All inclusive, Negotiable)","Aakriti Aqua City
Hoshangabad Road, Bhopal",2 Floors,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,Dec 2025
"3 Bedroom House for sale in Fine Avenue Phase 2, Bhopal","Fine Avenue Phase 2, Bhopal",₹70 Lac,"₹5,833 /sqft",Ready To Move,"Its a ready to move house with 3 bedroom, and 2 bathrooms, dmart is at walking distance ( 100 mtr), all amenities are nearby.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 70 Lac
@ 5,833 per sq.ft. (All inclusive, Negotiable)","Fine Avenue Phase 2, Bhopal",1 Floors,10+ Year Old,[],[],[],East,Main Road,
"2 Bedroom House for sale in Airport Road, Bhopal",The Bellaire Mint,₹25 Lac,"₹2,500 /sqft",Ready To Move,2bhk residential house for resale in the bellaire mint at airport road the bellaire mint 225.,"Built Up area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,500 per sq.ft. View Price Details","The Bellaire Mint
Airport Road, Bhopal",1 Floors,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,undefined
"3 Bedroom House for sale in E 7 Arera colony, Bhopal","E 7 Arera colony, Bhopal",₹1.9 Cr,"₹12,666 /sqft",Ready To Move,"E7 arera colony, 1100 quaters. Benind hanuman mandir Near atal hospital","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 1.9 Crore
@ 12,666 per sq.ft. View Price Details","E 7 Arera colony, Bhopal",,10+ Year Old,[],['Park'],[],West,"Park/Garden,Main Road",
"5 Bedroom House for sale in Ashoka Garden, Bhopal",Vardhman Green Park,₹1 Cr,"₹10,526 /sqft",Ready To Move,"On the lookout for a spacious house in bhopal? Go for this 5 bhk house for sale in ashoka garden, a well-Connected locality within bhopal. Containing 5 bedrooms, 4 bathrooms and 3 balconies, this independent house is spread over a super built up area of 950 sq.Ft. This is a ready to move house, which is 10+ years old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 1 crore.","Plot area 950
(88.26 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 1 Crore
@ 10,526 per sq.ft. (Negotiable)","Vardhman Green Park
Ashoka Garden, Bhopal",3 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"6 Bedroom House for sale in Lala Lajpat Rai Colony, Bhopal","Lala Lajpat Rai Colony, Bhopal",₹1.5 Cr,"₹10,000 /sqft",Ready To Move,Spacious living room and bedroom,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, 2 Balconies with Study Room,Servant Room","₹ 1.5 Crore
@ 10,000 per sq.ft. (All inclusive)","Lala Lajpat Rai Colony, Bhopal",2 Floors,10+ Year Old,[],"['Water Storage', 'Rain Water Harvesting']",[],North-West,,
"3 Bedroom House for sale in Bagli, Bhopal",JD Kasturi Vihar,₹45 Lac,"₹8,789 /sqft",Ready To Move,Bhopal best lokeshan in narmadapuram road bhopal,"Plot area 512
(47.57 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 8,789 per sq.ft. (All inclusive)","JD Kasturi Vihar
Bagli, Bhopal",2 Floors,1 to 5 Year Old,[],[],[],,,
"2 Bedroom House for sale in Khajuri Kalan , Bhopal","Khajuri Kalan , Bhopal",₹35 Lac,"₹5,833 /sqft",Under Construction,"2 bhk independt house .. At 35,00000 at very low price","Plot area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 35 Lac
@ 5,833 per sq.ft.","Khajuri Kalan , Bhopal",,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,By 2026
"3 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹60 Lac,"₹6,000 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in awadhpuri, bhopal seems to be an ideal choice for a peaceful abode for a family. This residential property boasts proximity to key landmarks like close to school, close to hospital and close to market. The house has over super built up area of 1000 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 1 balcony. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is leasehold. By paying just 60 lac, you can become the proud owner of this independent house. The house provides continuous water supply from municipal corporation. This is a west-Facing property.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 60 Lac
@ 6,000 per sq.ft. (Negotiable)","Awadhpuri, Bhopal",2 Floors,1 to 5 Year Old,[],"['Private Garden / Terrace', 'Water Storage', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,,
"3 Bedroom House for sale in Katara Hills, Bhopal",Sage Suncity,₹75 Lac,"₹9,615 /sqft",Ready To Move,"Gated community, hospital, school, sage university within campus.","Plot area 780
(72.46 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 9,615 per sq.ft. (Negotiable)","Sage Suncity
Katara Hills, Bhopal",2 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Main Road",
"3 Bedroom House for sale in Danish Kunj, Bhopal",Citi Vistaar,₹45 Lac,"₹7,500 /sqft",Ready To Move,Covered campus round the clock security,"Plot area 600
(55.74 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 7,500 per sq.ft.","Citi Vistaar
Danish Kunj, Bhopal",2 Floors,1 to 5 Year Old,"['3 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,,
"6 Bedroom House for sale in Kotra Sultanabad, Bhopal",individual house,₹1 Cr,"₹9,950 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in kotra sultanabad, bhopal. Available at price of rs 10000000. It has plot area of 1005 sqft. It has 6 bhk, 4 bathroom, 0 balcony.It is a freehold property","Plot area 1005
(93.37 sq.m.)  
sq.ft.","6 Bedrooms , 4 Bathrooms, No Balcony","₹ 1 Crore
@ 9,950 per sq.ft.","individual house
Kotra Sultanabad, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹1.3 Cr,"₹7,879 /sqft",Ready To Move,"Check out this 4 bhk house for sale in ayodhya nagar, a popular residential locality that contains many of the in-Demand properties in bhopal. This house occupies a built up area of 1650 sq.Ft. And contains 4 bedrooms, 2 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.3 crore, you can become the proud owner of this independent house.","Built Up area: 1650
(153.29 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, No Balcony","₹ 1.3 Crore
@ 7,879 per sq.ft.","Ayodhya Nagar, Bhopal",2 Floors,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,undefined
"3 Bedroom House for sale in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹1.5 Cr,"₹13,043 /sqft",Ready To Move,"3 bhk duplex in prime chunabhatti locality, 100m from main road.","Plot area 1150
(106.84 sq.m.)
Built Up area: 1750 sq.ft. (162.58 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room,Study Room,Store Room","₹ 1.5 Crore+ Govt Charges & Tax
@ 13,043 per sq.ft. (All inclusive)","Chuna Bhatti, Bhopal",2 Floors,10+ Year Old,"['6 Fan', '3 Geyser', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Nayapura, Bhopal","Nayapura, Bhopal",₹2.2 Cr,"₹14,666 /sqft",Ready To Move,Near lalghati square gated community with good amenities,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.2 Crore
@ 14,666 per sq.ft. (All inclusive)","Nayapura, Bhopal",2 Floors,5 to 10 Year Old,"['4 Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal']",[],,"Pool,Park/Garden,Club",
"2 Bedroom House for sale in Sukhi Sewania, Bhopal","Sukhi Sewania, Bhopal",₹25 Lac,"₹2,976 /sqft",Ready To Move,Rera&tncp aprove property Bhavishya metro city,"Plot area 840
(78.04 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 3+ Balconies","₹ 25 Lac
@ 2,976 per sq.ft. (Negotiable)","Sukhi Sewania, Bhopal",,5 to 10 Year Old,[],[],[],,,
"3 Bedroom House for sale in Khajuri Kalan , Bhopal","Khajuri Kalan , Bhopal",₹78 Lac,"₹7,878 /sqft",Ready To Move,Near Regal cinema back side 200meter road parpose 1km bus stop 24 hour guards duty safe and beautiful location,"Plot area 990
(91.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 78 Lac
@ 7,878 per sq.ft. (Negotiable)","Khajuri Kalan , Bhopal",2 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"8 Bedroom House for sale in Sanjeev Nagar, Bhopal","Sanjeev Nagar, Bhopal",₹1.15 Cr,"₹7,666 /sqft",Ready To Move,Great society ready to move in semi furnished house all amenities close to the house,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","8 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room","₹ 1.15 Crore+ Govt Charges & Tax
@ 7,666 per sq.ft. (All inclusive, Negotiable)","Sanjeev Nagar, Bhopal",2 Floors,5 to 10 Year Old,"['3 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Park/Garden,
