pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Possession in,furnishing,features,ratings,Property Age,Facing
"2 BHK Flat in Sanjeev Nagar, Bhopal",Shri Krishna Guru Complex,₹24 Lac,"₹5,095 /sqft",Ready To Move,"2bhk flat sells, ready to move, near sanjeev nagar atal parisar nevri, semi furnished Lalghati distance 2 km Karond square distance 5 km Railway station 8 km","Carpet area: 471
(43.76 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 24 Lac
@ 5,095 per sq.ft. (Negotiable)","Shri Krishna Guru Complex
Sanjeev Nagar, Bhopal",2nd   of 3 Floors,Park/Garden,,"['1 Bed', '1 Water Purifier', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,South
"2 BHK Flat in Govindpura, Bhopal",Simran Residency,₹30 Lac,"₹2,875 /sqft",Ready To Move,Residential apartment for sell.The property comes with a good construction quality which ages 10 years old propertylocated in govindpura.It is a unfurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2300000.Located on 3rd floor out of the 4,"Super Built up area 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 30 Lac
@ 2,875 per sq.ft.","Simran Residency
Govindpura, Bhopal",3rd   of 4 Floors,,,"['2 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '2 Geyser', '13 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"2 BHK Flat in Shahjahanabad, Bhopal",Aamir apprtment,₹25 Lac,"₹4,166 /sqft",Ready To Move,2bhk flat sale karna hai new construction hai 4 wheel parking hai lift hai ready to move hai shahjahabad near by star shadi hall,"Super Built up area 600
(55.74 sq.m.)
Carpet area: 585 sq.ft. (54.35 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Servant Room","₹ 25 Lac
@ 4,166 per sq.ft. (Negotiable)","Aamir apprtment
Shahjahanabad, Bhopal",2nd   of 4 Floors,Park/Garden,,[],"['Lift(s)', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",0 to 1 Year Old,West
"3 BHK Flat in Jatkhedi, Bhopal",Shri Balaji Swastik Grand,₹55 Lac,"₹3,267 /sqft",Ready To Move,Hi i want to sell my flat on 2nd floor it is a furnished flat with all wooden work and modular kitchen. Please check this out if you want to have a good deal.,"Super Built up area 1683
(156.36 sq.m.)
Carpet area: 1643 sq.ft. (152.64 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony with Servant Room","₹ 55 Lac+ Govt Charges & Tax
@ 3,267 per sq.ft. (Negotiable)","Shri Balaji Swastik Grand
Jatkhedi, Bhopal",2nd   of 7 Floors,,,"['1 Water Purifier', '8 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '12 Light', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '3 Wardrobe', '1 Sofa', 'No AC', 'No Microwave', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],5 to 10 Year Old,East
"3 BHK Flat in Mahawadiya, Bhopal",IBD hallmark city,₹20.5 Lac,"₹2,562 /sqft",Ready To Move,Flat & apartments,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 20.5 Lac
@ 2,562 per sq.ft. (Negotiable)","IBD hallmark city
Mahawadiya, Bhopal",3rd   of 3 Floors,"Park/Garden,Main Road,Others",,"['3 Wardrobe', '1 Exhaust Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],5 to 10 Year Old,East
"2 BHK Flat in Kolar Road, Bhopal",Aadhhaar Symphony,₹40 Lac,"₹3,636 /sqft",Ready To Move,2 bhk semi furnished flat in a high rise building. Great location in a residential hotspot with seamless connectivity along kolar road.,"Super Built up area 1115
(103.59 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac
@ 3,636 per sq.ft. (All inclusive)","Aadhhaar Symphony
Kolar Road, Bhopal",7th   of 12 Floors,,,"['1 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹31 Lac,"₹2,480 /sqft",Ready To Move,"This beautiful 3 bhk flat in misrod, bhopal is situated in fortune soumya heritage, one of the popular residential society in bhopal. The flat occupies a built up area of 1250 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 2nd floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The society complex is in the close vicinity of close to hospital, close to school and close to market, making it an ideal home for a relaxed lifestyle. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel and maintenance staff, will provide a pleasant living experience for you. The residents of this project enjoy a 24*7 access to clean water.","Built Up area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 31 Lac
@ 2,480 per sq.ft. (Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",2nd   of 6 Floors,"Pool,Park/Garden,Club",,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old    View Construction Status,
"3 BHK Flat in Nayapura, Bhopal",DK Bridge Tower,₹50 Lac,"₹4,347 /sqft",Ready To Move,This is new and close 6 lane kolhar road and near to community center,"Super Built up area 1228
(114.08 sq.m.)
Carpet area: 1150 sq.ft. (106.84 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 50 Lac
@ 4,347 per sq.ft. (Negotiable)","DK Bridge Tower
Nayapura, Bhopal",5th   of 6 Floors,,,"['2 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park']",[],1 to 5 Year Old,
"3 BHK Flat in Bagmugaliya, Bhopal",Agrawal Sagar Eden Garden,₹53 Lac,"₹4,015 /sqft",Ready To Move,"East facing 3bhk newly painted semi furnished flat with semi-Private staircase for entry and easiest access in the entire society. Vastu compliant, right in front of the society club house and main gate for even easier entry and exit. Newly done up kitchen, fresh electrical appliances in the entire apartment with fresh paint done 1 month back.","Carpet area: 1320
(122.63 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies
View Floor Plan","₹ 53 Lac
@ 4,015 per sq.ft. (Negotiable)","Agrawal Sagar Eden Garden
Bagmugaliya, Bhopal",1st   of 9 Floors,"Pool,Park/Garden,Club,Main Road",,"['5 Fan', '1 Exhaust Fan', '1 Stove', '8 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,East
"3 BHK Flat in Kolar Road, Bhopal",Ultimate Campus,₹45 Lac,"₹3,103 /sqft",Ready To Move,"3bhk spacious flat for sale @ ultimate campus, shrdipuram, kolar road, near jk hospital and 6lane main road Corner flat with 2 balcony 3 spacious bedroom, Gated society, with 247 security, water supply & power backup for common area, lift, reserved parking, Garden, community hall Door open at east 1st balcony west 2nd north 1st floor Flat no. F01, krishna block Super built-Up 1450 Carpet area 750sqft + reserve parking Price: 45lakhs","Carpet area: 1450
(134.71 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 3,103 per sq.ft. (Negotiable)","Ultimate Campus
Kolar Road, Bhopal",1st   of 5 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Shirdipuram, Bhopal",Signature Residency,₹82 Lac,"₹4,823 /sqft",Ready To Move,"3 bhk apartment with fresh interior. Flooring, kitchen, ceiling and lighting fixtures are upgraded.","Super Built up area 1700
(157.94 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 82 Lac
@ 4,823 per sq.ft. (Negotiable)","Signature Residency
Shirdipuram, Bhopal",2nd   of 6 Floors,"Pool,Park/Garden,Club,Main Road",,"['1 Wardrobe', '2 Fan', '1 Exhaust Fan', '1 Geyser', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],1 to 5 Year Old,East
"2 BHK Flat in Ashoka Garden, Bhopal",Shreeji Tower,₹40 Lac,"₹7,448 /sqft",Ready To Move,Located on 80feet main road with 3kms max connectivity from railway station and bus stand. In the heart of bhopal,"Built Up area: 560
(52.03 sq.m.)
Carpet area: 537 sq.ft. (49.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 7,448 per sq.ft. (Negotiable) View Price Details","Shreeji Tower
Ashoka Garden, Bhopal",3rd   of 3 Floors,Main Road,,[],"['Water Storage', 'Natural Light', 'Low Density Society', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,South-East
"3 BHK Flat in Bairagarh Chichali, Bhopal",Shriram Traders Ganga Heights 1,₹45 Lac,"₹2,903 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in bairagarh chichali is available for sale in one of bhopal's most popular projects, shriram traders ganga heights 1. The flat is facing the east direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1550 sq.Ft. This flat lies on the 4th level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with ceramic flooring options. The society complex is in the close vicinity of close to school, close to market and close to hospital, making it an ideal home for a relaxed lifestyle. All the modern amenities such as lift(s), security personnel and maintenance staff will make life easier for you. The housing society ensures a continuous supply of water to your flat from municipal corporation.","Super Built up area 1550
(144 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Others,Servant Room
View Floor Plan","₹ 45 Lac
@ 2,903 per sq.ft.","Shriram Traders Ganga Heights 1
Bairagarh Chichali, Bhopal",4th   of 6 Floors,Park/Garden,,"['2 Bed', '2 Wardrobe', '5 Fan', '1 Exhaust Fan', '20 Light', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Security Personnel', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old    View Construction Status,East
"3 BHK Flat in Bairagarh Chichali, Bhopal",Shriram Traders Ganga Heights 1,₹45 Lac,"₹3,333 /sqft",Ready To Move,Ganga height kolar road bhopal,"Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 45 Lac
@ 3,333 per sq.ft. (Negotiable)","Shriram Traders Ganga Heights 1
Bairagarh Chichali, Bhopal",4th   of 6 Floors,"Park/Garden,Main Road",,"['1 Bed', '1 Wardrobe', '6 Fan', '1 Exhaust Fan', '22 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old    View Construction Status,East
"3 BHK Flat in Khajuri Kalan , Bhopal",Gharonda Heights,₹30 Lac,"₹3,000 /sqft",Ready To Move,"Flat for sale: Prime location & amenities * 3rd floor apartment with 3 rooms, 1 dining area, and 2 bathrooms. * features 3 balconies, including 2 large ones * east-Facing (Sunrise) views. * conveniently located opposite the lift. * situated within a fully covered campus offering: * a large garden. * a children's play area at the back. * direct four-Lane road access to patel nagar right from the society entrance.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 3,000 per sq.ft. (All inclusive, Negotiable)","Gharonda Heights
Khajuri Kalan , Bhopal",3rd   of 6 Floors,"Park/Garden,Main Road",,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,East
"2 BHK Flat in Ashoka Garden, Bhopal",Shree jee tower,₹32 Lac,"₹5,714 /sqft",Ready To Move,Ready to move..... Main road Railway station 2.5 km,"Carpet area: 560
(52.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 5,714 per sq.ft. (Negotiable)","Shree jee tower
Ashoka Garden, Bhopal",3rd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"2 BHK Flat in Chobdarpura, Bhopal",GL Mid City Complex,₹32 Lac,"₹2,978 /sqft",Ready To Move,"2bhk furnished flat in the heart of the city, ( Close to chowk bazar, boat club, kamla park, vip road, shyamla hills, new market)","Super Built up area 940
(87.33 sq.m.)
Built Up area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac+ Govt Charges & Tax
@ 2,978 per sq.ft. (Negotiable) View Price Details","GL Mid City Complex
Chobdarpura, Bhopal",2nd   of 4 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff']",[],5 to 10 Year Old,North
"2 BHK Flat in Bhanpur, Bhopal",Parshav Apartment,₹22.5 Lac,"₹3,214 /sqft",Ready To Move,"Welcome to your dream home in the beautiful and safe locality of bhanpur, bhopal.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22.5 Lac
@ 3,214 per sq.ft. (Negotiable)","Parshav Apartment
Bhanpur, Bhopal",5th   of 6 Floors,Park/Garden,,[],"['Security / Fire Alarm', 'Lift(s)', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
