pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹14.5 Lac,"₹2,230 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya heritage, misrod, bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 650 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 14.5 Lac
@ 2,230 per sq.ft. (Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",5th   of 6 Floors,,,1 to 5 Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹55 Lac,"₹6,875 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on ground floor and has a built up area of 800 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Built Up area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac
@ 6,875 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",Ground of 1 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Ayodhya Bypass , Bhopal",Amaltas Westminster,₹40 Lac,"₹4,000 /sqft",Ready To Move,Good property and good location,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 4,000 per sq.ft. (Negotiable)","Amaltas Westminster
Ayodhya Bypass , Bhopal",4th   of 8 Floors,,"Pool,Park/Garden,Club,Main Road",0 to 1 Year Old    View Construction Status,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Katara Hills, Bhopal",BDA Gharonda Barrai,₹10 Lac,"₹2,000 /sqft",Ready To Move,1 bhk flat 1 balcony 1 hall 1kitchen attached to hall 1 bathroom,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 2,000 per sq.ft. (Negotiable)","BDA Gharonda Barrai
Katara Hills, Bhopal",3rd   of 4 Floors,,Club,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Maintenance Staff']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹25 Lac,"₹3,125 /sqft",Ready To Move,3 side corner side and park view in front of kitchen balcony,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac+ Govt Charges & Tax
@ 3,125 per sq.ft. (All inclusive, Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",2nd   of 4 Floors,,"Park/Garden,Main Road,Others",5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '2 Geyser', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Park', 'Shopping Centre']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 BHK Flat in Shahpura, Bhopal",N/A,₹21 Lac,"₹3,000 /sqft",Ready To Move,"This 4 bhk flat is located in n/a, which houses some of the most spacious flats in shahpura, bhopal. This property faces the south-East direction. The flat is over 700 sq.Ft. Built up area and comes with 4 bedroom(s), 3 bathrooms . This flat is situated on the ground floor of this 1 floor tall residential building. This is a ready to move project and the property is 1-5 years old.","Built Up area: 700
(65.03 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 21 Lac
@ 3,000 per sq.ft.","N/A
Shahpura, Bhopal",Ground of 1 Floors,South-East,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"3 BHK Flat in Hoshangabad Road, Bhopal",Coral Woods,₹55 Lac,"₹3,811 /sqft",Ready To Move,Spacious 3bhk flat for sale in prime location bhopal,"Carpet area: 1443
(134.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Study Room","₹ 55 Lac+ Govt Charges & Tax
@ 3,811 per sq.ft. (Negotiable)","Coral Woods
Hoshangabad Road, Bhopal",1st   of 5 Floors,,"Park/Garden,Main Road",1 to 5 Year Old,"['1 Bed', '1 Fan', '1 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bypass Road, Bhopal",ananda dhara apartments,₹24 Lac,"₹2,696 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ananda dhara apartments, bypass road, bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 890 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 890
(82.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 24 Lac
@ 2,696 per sq.ft.","ananda dhara apartments
Bypass Road, Bhopal",5th   of 6 Floors,,,1 to 5 Year Old,[],[],[],
"4 BHK Flat in Kolar Road, Bhopal",Agrawal Sagar Green Hills,₹75 Lac,"₹4,132 /sqft",Ready To Move,"This property is situated near top of the hilly area as named as sagar green hills from where you can view the beauty of nature and feel fresh always. There are 4 bedrooms with 1 large master bedroom, 3 washrooms in which 2 western toilets and 1 indian toilet with modular kitchen set. Flat is fully furnished with all the amenities including (Furnitures, dinning set, sofa set etc. There are 2 balconies from where you can see the view of dam water and enjoy the beauties of nature. The sagar green hills society is well maintained with facilities like club house, swimming pool, gym, and covered with 4 beautiful gardens.","Super Built up area 1815
(168.62 sq.m.)
Carpet area: 1343 sq.ft. (124.77 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 4,132 per sq.ft. (Negotiable)","Agrawal Sagar Green Hills
Kolar Road, Bhopal",Ground of 6 Floors,East,"Park/Garden,Club,Main Road",1 to 5 Year Old,"['3 Bed', '3 Wardrobe', '3 Fan', '1 Sofa', '1 Dining Table', '15 Light', '1 AC', '1 Modular Kitchen', '1 Curtains', 'No Chimney', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Parthsarthy Enclave, Bhopal",Landmark The Prospera,₹23 Lac,"₹3,066 /sqft",Ready To Move,"Ground floor, independent type spacious house with additional utility room for hassle free storage or flexible use and a separate porch on commercial road.","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac
@ 3,066 per sq.ft.","Landmark The Prospera
Parthsarthy Enclave, Bhopal",Ground of 3 Floors,,,10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",[],
"2 BHK Flat in Misrod, Bhopal",Natraj Society,₹22 Lac,"₹3,142 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in natraj society, misrod, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 700 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac
@ 3,142 per sq.ft.","Natraj Society
Misrod, Bhopal",2nd   of 3 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Fatehgarh, Bhopal",silver sand heights,₹27 Lac,"₹4,909 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in silver sand heights, fatehgarh, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 550 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac
@ 4,909 per sq.ft.","silver sand heights
Fatehgarh, Bhopal",3rd   of 3 Floors,,,5 to 10 Year Old,[],[],[],
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹20 Lac,"₹2,000 /sqft",Ready To Move,"Well maintained society, good location","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac
@ 2,000 per sq.ft. (All inclusive)","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",5th   of 5 Floors,East,"Park/Garden,Main Road,Club",10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Balaji tower kolar eoad,₹20 Lac,"₹2,928 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in balaji tower kolar eoad, one of the most prominent projects for flats in kolar road, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 683 sq.Ft. The residential building has 4 floors in total and the flat for sale is located on the 3rd floor. This is a ready to move project and the property is 1-5 years old.","Carpet area: 683
(63.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac+ Govt Charges & Tax
@ 2,928 per sq.ft.","Balaji tower kolar eoad
Kolar Road, Bhopal",3rd   of 4 Floors,,,1 to 5 Year Old,"['1 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Fortune Soumya Tulip Heights,₹14.5 Lac,"₹2,290 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya tulip heights, kolar road, bhopal. This it is a and the unit is located on ground floor and has a carpet area of 633 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Carpet area: 633
(58.81 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 14.5 Lac
@ 2,290 per sq.ft.","Fortune Soumya Tulip Heights
Kolar Road, Bhopal",Ground of 7 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Narayan Nagar, Bhopal",Omen Residency,₹26 Lac,"₹4,031 /sqft",Ready To Move,Pasand h location to diye gye no me call kre or call whi kre jo interested ho plz...,"Carpet area: 645
(59.92 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Pooja Room","₹ 26 Lac
@ 4,031 per sq.ft. (Negotiable)","Omen Residency
Narayan Nagar, Bhopal",2nd   of 2 Floors,,,10+ Year Old,"['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '7 Light', '1 TV', '1 Curtains', '1 Modular Kitchen', '1 AC', '3 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in E8 Arera Colony, Bhopal",fine homes,₹30 Lac,"₹3,52,941 /sqft",Ready To Move,Ground flour or 2 flat me ane jane k liye 2 man gate diye gaye hai piche ek badi gallery hai jisse aap ped lagane ya room banane k liye use kar sakte hai..Baki jo kharidne k ikchuk ho wo hi sampark kare...Or marke ek dum pass me aura mall bhi walking distance per hai pass me hi sanchi park hai janha aap tahlne yoga karne ya bacho lekar ja sakte hai..,"Carpet area: 8.5
(0.79 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 30 Lac
@ 3,52,941 per sq.ft.","fine homes
E8 Arera Colony, Bhopal",Ground of 3 Floors,,,10+ Year Old,[],[],[],
"3 BHK Flat in Chuna Bhatti, Bhopal",Agrawal Sagar Campus,₹45 Lac,"₹3,000 /sqft",Ready To Move,"Good location, all amenities nearby, secured campus","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac
@ 3,000 per sq.ft. (All inclusive)","Agrawal Sagar Campus
Chuna Bhatti, Bhopal",3rd   of 3 Floors,,,10+ Year Old,"['3 Wardrobe', '4 Fan', '15 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'No open drainage around', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Nayapura, Bhopal",Shashi Hi Tech City,₹18 Lac,"₹2,643 /sqft",Ready To Move,"Spacious rooms, well maitained society","Carpet area: 681
(63.27 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 18 Lac+ Govt Charges & Tax
@ 2,643 per sq.ft. (Negotiable)","Shashi Hi Tech City
Nayapura, Bhopal",1st   of 8 Floors,,,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",[],
"3 BHK Flat in Kolar Road, Bhopal",Faith Imperial Heights,₹18 Lac,"₹1,969 /sqft",Ready To Move,Clubhouse park and well maintained society,"Super Built up area 914
(84.91 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 18 Lac
@ 1,969 per sq.ft. (Negotiable)","Faith Imperial Heights
Kolar Road, Bhopal",3rd   of 6 Floors,,,10+ Year Old    View Construction Status,[],"['Lift(s)', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in E 7 Arera colony, Bhopal","Rachna kunj , 01/313",₹35 Lac,"₹5,384 /sqft",Ready To Move,In the ground floor / front side / 11 no market round the corner / parking area,"Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 5,384 per sq.ft.","Rachna kunj , 01/313
E 7 Arera colony, Bhopal",Ground of 4 Floors,,,10+ Year Old,[],[],[],
