pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"3 Bedroom House for sale in Sagar Avenue, Bhopal","Sagar Avenue, Bhopal",₹85 Lac,"₹6,538 /sqft",Ready To Move,"Note- Home loan of 67 lac is taken, need to transfer to new owner, property rate will be negotiated for such customers","Plot area 1300
(120.77 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 85 Lac
@ 6,538 per sq.ft. (Negotiable)","Sagar Avenue, Bhopal",1 Floors,,10+ Year Old,[],"['Security / Fire Alarm', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']",[],Main Road,
"3 Bedroom House for sale in Minal Residency, Bhopal","Minal Residency, Bhopal",₹60 Lac,"₹7,500 /sqft",Ready To Move,"Spacious duplex for sale in the prime location of old minal, bhopal. This well-Designed property offers 800 sq. Ft. Of built-Up area with a desirable west-Facing frontage. Located in a well-Connected and peaceful neighborhood, it ensures easy access to essential amenities. Available at an attractive price of 6000000, this home is perfect for comfortable family living or as a smart investment opportunity.""","Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 60 Lac
@ 7,500 per sq.ft. View Price Details","Minal Residency, Bhopal",2 Floors,West,5 to 10 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in New Minal Residency, Bhopal","New Minal Residency, Bhopal",₹99 Lac,"₹7,857 /sqft",Ready To Move,"Spacious duplex for sale in the prime location of new minal, bhopal. This well-Designed property offer 1260 sq. Ft. Of built-Up area with a desirable west-Facing frontage. Located in a well-Connected and peaceful neighborhood, it ensures easy access to essential amenities. Available at an attractive price of 9900000, this home is perfect for comfortable family living or as a smart investment opportunity.""","Plot area 1260
(117.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 99 Lac
@ 7,857 per sq.ft. View Price Details","New Minal Residency, Bhopal",,West,5 to 10 Year Old,"['3 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Internet/wi-fi connectivity', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in New Minal Residency, Bhopal","New Minal Residency, Bhopal",₹1.35 Cr,"₹8,789 /sqft",Ready To Move,"Spacious duplex for sale in the prime location of new minal, bhopal. This well-Designed property offers 1,536 sq. Ft. Of built-Up area with a desirable east-Facing frontage. Located in a well-Connected and peaceful neighborhood, it ensures easy access to essential amenities. Available at an attractive price of 13,500,000, this home is perfect for comfortable family living or as a smart investment opportunity.""","Plot area 1536
(142.7 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room","₹ 1.35 Crore
@ 8,789 per sq.ft. View Price Details","New Minal Residency, Bhopal",2 Floors,East,1 to 5 Year Old,"['3 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in New Minal Residency, Bhopal","New Minal Residency, Bhopal",₹1.3 Cr,"₹8,463 /sqft",Ready To Move,"Spacious duplex for sale in the prime location of new minal, bhopal. This well-Designed property offers 1,536 sq. Ft. Of built-Up area with a desirable west-Facing frontage. Located in a well-Connected and peaceful neighborhood, it ensures easy access to essential amenities. Available at an attractive price of 13,00,0000, this home is perfect for comfortable family living or as a smart investment opportunity."" Spacious duplex for sale in the prime location of new minal, bhopal. This well-Designed property offers 1,536 sq. Ft. Of built-Up area with a desirable west-Facing frontage. Located in a well-Connected and peaceful neighborhood, it ensures easy access to essential amenities. Available at an attractive price of 13,00,000, this home is perfect for comfortable family living or as a smart investment opportunity.""","Plot area 1536
(142.7 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room","₹ 1.3 Crore
@ 8,463 per sq.ft. View Price Details","New Minal Residency, Bhopal",2 Floors,West,5 to 10 Year Old,"['4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in Ayodhya Nagar, Bhopal",Phase VI,₹75 Lac,"₹6,818 /sqft",Ready To Move,Located in geet mohini phase vi,"Plot area 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac+ Govt Charges & Tax
@ 6,818 per sq.ft. (All inclusive, Negotiable)","Phase VI
Ayodhya Nagar, Bhopal",2 Floors,East,5 to 10 Year Old,"['1 Bed', '1 Fan', '1 Dining Table', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹50 Lac,"₹2,500 /sqft",Ready To Move,"We have a house/villa available for sale in bypass road, orai. Available at price of rs 50 lacs. It has plot area of 2000 sq ft. It has 4 bhk, 3 bathroom, 0 balcony.It is a freehold property","Plot area 2000
(185.81 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 50 Lac
@ 2,500 per sq.ft.","Bypass Road, Bhopal",1 Floors,,5 to 10 Year Old,[],[],[],,
"1 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹20 Lac,"₹1,481 /sqft",Ready To Move,"We have a house/villa available for sale in bypass road, unnao. Available at price of rs 20 lacs. It has plot area of 1350 sq ft. It has 1 bhk, 1 bathroom, 1 balcony.It is a freehold property","Plot area 1350
(125.42 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 20 Lac
@ 1,481 per sq.ft.","Bypass Road, Bhopal",1 Floors,,1 to 5 Year Old,[],[],[],,
"4 Bedroom House for sale in Bagli, Bhopal",kajibaag,₹3 Cr,"₹12,000 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in bagli, kashipur. Available at price of rs 3 crores. It has plot area of 2500 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 2500
(232.26 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 3 Crore
@ 12,000 per sq.ft.","kajibaag
Bagli, Bhopal",1 Floors,,10+ Year Old,[],[],[],,
"6 Bedroom House for sale in Shakti Nagar, Bhopal","Shakti Nagar, Bhopal",₹2 Cr,"₹13,333 /sqft",Ready To Move,House for sale 1500 sq. Ft. | prime location (Shakti nagar),"Plot area 1500
(139.35 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 1 Balcony","₹ 2 Crore+ Govt Charges & Tax
@ 13,333 per sq.ft. (Negotiable)","Shakti Nagar, Bhopal",2 Floors,,10+ Year Old,[],['Water Storage'],[],,
"2 Bedroom House for sale in Kolar Road, Bhopal",Sarvadharm Colony,₹45 Lac,"₹3,750 /sqft",Ready To Move,"We have a house/villa available for sale in kolar road, bhopal. Available at price of rs 45 lacs. It has plot area of 1200 sq ft. It has 2 bhk, 3 bathroom, 2 balcony.It is a freehold property","Plot area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 45 Lac
@ 3,750 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",2 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 Bedroom House for sale in Sukhi Sewania, Bhopal",Bhavishya Metro City,₹25 Lac,"₹2,222 /sqft",Ready To Move,A residential colony on vidisha road,"Plot area 1125
(104.52 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony with Others","₹ 25 Lac+ Govt Charges & Tax
@ 2,222 per sq.ft. (All inclusive)","Bhavishya Metro City
Sukhi Sewania, Bhopal",1 Floors,North,5 to 10 Year Old,"['2 Wardrobe', '1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Park'],[],Park/Garden,
"3 Bedroom House for sale in Arera Colony, Bhopal",DK Devsthali,₹1.35 Cr,"₹10,384 /sqft",Ready To Move,Duplex for sale at prime location of bawadiya kalan near dana pani restaurant and new bridge in covered campus with all modern amenities and at reasonable price with parking space and east facing. For more details contact komal.,"Plot area 1300
(120.77 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Servant Room","₹ 1.35 Crore
@ 10,384 per sq.ft. (All inclusive, Negotiable)","DK Devsthali
Arera Colony, Bhopal",3 Floors,,0 to 1 Year Old,"['1 Geyser', '1 Chimney', '1 Microwave', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"6 Bedroom House for sale in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹90 Lac,"₹9,000 /sqft",Ready To Move,"We have a house/villa available for sale in kolar road, bhopal. Available at price of rs 90 lacs. It has plot area of 1000 sq ft. It has 6 bhk, 10 bathroom, balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","6 Bedrooms , 10 Bathrooms, No Balcony","₹ 90 Lac
@ 9,000 per sq.ft.","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",2 Floors,,0 to 1 Year Old,[],[],[],,
"3 Bedroom House for sale in Katara Hills, Bhopal",Global Park City,₹70 Lac,"₹6,666 /sqft",Ready To Move,"I have a house/villa available for sale in katara hills, bhopal. Available at price of rs 70 lacs. It has plot area of 1050 sq ft. It has 3 bhk, 2 bathroom, 1 balcony. Mob 93407 and 54253 it is a freehold property","Plot area 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 70 Lac
@ 6,666 per sq.ft.","Global Park City
Katara Hills, Bhopal",2 Floors,East,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹55 Lac,"₹6,111 /sqft",Ready To Move,"I have a house/villa available for sale in bypass road, pilibhit. Available at price of rs 55 lacs. It has plot area of 100 sq yards. It has 4 bhk, 4 bathroom, 1 balcony.It is a freehold property",,,,,,,,[],[],[],,
"3 Bedroom House for sale in Airport Road, Bhopal","Airport Road, Bhopal",₹1.35 Cr,"₹10,800 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in airport road, a well-Planned and well-Connected locality in bhopal. This residential property boasts proximity to key landmarks like close to school, close to hospital, close to market and close to airport. The house has over super built up area of 1250 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 2 balconies. Another added advantage of this 10+ years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The price of this spacious independent house is 1.35 crore. Borewell/tank provides a regular supply of water to this residential house. The residential house is north-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 1.35 Crore+ Govt Charges & Tax
@ 10,800 per sq.ft. (Negotiable)","Airport Road, Bhopal",2 Floors,North,10+ Year Old,[],"['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,
"3 Bedroom House for sale in Karamveer Nagar, Bhopal","bharat nagar, karam veer nagar",₹1.25 Cr,"₹8,333 /sqft",Ready To Move,Duplex for sale in karam veer nagar 1500 sq.Ft,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 8,333 per sq.ft.","bharat nagar, karam veer nagar
Karamveer Nagar, Bhopal",2 Floors,,5 to 10 Year Old,[],[],[],,
"5 Bedroom House for sale in 1100 Quarters Arera Colony, Bhopal","1100 Quarters Arera Colony, Bhopal",₹1.65 Cr,"₹9,166 /sqft",Ready To Move,Very good location arera colony,"Plot area 1800
(167.23 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Study Room","₹ 1.65 Crore+ Govt Charges & Tax
@ 9,166 per sq.ft.","1100 Quarters Arera Colony, Bhopal",2 Floors,East,5 to 10 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",[],Park/Garden,
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Aakriti Aqua City,₹36.9 Lac,"₹5,271 /sqft",Ready To Move,"Airy rooms open balcony and modular kitchen and a car parking area just after the gate is opened. The flooring is of tiles. Pollution free area and parks of the colony offer a healthy environment and chance of spending l life with full qualitative style. So, grab the opportunity and book it before some other do so.","Plot area 700
(65.03 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 36.9 Lac
@ 5,271 per sq.ft. (Negotiable)","Aakriti Aqua City
Hoshangabad Road, Bhopal",1 Floors,,5 to 10 Year Old,[],"['Park', 'Natural Light']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Lalghati, Bhopal",Globus Greens,₹2.1 Cr,"₹14,000 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in nayapura, bhopal. Available at price of rs 2.1 crores. It has plot area of 1500 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.1 Crore
@ 14,000 per sq.ft.","Globus Greens
Lalghati, Bhopal",2 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"5 Bedroom House for sale in Kohefiza, Bhopal",Housing Board Colony,₹1.25 Cr,"₹12,500 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in housing board colony, bhopal. Available at price of rs 1.25 crores. It has plot area of 1000 sq ft. It has 5 bhk, 4 bathroom, 1 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 1.25 Crore
@ 12,500 per sq.ft.","Housing Board Colony
Kohefiza, Bhopal",2 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in Kunjan nagar phase 1, Bhopal","Kunjan nagar phase 1, Bhopal",₹75 Lac,"₹7,894 /sqft",Ready To Move,"Kunjan nagar well-Connected residential pocket off hoshangabad road, bhopal","Plot area 950
(88.26 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 75 Lac
@ 7,894 per sq.ft. View Price Details","Kunjan nagar phase 1, Bhopal",,East,0 to 1 Year Old,[],['Water Storage'],[],Main Road,
"2 Bedroom House for sale in Awadhpuri, Bhopal",Girnar Hills,₹40 Lac,"₹7,142 /sqft",Ready To Move,For sale: 2bhk duplex garden facing (16x35 ft),"Plot area 560
(52.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 7,142 per sq.ft. (All inclusive)","Girnar Hills
Awadhpuri, Bhopal",2 Floors,North,1 to 5 Year Old    View Construction Status,[],"['Private Garden / Terrace', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"6 Bedroom House for sale in Bawadia Kalan, Bhopal",Priyadarshini The Athenaeum,₹5.15 Cr,"₹17,758 /sqft",Ready To Move,Plot with structure,"Plot area 2900
(269.42 sq.m.)
Built Up area: 7000 sq.ft. (650.32 sq.m.)  
sq.ft.","6 Bedrooms , 7 Bathrooms, 3+ Balconies","₹ 5.15 Crore+ Govt Charges & Tax
@ 17,758 per sq.ft. (All inclusive, Negotiable)","Priyadarshini The Athenaeum
Bawadia Kalan, Bhopal",4 Floors,East,0 to 1 Year Old,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
