pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"2 BHK Flat in Saket Nagar, Bhopal",Ganesh Complex,₹40 Lac,"₹3,333 /sqft",Ready To Move,Good location and low money good enviroment in our area,"Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 40 Lac
@ 3,333 per sq.ft. (All inclusive)","Ganesh Complex
Saket Nagar, Bhopal",Ground of 1 Floors,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Kolar Road, Bhopal",Ultimate Campus,₹45 Lac,"₹3,103 /sqft",Ready To Move,"3bhk spacious flat for sale @ ultimate campus, shrdipuram, kolar road, near jk hospital and 6lane main road Corner flat with 2 balcony 3 spacious bedroom, Gated society, with 247 security, water supply & power backup for common area, lift, reserved parking, Garden, community hall Door open at east 1st balcony west 2nd north 1st floor Flat no. F01, krishna block Super built-Up 1450 Carpet area 750sqft + reserve parking Price: 45lakhs","Carpet area: 1450
(134.71 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 3,103 per sq.ft. (Negotiable)","Ultimate Campus
Kolar Road, Bhopal",1st   of 5 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Bagmugaliya, Bhopal",Agrawal Sagar Eden Garden,₹53 Lac,"₹4,015 /sqft",Ready To Move,"East facing 3bhk newly painted semi furnished flat with semi-Private staircase for entry and easiest access in the entire society. Vastu compliant, right in front of the society club house and main gate for even easier entry and exit. Newly done up kitchen, fresh electrical appliances in the entire apartment with fresh paint done 1 month back.","Carpet area: 1320
(122.63 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies
View Floor Plan","₹ 53 Lac
@ 4,015 per sq.ft. (Negotiable)","Agrawal Sagar Eden Garden
Bagmugaliya, Bhopal",1st   of 9 Floors,1 to 5 Year Old,"['5 Fan', '1 Exhaust Fan', '1 Stove', '8 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Main Road",
"2 BHK Flat in Jawahar Chowk, Bhopal",Gomantika parisar,₹80 Lac,"₹8,922 /sqft",Ready To Move,"This is 2bhk flat..In clean and covered campus in a prime location smart city area and full time security..No issues of water and electricity .Society maintain lifts and cleanliness ,new market is near by.","Carpet area: 896.63
(83.3 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 80 Lac
@ 8,922 per sq.ft. (Negotiable)","Gomantika parisar
Jawahar Chowk, Bhopal",1st   of 4 Floors,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Geyser', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']",[],East,,
"3 BHK Flat in Nayapura, Bhopal",DK Bridge Tower,₹50 Lac,"₹4,347 /sqft",Ready To Move,This is new and close 6 lane kolhar road and near to community center,"Super Built up area 1228
(114.08 sq.m.)
Carpet area: 1150 sq.ft. (106.84 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 50 Lac
@ 4,347 per sq.ft. (Negotiable)","DK Bridge Tower
Nayapura, Bhopal",5th   of 6 Floors,1 to 5 Year Old,"['2 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park']",[],,,
"3 BHK Flat in Arvind Vihar, Bhopal",Shubh Shanti Tower,₹55 Lac,"₹3,666 /sqft",Ready To Move,"Beautifully constructed, spacious flats at one of the most premium locations of bhopal. Our locality is nearest to aiims, mount carmel school, and hoshangabad road. Park facing complex with lifts, open terrace, closed parking and 24*7 water facility amongst the basic amenities.","Carpet area: 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 55 Lac
@ 3,666 per sq.ft. (All inclusive)","Shubh Shanti Tower
Arvind Vihar, Bhopal",1st   of 4 Floors,0 to 1 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage']",[],,"Park/Garden,Main Road",
"2 BHK Flat in Abbas Nagar, Bhopal",Abbas Ahmed nagar,₹10.5 Lac,"₹2,333 /sqft",Ready To Move,"Spacious 2bhk flat in a prime location with excellent connectivity. Just minutes away from the airport, major educational institutions, it park, and bairagarh market. Bus station nearby for easy daily commute. Located in a safe and peaceful neighborhood, ideal for families and working professionals. Don't miss this opportunity.","Carpet area: 450
(41.81 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 10.5 Lac
@ 2,333 per sq.ft.","Abbas Ahmed nagar
Abbas Nagar, Bhopal",2nd   of 4 Floors,5 to 10 Year Old,[],[],[],,,
"3 BHK Flat in Hoshangabad Road, Bhopal",Sagar Eden Garden,₹45 Lac,"₹3,409 /sqft",Ready To Move,"Situated in hoshangabad road, bhopal, sagar eden garden is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 1320 sq.Ft. The property is located on the 3rd floor of a 6 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Built Up area: 1320
(122.63 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 3,409 per sq.ft.","Sagar Eden Garden
Hoshangabad Road, Bhopal",3rd   of 6 Floors,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,undefined
"2 BHK Flat in Ayodhya Bypass , Bhopal",Girnar Valley,₹25 Lac,"₹2,958 /sqft",Ready To Move,"This beautiful 2 bhk flat in ayodhya bypass , bhopal is situated in girnar valley, one of the popular residential society in bhopal. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony 1 hall. All in all, the flat is spread over a super built up area of 845 sq.Ft. The flat has a total of 6 floors and this property is situated on 4th floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move.","Super Built up area 845
(78.5 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,958 per sq.ft. (All inclusive, Negotiable)","Girnar Valley
Ayodhya Bypass , Bhopal",4th   of 6 Floors,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Others,
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹30 Lac,"₹3,750 /sqft",Ready To Move,Airy spacious good society 3 km from sagar public school and sage university. All necessary medical bank and household facilities available in campus,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 3,750 per sq.ft. (Negotiable)","Asnani Spring Valley Dew
Katara Hills, Bhopal",1st   of 3 Floors,5 to 10 Year Old    View Construction Status,"['1 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Others,
"2 BHK Flat in Jahangirabad, Bhopal",Center Point Jinsi Square,₹22 Lac,"₹4,400 /sqft",Ready To Move,On road appartment in very good condition,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac
@ 4,400 per sq.ft. (Negotiable)","Center Point Jinsi Square
Jahangirabad, Bhopal",3rd   of 4 Floors,1 to 5 Year Old,[],"['Lift(s)', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Main Road,
"2 BHK Flat in Old Subhash Nagar Colony, Bhopal",apsara complex,₹18 Lac,"₹3,614 /sqft",Ready To Move,"East-Facing 2-Bedroom flat with a large balcony adjacent to the kitchen, 1 dedicated car parking space, and 1 attached modern bathroom. Ideal for small families looking for comfort and convenience. Natural light and ventilation","Carpet area: 498.01
(46.27 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 18 Lac
@ 3,614 per sq.ft. (Negotiable)","apsara complex
, Bhopal",1st   of 3 Floors,10+ Year Old,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Maintenance Staff'],[],East,,
"3 BHK Flat in Jatkhedi, Bhopal",Shri Balaji Swastik Grand,₹55 Lac,"₹3,267 /sqft",Ready To Move,Hi i want to sell my flat on 2nd floor it is a furnished flat with all wooden work and modular kitchen. Please check this out if you want to have a good deal.,"Super Built up area 1683
(156.36 sq.m.)
Carpet area: 1643 sq.ft. (152.64 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony with Servant Room","₹ 55 Lac+ Govt Charges & Tax
@ 3,267 per sq.ft. (Negotiable)","Shri Balaji Swastik Grand
Jatkhedi, Bhopal",2nd   of 7 Floors,5 to 10 Year Old,"['1 Water Purifier', '8 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '12 Light', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '3 Wardrobe', '1 Sofa', 'No AC', 'No Microwave', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],East,,
"3 BHK Flat in Kolar Road, Bhopal",Drishti City,₹29.85 Lac,"₹2,388 /sqft",Ready To Move,"3 bhk in dristi city, kolar road bhopal","Carpet area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 29.85 Lac+ Govt Charges & Tax
@ 2,388 per sq.ft. (Negotiable)","Drishti City
Kolar Road, Bhopal",4th   of 6 Floors,1 to 5 Year Old,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Misrod, Bhopal",Chinarr Dream City,₹35 Lac,"₹2,500 /sqft",Ready To Move,3bhk nearly new flat available for sell at chindar dream city at chandan block 4th floor Lift facility available Balcony east facing On road property at hosangabad road,"Carpet area: 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac+ Govt Charges & Tax
@ 2,500 per sq.ft. (All inclusive, Negotiable)","Chinarr Dream City
Misrod, Bhopal",4th   of 6 Floors,5 to 10 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Fridge', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Low Density Society', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Others,
"3 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹36 Lac,"₹3,000 /sqft",Ready To Move,Sun light and ventilation all season,"Super Built up area 1200
(111.48 sq.m.)
Carpet area: 810 sq.ft. (75.25 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 36 Lac+ Govt Charges & Tax
@ 3,000 per sq.ft.","Fortune Soumya Heritage
Misrod, Bhopal",2nd   of 6 Floors,5 to 10 Year Old    View Construction Status,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Misrod, Bhopal",Chinarr Dream City,₹35 Lac,"₹2,500 /sqft",Ready To Move,3bhk nearly new flat available for sell at chindar dream city at chandan block 4th floor Lift facility available Balcony east facing On road property at hosangabad road,"Carpet area: 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac+ Govt Charges & Tax
@ 2,500 per sq.ft. (All inclusive, Negotiable)","Chinarr Dream City
Misrod, Bhopal",4th   of 6 Floors,5 to 10 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Fridge', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Low Density Society', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Others,
"3 BHK Flat in Misrod, Bhopal",Natraj Society,₹35 Lac,"₹3,500 /sqft",Ready To Move,"Good location and all time conctivity, main 11 square only 500 mtr away, 03 shoping centre only 3 km. Hospital also 03 km","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 3,500 per sq.ft. (Negotiable)","Natraj Society
Misrod, Bhopal",2nd   of 3 Floors,5 to 10 Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Main Road,
