pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"4 BHK Flat in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹55 Lac,"₹4,867 /sqft",Ready To Move,"A 4 bhk apartment in sagar priyam tower jk hospital kolar road bhopal bhopal is available for sale. This property is a part of agrawal sagar premium towers.It has a super built-Up area of 1500 sq.Ft. Carpet area 1130 square feet the apartment is spaciously designed with 4 bedrooms, 3 bathrooms and more than 1 balconies. The apartment is on the 5th floor of 6 floors. The ownership of the apartment is freehold. The expected price of this property is price on request().","Super Built up area 1130
(104.98 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 55 Lac
@ 4,867 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",5th   of 6 Floors,,10+ Year Old,[],[],[],,
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹17 Lac,"₹2,428 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 700 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 17 Lac
@ 2,428 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",2nd   of 3 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Kohefiza, Bhopal",Kamal Krishna Plaza Apartments,₹75 Lac,"₹4,687 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in kamal krishna plaza apartments, krishnanchal appartment, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1600 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1600
(148.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 75 Lac
@ 4,687 per sq.ft.","Kamal Krishna Plaza Apartments
Kohefiza, Bhopal",2nd   of 3 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹42 Lac,"₹3,818 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiva whispering woods, salaiya, bhopal. This it is a and the unit is located on 4th floor and has a carpet area of 1100 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Carpet area: 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 42 Lac
@ 3,818 per sq.ft.","Shiva Whispering Woods
Salaiya, Bhopal",4th   of 6 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Arera Colony, Bhopal",BABA Apartments E7 Arera Colony,₹50 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in baba apartments e7 arera colony, near 11 no bus stop behind chitransh college, bhopal. This semifurnished apartment is a 10+ year old property, priced rs. 5000000 (Negotiable). It is a resale and a ready to move in apartment. The unit is located on the 2nd floor and has a super built-Up area of 1300 sq. Ft. It has marble flooring. It has 2 bathroom(S) and 4 balalcony(S). The ownership is freehold type. The property offers the best in class facilities such as park, visitor parking and water storage. It is positioned in a gated society. The apartment has 1 covered parking.","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1240 sq.ft. (115.2 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3+ Balconies","₹ 50 Lac
@ 3,333 per sq.ft.","BABA Apartments E7 Arera Colony
Arera Colony, Bhopal",2nd   of 3 Floors,,10+ Year Old,[],"['Park', 'Visitor Parking', 'Water Storage', 'Maintenance Staff']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Bagmugaliya, Bhopal",Sagar Royal Villas,₹38 Lac,"₹2,171 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in sagar royal villas, a popular residential project that houses in-Demand flats in bagmugaliya, bhopal. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1750 sq.Ft. The residential building has 5 floors in total and the flat for sale is located on the 4th floor. This is a ready to move project and the property is 1-5 years old. This residential property is situated near close to metro station, close to hospital, close to railway station and close to market. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel and maintenance staff.","Super Built up area 1750
(162.58 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 38 Lac
@ 2,171 per sq.ft. (Negotiable) View Price Details","Sagar Royal Villas
Bagmugaliya, Bhopal",4th   of 5 Floors,,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Hoshangabad Road, Bhopal",Aashima Royal City,₹41 Lac,"₹3,037 /sqft",Ready To Move,Nice place.Ready to move.Pls contact,"Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 41 Lac
@ 3,037 per sq.ft.","Aashima Royal City
Hoshangabad Road, Bhopal",5th   of 6 Floors,"Pool,Park/Garden,Club",0 to 1 Year Old,"['3 Fan', '1 Geyser', '8 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹30 Lac,"₹2,500 /sqft",Ready To Move,Good society for the family .....Please visit once . Its including all aminities .,"Super Built up area 1200
(111.48 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 2,500 per sq.ft. (Negotiable)","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",6th   of 6 Floors,"Park/Garden,Main Road",5 to 10 Year Old,"['4 Fan', '2 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"2 BHK Flat in Salaiya, Bhopal",Lila Atulyam,₹27 Lac,"₹4,990 /sqft",Ready To Move,"With lift facility, swimming pool, playground,park, guard facility, temple, gym","Super Built up area 732
(68.01 sq.m.)
Built Up area: 542 sq.ft. (50.35 sq.m.)
Carpet area: 541 sq.ft. (50.26 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 27 Lac
@ 4,990 per sq.ft. (Negotiable)","Lila Atulyam
Salaiya, Bhopal",3rd   of 7 Floors,"Pool,Park/Garden,Main Road",1 to 5 Year Old    View Construction Status,"['1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-East,
"2 BHK Flat in Kolar Road, Bhopal",Samriddhi Apartment,₹15 Lac,"₹2,727 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in samriddhi apartment, kolar road, bhopal. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 550 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.","Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 15 Lac
@ 2,727 per sq.ft.","Samriddhi Apartment
Kolar Road, Bhopal",1st   of 3 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",fortune saumya,₹17 Lac,"₹2,485 /sqft",Ready To Move,"Check out this 2 bhk apartment for sale in fortune saumya, a popular residential project that houses in-Demand flats in katara hills, bhopal. Constructed on a super built up area of 684 sq.Ft., the flat comprises 2 bedroom(s), 1 bathroom and 1 balcony. This flat lies on the 5th level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.","Super Built up area 684
(63.55 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 17 Lac
@ 2,485 per sq.ft.","fortune saumya
Katara Hills, Bhopal",5th   of 6 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Arera Colony, Bhopal",Vivek Apartment,₹30 Lac,"₹3,750 /sqft",Ready To Move,Spacious 2 bhk apartment in prime arera colony,"Super Built up area 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 3,750 per sq.ft. (All inclusive, Negotiable)","Vivek Apartment
Arera Colony, Bhopal",2nd   of 4 Floors,"Park/Garden,Main Road",10+ Year Old,"['2 Bed', '1 Wardrobe', '4 Fan', '1 Sofa', '1 Exhaust Fan', '1 Stove', '4 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Recently Renovated', 'Security Personnel', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,
"3 BHK Flat in Salaiya, Bhopal",Ville Panache,₹62.5 Lac,"₹5,841 /sqft",Ready To Move,It's a very peaceful elegant but very well connected and in a very prime area,"Built Up area: 1496
(138.98 sq.m.)
Carpet area: 1070 sq.ft. (99.41 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies with Others","₹ 62.5 Lac+ Govt Charges & Tax
@ 5,841 per sq.ft. (Negotiable) View Price Details","Ville Panache
Salaiya, Bhopal",6th   of 6 Floors,"Pool,Park/Garden,Club",5 to 10 Year Old    View Construction Status,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '30 Light', '3 AC', '1 TV', '1 Modular Kitchen', '3 Bed', '5 Wardrobe', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Shahjahanabad, Bhopal",Malik apartment,₹15 Lac,"₹2,727 /sqft",Ready To Move,Spacious rooms with proper ventilation but it does not have 4 wheeler parking,"Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 15 Lac
@ 2,727 per sq.ft. (Negotiable)","Malik apartment
Shahjahanabad, Bhopal",1st   of 3 Floors,Main Road,5 to 10 Year Old,[],"['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹24 Lac,"₹2,925 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya heritage, misrod, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 940 sq.Ft. . It has 2 bathroom(s). The ownership is leasehold type.","Super Built up area 940
(87.33 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 24 Lac
@ 2,925 per sq.ft.","Fortune Soumya Heritage
Misrod, Bhopal",2nd   of 6 Floors,,5 to 10 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Gulmohar Colony, Bhopal",Mirchandani Shalimar Campus,₹32 Lac,"₹4,183 /sqft",Ready To Move,"This 3 bhk flat is located in mirchandani shalimar campus, which houses some of the most spacious flats in gulmohar colony, bhopal. This property faces the west direction. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 765 sq.Ft. The property is located on the 1st floor of a 4 floors tall building. This 10+ years old property is available for immediate possession as the project is ready to move. The ceramic flooring of this flat is beautifully designed and helps to give it a pleasing look. Moreover, this property offers close proximity to important landmarks such as close to market, close to school, close to hospital and close to mall. Mirchandani shalimar campus is designed very well to provide modern facilities such as visitor parking, lift(s) and park. The residents of this project enjoy a 24*7 access to clean water.","Carpet area: 765
(71.07 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 4,183 per sq.ft. View Price Details","Mirchandani Shalimar Campus
Gulmohar Colony, Bhopal",1st   of 4 Floors,Park/Garden,10+ Year Old,"['1 Wardrobe', '4 Fan', '1 Exhaust Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"3 BHK Flat in Salaiya, Bhopal",IBD Royal City,₹35 Lac,"₹3,043 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in salaiya is available for sale in one of bhopal's most popular projects, ibd royal city. The flat occupies a built up area of 1150 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 5th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Built Up area: 1150
(106.84 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 3,043 per sq.ft.","IBD Royal City
Salaiya, Bhopal",5th   of 6 Floors,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,undefined
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹45 Lac,"₹4,245 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiva whispering woods, salaiya, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 1060 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1060
(98.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 45 Lac
@ 4,245 per sq.ft.","Shiva Whispering Woods
Salaiya, Bhopal",4th   of 6 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Airport Road, Bhopal",Nirman Sudhas Parn Kuti Parisar,₹30 Lac,"₹4,000 /sqft",Ready To Move,Our flat is fully renovated ..Can see first..Then decide,"Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 3 Balconies","₹ 30 Lac
@ 4,000 per sq.ft.","Nirman Sudhas Parn Kuti Parisar
Airport Road, Bhopal",2nd   of 2 Floors,,5 to 10 Year Old,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Salaiya, Bhopal",Garnet block,₹30 Lac,"₹2,429 /sqft",Ready To Move,3 bhopal flat ground floor @30lacs at bhopal,"Carpet area: 1235
(114.74 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 2,429 per sq.ft. (All inclusive, Negotiable)","Garnet block
Salaiya, Bhopal",Ground of 1 Floors,Park/Garden,1 to 5 Year Old,[],"['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"1 BHK Flat in Khajuri Kalan , Bhopal",Shivlok Phase III,₹10 Lac,"₹2,857 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in , khajuri kalan , bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 350 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 350
(32.52 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 2,857 per sq.ft.","Shivlok Phase III
Khajuri Kalan , Bhopal",1st   of 4 Floors,"Park/Garden,Main Road,Club,Others",5 to 10 Year Old,[],"['Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
