pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"7 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹1.15 Cr,"₹10,492 /sqft",Ready To Move,"The interior of the property and the materials used to build it.. Everything is well organized and used in a beautiful way... The nearby area is also good. The market, market, school and hospital are within your reach... This arrangement makes the property special..","Plot area 1096
(101.82 sq.m.)
Built Up area: 2950 sq.ft. (274.06 sq.m.)  
sq.ft.","7 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room","₹ 1.15 Crore
@ 10,492 per sq.ft. (All inclusive) View Price Details","Awadhpuri, Bhopal",2 Floors,1 to 5 Year Old,"['6 Bed', '6 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Stove', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Park/Garden,
"4 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹81 Lac,"₹6,881 /sqft",Ready To Move,"150 m from the main road, krishna mandir , near park ,","Plot area 1177
(109.35 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 81 Lac
@ 6,881 per sq.ft. (All inclusive) View Price Details","Awadhpuri, Bhopal",2 Floors,0 to 1 Year Old,[],"['Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 Bedroom House for sale in Kolar Road, Bhopal",Windsor Palms,₹55 Lac,"₹6,875 /sqft",Under Construction,"3 bhk duplex for sale in windsor plam near mother teresa school kolar road bhopal,","Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Others
View Floor Plan","₹ 55 Lac+ Govt Charges & Tax
@ 6,875 per sq.ft. (Negotiable) View Price Details","Windsor Palms
Kolar Road, Bhopal",2 Floors,,"['1 Wardrobe', '1 Fan', '1 Sofa', '1 Geyser', '1 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Park/Garden,Club,Main Road",Within 3 months
"3 Bedroom House for sale in Karond, Bhopal",Sweet Home Residency,₹52 Lac,"₹7,222 /sqft",Ready To Move,Only 1 units left luxury 3bhk duplex near people's mall! Premium location | smart investment | ready-To-Move,"Plot area 720
(66.89 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 52 Lac
@ 7,222 per sq.ft.","Sweet Home Residency
Karond, Bhopal",2 Floors,0 to 1 Year Old,[],"['False Ceiling Lighting', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Main Road,Others",
"5 Bedroom House for sale in Ruchi Lifescape, Bhopal","Ruchi Lifescape, Bhopal",₹1 Cr,"₹6,856 /sqft",Under Construction,"Check out this 5 bhk house (Corner and garden facing ) for sale in ruchi lifescape, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential property boasts proximity to key landmarks like close to metro station, close to school and close to market. This house occupies a built up area of 1458 sqft and super built up area of 3400 sq.Ft. And contains 5 bedrooms, 6 bathrooms and 3 balconies. This 5 bhk house comes attached with 3 open parking for your vehicle(s). This villa is currently under construction stage and you can expect to get the immediate possession of the property.This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 1 crore. Many of the modern amenities being offered, like park and visitor parking, will provide a pleasant living experience for you. The house provides continuous water supply with individual bore hole of 240 ft and borewell/tank. This is a north-East-Facing property. The house is under construction and can be modified as per requirements.","Plot area 1458.5
(135.5 sq.m.)
Built Up area: 3400 sq.ft. (315.87 sq.m.)  
sq.ft.","5 Bedrooms , 6 Bathrooms, 3 Balconies","₹ 1 Crore
@ 6,856 per sq.ft. (Negotiable)",", Bhopal",2 Floors,,[],"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",[],North-East,"Park/Garden,Club,Main Road",Within 3 months
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Prithvi Kilol Bungalows,₹1.4 Cr,"₹7,730 /sqft",Ready To Move,A large 3 bhk duplex of carpet area more than 2000 sq.Ft. On 1800 sq.Ft. Plot in proximity to hoshangabad road. All wooden work completed along with 3 kw solar plant installed.,"Plot area 1811
(168.25 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies","₹ 1.4 Crore
@ 7,730 per sq.ft. (All inclusive)","Prithvi Kilol Bungalows
Hoshangabad Road, Bhopal",2 Floors,1 to 5 Year Old,"['2 Bed', '2 Wardrobe', '7 Fan', '1 Sofa', '1 Dining Table', '3 Geyser', '7 Light', '1 AC', '1 Chimney', 'No Curtains', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road",
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Agrawal Sagar Pearl Phase 1,₹1.45 Cr,"₹12,831 /sqft",Ready To Move,Just for selling property 4bhk duplex/ house plot area 1125 square feet. Fully furnished.,"Plot area 1130
(104.98 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 1.45 Crore
@ 12,831 per sq.ft. View Price Details","Agrawal Sagar Pearl Phase 1
Hoshangabad Road, Bhopal",2 Floors,1 to 5 Year Old,"['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '8 Light', '1 Chimney', '1 TV', '1 Curtains', '1 Modular Kitchen', '3 AC', '5 Wardrobe', '3 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road,Club,Pool,Others,Sea facing",
"3 Bedroom House for sale in Danish Nagar, Bhopal","Danish Nagar, Bhopal",₹1.38 Cr,"₹11,500 /sqft",Ready To Move,It's a 1200 sq.Ft (2060) commercial property. In main danish nagar hoshangabad road,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.38 Crore
@ 11,500 per sq.ft. (Negotiable) View Price Details","Danish Nagar, Bhopal",2 Floors,10+ Year Old,"['2 Bed', '2 Wardrobe', '4 Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South,Main Road,
"3 Bedroom House for sale in crystal, Bhopal",Crystal Ideal City,₹80 Lac,"₹9,090 /sqft",Ready To Move,03 bhk duplex in crystal ideal city,"Plot area 880
(81.75 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 80 Lac
@ 9,090 per sq.ft.","Crystal Ideal City
crystal, Bhopal",2 Floors,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],,,
"3 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹65 Lac,"₹8,125 /sqft",Ready To Move,"3 bhk duplex for sale tulips green, kolar road, bhopal Beautifully designed 3 bhk duplex in one of the most sought-After townships tulips green, kolar road. Spacious layout & modern architecture Gated community with 247 security Peaceful & green surroundings Close to schools, colleges, hospitals & daily needs Prime location kolar road, bhopal Perfect choice for family living & investment Contact now to book your site visit!","Plot area 800
(74.32 sq.m.)
Built Up area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others,Pooja Room,Study Room","₹ 65 Lac+ Govt Charges & Tax
@ 8,125 per sq.ft. (Negotiable) View Price Details","Kolar Road, Bhopal",2 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Pool,Club,Park/Garden,Main Road,Sea facing,Others",
"2 Bedroom House for sale in Katara Hills, Bhopal","Katara Hills, Bhopal",₹78 Lac,"₹6,500 /sqft",Ready To Move,"Covered campus, all amenities, big garden , school and market in walking distance..","Plot area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room","₹ 78 Lac
@ 6,500 per sq.ft. (All inclusive) View Price Details","Katara Hills, Bhopal",1 Floors,1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 Bedroom House for sale in New Choksey Nagar, Bhopal",LAMBAKHEDA BERASIA ROAD,₹59 Lac,"₹5,900 /sqft",Ready To Move,"Duplex sale in 1000 sq.Ft., well furnished situated in lambakhed, new chouksey nagar, berasia road bhopal","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 59 Lac
@ 5,900 per sq.ft.","LAMBAKHEDA BERASIA ROAD
New Choksey Nagar, Bhopal",2 Floors,1 to 5 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],,,
"4 Bedroom House for sale in Navi Bagh, Bhopal",Geet Greens,₹1.02 Cr,"₹7,005 /sqft",Ready To Move,"04 bhk duplex , west facing, 3 attach lat bath, one store room, underground water tank 3500 ltr , 1456 sq.Ft. Built up area, covered campus","Built Up area: 1456
(135.27 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 1.02 Crore
@ 7,005 per sq.ft.","Geet Greens
Navi Bagh, Bhopal",2 Floors,1 to 5 Year Old,"['1 Fan', '1 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],[],,,
"5 Bedroom House for sale in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹2.15 Cr,"₹5,375 /sqft",Under Construction,"Property type: Residential plot + construction option available Location: Oswal nagar society, near aashima mall, bhopal Plot size: 38 x 60 = 2280 sq.Ft Built-Up area (On demand): 4000+ sq.Ft Demand: 2.15 cr onwards , compilite bungalow price Approval: Tncp approved | national bank approved","Plot area 2280
(211.82 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)
Carpet area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Servant Room","₹ 2.15 Crore
@ 5,375 per sq.ft. (All inclusive)","Hoshangabad Road, Bhopal",3 Floors,,"['1 Water Purifier', '1 Fan', '1 Sofa', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Spacious Interiors', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Park/Garden,May 2026
"3 Bedroom House for sale in Sonagiri, Bhopal","SONAGIRI, CHANCHAL NAGAR",₹85 Lac,"₹8,500 /sqft",Ready To Move,"Newly construction duplex for sale in chanchal nagar, sonagiri, bhopal Plot carpet area 1000 sq.Ft.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 85 Lac
@ 8,500 per sq.ft. (Negotiable)","SONAGIRI, CHANCHAL NAGAR
Sonagiri, Bhopal",2 Floors,10+ Year Old,"['1 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Ayodhya Bypass , Bhopal",Tirupati Abhinav Homes Ayodhya Bypass,₹95 Lac,"₹9,178 /sqft",Ready To Move,"Near by ayodhya bypass , on road campus, near by school,near by hospital ,","Plot area 1035
(96.15 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 95 Lac
@ 9,178 per sq.ft. (Negotiable) View Price Details","Tirupati Abhinav Homes Ayodhya Bypass
Ayodhya Bypass , Bhopal",2 Floors,5 to 10 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"5 Bedroom House for sale in Danish Kunj, Bhopal","Danish Kunj, Bhopal",₹2.6 Cr,"₹12,380 /sqft",Ready To Move,"5 bhk duplex with 2 kitchens for sale dk-1, danish kunj, bhopal","Plot area 2100
(195.1 sq.m.)
Built Up area: 3600 sq.ft. (334.45 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 2.6 Crore
@ 12,380 per sq.ft. View Price Details","Danish Kunj, Bhopal",2 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Main Road,
"3 Bedroom House for sale in Kolar Road, Bhopal",Ultimate English Villa,₹63 Lac,"₹8,125 /sqft",Ready To Move,"It is covered campus society with well furnished house accomplishing covered top for safety purpose,dam proof roof,store house covered,garden area floored.In the heart of city peaceful society.","Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 63 Lac
@ 8,125 per sq.ft. (All inclusive)","Ultimate English Villa
Kolar Road, Bhopal",2 Floors,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Main Road,Sea facing",
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Aakriti Aquacity Mansarovar Cozi Bunglows,₹40 Lac,"₹5,000 /sqft",Ready To Move,Some addition makes by me as i am ret civil engineer.To easy movement and for the purpose of good looking......,"Plot area 800
(74.32 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)
Carpet area: 550 sq.ft. (51.1 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 40 Lac+ Govt Charges & Tax
@ 5,000 per sq.ft. (Negotiable)","Aakriti Aquacity Mansarovar Cozi Bunglows
Hoshangabad Road, Bhopal",2 Floors,0 to 1 Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road,Sea facing",
