pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"2 Bedroom House for sale in Barrai, Bhopal","Barrai, Bhopal",₹76 Lac,"₹5,974 /sqft",Ready To Move,"Own boring, garden facing, cctv camera","Plot area 1272
(118.17 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, No Balcony","₹ 76 Lac
@ 5,974 per sq.ft. (All inclusive) View Price Details","Barrai, Bhopal",1 Floors,East,1 to 5 Year Old,"['1 Exhaust Fan', '1 Stove', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park']",[],Park/Garden,
"1 Bedroom House for sale in Vidisha Road, Bhopal",Bhavishya Metro City,₹15.5 - 17.5 Lac,"₹3,224 /sqft",Ready To Move,"Bhavishya metro city sector b, located in bhopal, is one of the residential developments of bhavishya builder. It offers plots. The project is well equipped with all the amenities to facilitate the needs of the residents. Plots range starts from 6.99 lacs. Bungalow range from 13.50 - 37 lacs. Features Integrated community with 24x7 security Boundary wall Indoor games High quality a class construction Pollution free environment Wide cement concrete roads Underground electrification Roadside plantation Water supply through overhead tank Layout approved by town and country planning",,,,,,,,[],[],"[{'Connectivity': '3.5 out of 5'}, {'Lifestyle': '3.8 out of 5'}, {'Safety': '3.6 out of 5'}, {'Green Area': '3.7 out of 5'}]",,
"5 Bedroom House for sale in Teela Jamalpura, Bhopal","Teela Jamalpura, Bhopal",₹65 Lac,"₹4,333 /sqft",Ready To Move,"5 bhk spacious house for sale in teela jamalpura, bhopal (Old city)","Plot area 1500
(139.35 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 1 Balcony with Others","₹ 65 Lac+ Govt Charges & Tax
@ 4,333 per sq.ft. (Negotiable)","Teela Jamalpura, Bhopal",1 Floors,South,1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '1 Geyser', '7 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', '2 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Water Purifier']","['Water Storage', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,
"6 Bedroom House for sale in Shankar Nagar, Bhopal","Shankar Nagar, Bhopal",₹5.5 Cr,"₹18,272 /sqft",Ready To Move,Heres a polished property description you can use:,"Plot area 3010
(279.64 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 3 Balconies with Study Room,Others","₹ 5.5 Crore+ Govt Charges & Tax
@ 18,272 per sq.ft. View Price Details","Shankar Nagar, Bhopal",2 Floors,North,10+ Year Old,"['3 Wardrobe', '6 Fan', '14 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",[],Others,
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",Fortune Pride Extension,₹1.35 Cr,"₹10,869 /sqft",Ready To Move,"This 3 bhk house for sale in bawadia kalan, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a super built up area of 1200 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 1.35 crore. All the modern amenities such as maintenance staff, park and visitor parking will make life easier for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential house. The residential house is east-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.35 Crore
@ 10,869 per sq.ft. (Negotiable) View Price Details","Fortune Pride Extension
Bawadia Kalan, Bhopal",2 Floors,West,10+ Year Old,"['3 Wardrobe', '3 Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"6 Bedroom House for sale in Trilanga, Bhopal","Trilanga, Bhopal",₹3 Cr,"₹14,285 /sqft",Ready To Move,"A beautiful 6 bhk ready to move house for sell in prime location of trilanga.3bhk on ground floor,2bhk on 1st floor and 1bhk on 2nd floor with garden terrace.","Plot area 2100
(195.1 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, 2 Balconies with Pooja Room","₹ 3 Crore
@ 14,285 per sq.ft. (Negotiable) View Price Details","Trilanga, Bhopal",2 Floors,East,5 to 10 Year Old,"['6 Fan', '1 Fridge', '1 Sofa', '5 Geyser', '1 Washing Machine', '1 Microwave', '1 Stove', '7 Light', '3 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No TV', 'No Wardrobe', 'No Water Purifier']",['Private Garden / Terrace'],[],,
"3 Bedroom House for sale in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹92 Lac,"₹7,829 /sqft",Ready To Move,"For sale 3bhk bungalow covered campus, Semi furnished both side balcony stairs up to rooftop","Plot area 1175
(109.16 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others,Study Room","₹ 92 Lac+ Govt Charges & Tax
@ 7,829 per sq.ft. (Negotiable) View Price Details","Bagmugaliya, Bhopal",2 Floors,West,1 to 5 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '11 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"4 Bedroom House for sale in Bagmugaliya, Bhopal",Flower City,₹1.25 Cr,"₹9,881 /sqft",Ready To Move,"4bhk semi furnished bungalow for sale Covered and secured campus, West and park facing, Good locality, good cross ventilation,","Plot area 1265
(117.52 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 1.25 Crore+ Govt Charges & Tax
@ 9,881 per sq.ft. (Negotiable) View Price Details","Flower City
Bagmugaliya, Bhopal",2 Floors,West,5 to 10 Year Old,"['2 Wardrobe', '5 Fan', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Others",
"3 Bedroom House for sale in Peace Valley-1, Narela Shankari, Bhopal","Peace Valley-1, Narela Shankari, Bhopal",₹55 Lac,"₹7,935 /sqft",Ready To Move,Duplex in a covered society with a small garden in the society with parking.,"Plot area 64.39  
sq.m.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac
@ 85,416 per sq.m. (All inclusive, Negotiable)","Peace Valley-1, Narela Shankari, Bhopal",2 Floors,,10+ Year Old,[],[],[],,
"3 Bedroom House for sale in Ayodhya Bypass , Bhopal",Sagar Estate,₹75 Lac,"₹5,281 /sqft",Ready To Move,"Spacious duplex in sagar estates on main ayodhya bypass road, between ayodhya chouraha and minal gate-3.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1420 sq.ft. (131.92 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 75 Lac
@ 5,281 per sq.ft. (Negotiable) View Price Details","Sagar Estate
Ayodhya Bypass , Bhopal",2 Floors,North,10+ Year Old,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Fortune Delight,₹1.35 Cr,"₹11,474 /sqft",Ready To Move,80 ft cc road. Covered society Secured campus Corner plot with extra land for lawn Well furnished with extra development on terrace,"Plot area 1176.52
(109.3 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.35 Crore
@ 11,474 per sq.ft. (Negotiable)","Fortune Delight
Hoshangabad Road, Bhopal",2 Floors,,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Geyser', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"4 Bedroom House for sale in Bagsewaniya, Bhopal","Bagsewaniya, Bhopal",₹2.95 Cr,"₹10,350 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in bagsewaniya, bhopal seems to be an ideal choice for a peaceful abode for a family. The house has over super built up area of 2850 sq.Ft. And comes with 4 bedrooms, 4 bathrooms and 1 balcony. Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house is freehold. The price of this spacious independent house is 2.95 crore.","Plot area 2850
(264.77 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony with Pooja Room","₹ 2.95 Crore
@ 10,350 per sq.ft. (Negotiable)","Bagsewaniya, Bhopal",2 Floors,East,0 to 1 Year Old,"['8 Wardrobe', '1 Stove', '1 Microwave', '99 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club",
"3 Bedroom House for sale in Karond Chouraha, Bhopal","Karond Chouraha, Bhopal",₹2.1 Cr,"₹26,250 /sqft",Ready To Move,Situated on ayodhya bypass road karond square Commercial shop of 800 sqft @ground floor 2bhk residential 1st floor,"Plot area 800
(74.32 sq.m.)
Built Up area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 2.1 Crore+ Govt Charges & Tax
@ 26,250 per sq.ft. (Negotiable)","Karond Chouraha, Bhopal",2 Floors,South,10+ Year Old,[],[],[],Main Road,
"3 Bedroom House for sale in Rajat Bihar Colony, Bhopal","Rajat Bihar Colony, Bhopal",₹1.35 Cr,"₹11,250 /sqft",Ready To Move,Main road facing property in rajat vihar location.,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony with Pooja Room","₹ 1.35 Crore+ Govt Charges & Tax
@ 11,250 per sq.ft. (Negotiable)","Rajat Bihar Colony, Bhopal",2 Floors,,10+ Year Old,[],[],[],Main Road,
"4 Bedroom House for sale in Kalapani, Bhopal","Kalapani, Bhopal",₹55 Lac,"₹6,111 /sqft",Ready To Move,Park facing 6 line road available 22 feat colony road facility guard indore six line road manjur hai,"Plot area 900
(83.61 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 55 Lac
@ 6,111 per sq.ft. (Negotiable)","Kalapani, Bhopal",2 Floors,North,0 to 1 Year Old,[],['Water Storage'],[],"Park/Garden,Main Road,Others",
"1 Bedroom House for sale in Vidisha Road, Bhopal",Mayur Homes,₹15 Lac,"₹1,785 /sqft",Ready To Move,"Independent 01 bhk singlax, plot area 840 sq. Ft. Ready to move.","Plot area 840
(78.04 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 15 Lac
@ 1,785 per sq.ft. (All inclusive)","Mayur Homes
Vidisha Road, Bhopal",1 Floors,,1 to 5 Year Old    View Construction Status,[],"['Private Garden / Terrace', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"5 Bedroom House for sale in Housing Board Colony, Bhopal",Independent Duplex House,₹1.9 Cr,"₹11,875 /sqft",Ready To Move,Property within 300 m of walking distance from jain temple. And 600 m walking distance from ayodhya bypass road,"Plot area 1600
(148.64 sq.m.)
Built Up area: 260 sq.ft. (24.15 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, No Balcony with Pooja Room,Store Room","₹ 1.9 Crore+ Govt Charges & Tax
@ 11,875 per sq.ft. (All inclusive)","Independent Duplex House
Housing Board Colony, Bhopal",2 Floors,North-East,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Park']",[],Park/Garden,
"3 Bedroom House for sale in Phanda Kala, Bhopal",rajveer colony semara,₹35 Lac,"₹5,384 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in kalas, bhopal. Available at price of rs 35 lacs. It has plot area of 650 sq ft. It has 3 bhk, 4 bathroom, 2 balcony.It is a freehold property","Plot area 650
(60.39 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 35 Lac
@ 5,384 per sq.ft.","rajveer colony semara
Phanda Kala, Bhopal",3 Floors,,1 to 5 Year Old,[],[],[],,
"4 Bedroom House for sale in Bagsewaniya, Bhopal","Bagsewaniya, Bhopal",₹2.95 Cr,"₹13,169 /sqft",Ready To Move,"A spacious and beautiful brand new duplex facing east house in a gated new society .Two bedrooms with attached bathrooms in each floor.Flooring and windows upgraded for luxurious look.Big modular kitchen with cooktop,oven with airfryer and chimney.Three bedrooms with full wall cupboards.Tthe house is a corner plot facing the park and clubhouse with pool and gym facilities.The society also has mandir.","Plot area 2240
(208.1 sq.m.)
Built Up area: 2850 sq.ft. (264.77 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room","₹ 2.95 Crore
@ 13,169 per sq.ft. (Negotiable)","Bagsewaniya, Bhopal",2 Floors,East,0 to 1 Year Old,"['8 Wardrobe', '1 Exhaust Fan', '1 Stove', '1 Microwave', '99 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club",
"5 Bedroom House for sale in Jahangirabad, Bhopal","Jahangirabad, Bhopal",₹35 Lac,"₹7,000 /sqft",Ready To Move,"3 story house, well maintain, nice locality","Plot area 500
(46.45 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room","₹ 35 Lac
@ 7,000 per sq.ft. (Negotiable)","Jahangirabad, Bhopal",3 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in Kolar, Bhopal","Kolar, Bhopal",₹25 Lac,"₹5,555 /sqft",Ready To Move,End of colony 24 hour water available,"Plot area 450
(41.81 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 25 Lac+ Govt Charges & Tax
@ 5,555 per sq.ft. (All inclusive, Negotiable)","Kolar, Bhopal",1 Floors,West,1 to 5 Year Old,[],['Private Garden / Terrace'],[],,
"8 Bedroom House for sale in Sonagiri, Bhopal","Sonagiri, Bhopal",₹1.3 Cr,"₹6,500 /sqft",Ready To Move,Near to market Corner property best for investment/ hostel Near to school Near to colleges Near to hospital Near to upcoming metro station Near to railway station Near to bus stop Near to upcoming fourlane highway,"Plot area 2000
(185.81 sq.m.)  
sq.ft.","8 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.3 Crore+ Govt Charges & Tax
@ 6,500 per sq.ft. (All inclusive, Negotiable)","Sonagiri, Bhopal",2 Floors,West,10+ Year Old,[],"['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"9 Bedroom House for sale in Laharpur, Bhopal","Laharpur, Bhopal",₹2 Cr,"₹7,500 /sqft",Ready To Move,"East facing house, all facility in house 24 hours water available.","Plot area 2400
(222.97 sq.m.)
Built Up area: 5000 sq.ft. (464.52 sq.m.)  
sq.ft.","9 Bedrooms , 9 Bathrooms, 3 Balconies with Servant Room,Study Room,Pooja Room,Others","₹ 2 Crore
@ 7,500 per sq.ft. (Negotiable)","Laharpur, Bhopal",2 Floors,North,5 to 10 Year Old,"['1 Fan', '1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
