pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Property Age,furnishing,features,ratings,Overlooking
"3 BHK Flat in Kolar Road, Bhopal",Samriddhi Apartment,₹25 Lac,"₹2,500 /sqft",Ready To Move,Residential apartment for sell.Located on 1st floor out of the 5 located in vinit kunj.It is a unfurnished property.The property has 3 bedrooms with 2 bathrooms .Available at an expected price of rs 3000000.The property comes with a good construction quality which ages 1-5 years old property. Jio fiber facility available.,"Super Built up area 900
(83.61 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac+ Govt Charges & Tax
@ 2,500 per sq.ft. (Negotiable)","Samriddhi Apartment
Kolar Road, Bhopal",1st   of 5 Floors,,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Mathai nagar CTO bairagarh, Bhopal",app,₹35 Lac,"₹3,500 /sqft",Ready To Move,Very good condition just like new all furnished wooden work nagar nigam ka water connection hai aur bor bhi hai,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,500 per sq.ft. (All inclusive)","app
Mathai nagar CTO bairagarh, Bhopal",1st   of 3 Floors,East,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Sofa', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],[],
"2 BHK Flat in Ashoka Garden, Bhopal",Deep Apartment,₹25 Lac,"₹4,310 /sqft",Ready To Move,Ashoka hights apartment parihaar chourahe se 100 meter aage hai main road pe urgent sell karna hai,"Carpet area: 580
(53.88 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 4,310 per sq.ft. (Negotiable)","Deep Apartment
Ashoka Garden, Bhopal",1st   of 1 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹33 Lac,"₹2,682 /sqft",Ready To Move,"Flat for sale nirupam royal palm, hoshangabad road","Super Built up area 1230
(114.27 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 33 Lac
@ 2,682 per sq.ft. (Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",1st   of 6 Floors,East,5 to 10 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club"
"2 BHK Flat in Patel Nagar, Bhopal",Archana Balaji Towers,₹20 Lac,"₹2,500 /sqft",Ready To Move,We are selling in low prince and good flat,"Super Built up area 800
(74.32 sq.m.)
Built Up area: 750 sq.ft. (69.68 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac
@ 2,500 per sq.ft. (Negotiable)","Archana Balaji Towers
Patel Nagar, Bhopal",1st   of 3 Floors,,5 to 10 Year Old,"['2 Fan', '1 Geyser', '4 Light', '1 Wardrobe', '1 Sofa', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Ayodhya Bypass , Bhopal",Paras Heights,₹30 Lac,"₹2,921 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in paras heights, ayodhya bypass , bhopal. This it is a and the unit is located on 6th floor and has a super built-Up area of 1027 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 1027
(95.41 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 2,921 per sq.ft.","Paras Heights
Ayodhya Bypass , Bhopal",6th   of 6 Floors,,1 to 5 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Sagar Eden Garden, Bhopal",Hoshangabad Road,₹35 Lac,"₹3,608 /sqft",Ready To Move,"It is semi furnished with all wooden work done, fans lights available","Carpet area: 970
(90.12 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,608 per sq.ft. (All inclusive, Negotiable)","Hoshangabad Road
Sagar Eden Garden, Bhopal",5th   of 5 Floors,North,5 to 10 Year Old,"['2 Wardrobe', '3 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],"Pool,Park/Garden,Club"
"3 BHK Flat in TT Nagar, Bhopal",Sanjay Complex,₹45 Lac,"₹5,769 /sqft",Ready To Move,Ready to move flat for sale in sanjay complex mata mandir tt nagar,"Carpet area: 780
(72.46 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 5,769 per sq.ft. (All inclusive, Negotiable)","Sanjay Complex
TT Nagar, Bhopal",1st   of 3 Floors,,10+ Year Old,"['2 Wardrobe', '3 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Punjabi Bagh, Bhopal",satya apartment,₹30 Lac,"₹2,857 /sqft",Ready To Move,The property is in prime location with all the transportation and facilities near to it,"Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 30 Lac
@ 2,857 per sq.ft. (Negotiable)","satya apartment
Punjabi Bagh, Bhopal",2nd   of 3 Floors,,10+ Year Old,"['3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],"Sea facing,Park/Garden"
"3 BHK Flat in Bawadia Kalan, Bhopal",Shiv Aangan,₹65 Lac,"₹5,701 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiv aangan, bawadia kalan, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 1140 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1140
(105.91 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 65 Lac
@ 5,701 per sq.ft.","Shiv Aangan
Bawadia Kalan, Bhopal",4th   of 6 Floors,,1 to 5 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Misrod, Bhopal",Fortune Kasturi,₹10 Lac,"₹3,333 /sqft",Ready To Move,H block 207 fortune kasturi hosangabad road bhopal,"Carpet area: 300
(27.87 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 3,333 per sq.ft. (All inclusive)","Fortune Kasturi
Misrod, Bhopal",2nd   of 6 Floors,,5 to 10 Year Old    View Construction Status,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Others
"3 BHK Flat in Awadhpuri, Bhopal",RKN Nakshatra Enclave,₹35 Lac,"₹3,181 /sqft",Ready To Move,"3bhk semi furnished near by school, collage, bank, atm and bus stop","Built Up area: 1100
(102.19 sq.m.)
Carpet area: 960 sq.ft. (89.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,181 per sq.ft. (Negotiable)","RKN Nakshatra Enclave
Awadhpuri, Bhopal",5th   of 6 Floors,,1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Airport Road, Bhopal",Indra Vihar Residency,₹35 Lac,"₹3,684 /sqft",Ready To Move,"Cozy and well-Lit 2-Bedroom apartment - Located on the second floor of a modern building. This property features a spacious living area, 1 bathroom, and a private balcony offering lovely views. Perfect for small families or couples seeking comfort and convenience.","Carpet area: 950
(88.26 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony
View Floor Plan","₹ 35 Lac
@ 3,684 per sq.ft. (Negotiable)","Indra Vihar Residency
Airport Road, Bhopal",2nd   of 2 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Lambakheda, Bhopal",Aastha Heights,₹11.5 Lac,"₹2,090 /sqft",Ready To Move,Front of red rose school and at main road front of petrol pump,"Carpet area: 550
(51.1 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 11.5 Lac+ Govt Charges & Tax
@ 2,090 per sq.ft. (Negotiable)","Aastha Heights
Lambakheda, Bhopal",2nd   of 6 Floors,,1 to 5 Year Old,[],"['Lift(s)', 'Park']",[],"Park/Garden,Main Road"
"2 BHK Flat in Gulmohar Colony, Bhopal",Silver Okh,₹25 Lac,"₹2,705 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in silver okh, gulmohar colony, bhopal. This it is a and the unit is located on 9th floor and has a super built-Up area of 924 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 924
(85.84 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,705 per sq.ft.","Silver Okh
Gulmohar Colony, Bhopal",9th   of 9 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
