pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in E 3 Arera Colony, Bhopal","E 3 Arera Colony, Bhopal",₹20.16 Cr,"₹21,000 /sqft","9,600 sqft",(892 sqm),Plot Area,Ready To Move,"1. Prime east facing 9600 sq.Ft. Plot for sale in arera e-3 only 21,000/sq.Ft. 2. Golden opportunity! Spacious 9600 sq.Ft. East facing plot at arera e-3 3. East facing premium plot for sale 9600 sq.Ft. At arera e-3, bhopal 4. Grab your dream property! 9600 sq.Ft. East facing plot, arera e-3 1. Prime east facing 9600 sq.Ft. Plot for sale in arera e-3 only 21,000/sq.Ft. 2. Golden opportunity! Spa...","Plot area 9600
(891.87 sq.m.)  
sq.ft.","₹ 20.16 Crore
@ 21,000 per sq.ft. View Price Details","E 3 Arera Colony, Bhopal",East,1.0,,Immediate,No,,,,,
"Residential land / Plot in Gondermau, Bhopal","Olive Enclave, Gondermau, Bhopal",₹20 Lac,"₹2,000 /sqft","1,000 sqft",(93 sqm),Plot Area,Under Construction,"Located in one of the most prime locations of bhopal near raja bhoj international airport, offering all basic facilities and amenities.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 20 Lac
@ 2,000 per sq.ft.","Olive Enclave, Gondermau, Bhopal
Gondermau, Bhopal",East,1.0,Park/Garden,Within 6 months,,Yes,,,,
"Residential land / Plot in Katara Hills, Bhopal","Katara Hills, Bhopal",₹51 Lac,"₹4,636 /sqft","1,100 sqft",(102 sqm),Plot Area,Ready To Move,For sale residential plot,"Plot area 1100
(102.19 sq.m.)  
sq.ft.","₹ 51 Lac
@ 4,636 per sq.ft. View Price Details","Katara Hills, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Bagli, Bhopal","Bagli, Bhopal",₹42.19 Lac,"₹3,750 /sqft","1,125 sqft",(105 sqm),Plot Area,Ready To Move,"Residential plot for sale bagli, hoshangabad road, bhopal Discover the perfect investment opportunity with this residential plot located in the peaceful and fast-Developing area of bagli, hoshangabad road. Ideal for building your dream home or for future appreciation, this property offers a blend of connectivity and serenity. Prime location on hoshangabad road Well-Connected to schools, markets...","Plot area 1125
(104.52 sq.m.)
l x b : 45.00 ft.(13.72 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 42.19 Lac+ Govt Charges & Tax
@ 3,750 per sq.ft. (Negotiable) View Price Details","Bagli, Bhopal",West,1.0,"Pool,Park/Garden,Others,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Katara, Bhopal","Katara, Bhopal",₹48 Lac,"₹3,000 /sqft","1,600 sqft",(149 sqm),Plot Area,Under Construction,"New project launch Prime location bhopal ke fastest growing zone me Residential plots with future-Ready infrastructure Best opportunity for investors & buyers High appreciation value secure your future today Green & peaceful environment, wide roads & modern planning Visit once decide forever Limited plots book your site visit now!","Plot area 1600
(148.64 sq.m.)
l x b : 41.00 ft.(12.50 mt.) x 39.00 ft.(11.89 mt.)  
sq.ft.","₹ 48 Lac+ Govt Charges & Tax
@ 3,000 per sq.ft. (Negotiable)","Katara, Bhopal",North-East,2.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Katara Hills, Bhopal","Katara Hills, Bhopal",₹52 Lac,"₹5,200 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,For sale semi commercial plot,"Plot area 1000
(92.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 52 Lac
@ 5,200 per sq.ft. View Price Details","Katara Hills, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹1.37 Cr,"₹6,500 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"Residential plot for sale danish hills view, kolar road bhopal Bechna hai 2100 sq.Ft. Best facing residential plot at danish hills view, kolar road. 40 ft wide main road facing Prime location with clear view & open surroundings Ideal for dream home or secure investment Clear title & registry available Location danish hills view, kolar road, bhopal Contact for more details & site visit","Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.36 Crore+ Govt Charges & Tax
@ 6,500 per sq.ft. (Negotiable) View Price Details","Danish Hills View
Kolar Road, Bhopal",West,1.0,"Pool,Others,Park/Garden,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Katara Hills, Bhopal","Katara Hills, Bhopal",₹44 Lac,"₹3,826 /sqft","1,150 sqft",(107 sqm),Plot Area,Ready To Move,For sale residential plot,"Plot area 1150
(106.84 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 23.00 ft.(7.01 mt.)  
sq.ft.","₹ 44 Lac
@ 3,826 per sq.ft. View Price Details","Katara Hills, Bhopal",,1.0,,Immediate,No,,40.0 Feet,,,
"Residential land / Plot in Salaiya, Bhopal","Salaiya, Bhopal",₹3.15 Cr,"₹3,525 /sqft","8,934 sqft",(830 sqm),Plot Area,Ready To Move,"This plot is 3 side road , very near to bda 200ft road 80 ft road, very reasonable price , double corner plot","Plot area 8934
(830 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 89.00 ft.(27.13 mt.)  
sq.ft.","₹ 3.15 Crore+ Govt Charges & Tax
@ 3,525 per sq.ft. (Negotiable) View Price Details","Salaiya, Bhopal",North-West,3.0,"Park/Garden,Main Road",Immediate,,,,,,Yes
"Residential land / Plot in Katara Hills, Bhopal","Katara Hills, Bhopal",₹3.5 Cr,"₹8,750 /sqft","4,000 sqft",(372 sqm),Plot Area,Ready To Move,This is a main katara hills 80 feet road commercial property bda approved plot for sale near 200 feet bda approved road.,"Plot area 4000
(371.61 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 3.5 Crore
@ 8,750 per sq.ft. (Negotiable) View Price Details","Katara Hills, Bhopal",East,1.0,,Immediate,Yes,,,,3 Floors,
"Residential land / Plot in Peoples Campus, Bhopal",People World,₹47.5 Lac,"₹5,000 /sqft",950 sqft,(88 sqm),Plot Area,Ready To Move,"Peoples world campus new phase launch | 950 sqft plots in prime bhopal location Location: Near peoples mall, bhopal Plot size: 950 sqft Project name: Peoples world campus new phase Key features & amenities: Strategic location near peoples mall & main road connectivity Wide rcc roads 24x7 water supply Underground electricity connection Green surroundings & landscaped areas Secured gated campus w...","Plot area 950
(88.26 sq.m.)  
sq.ft.","₹ 47.5 Lac
@ 5,000 per sq.ft. View Price Details","People World
, Bhopal",West,2.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Peoples Campus, Bhopal",People World,₹47.5 Lac,"₹5,000 /sqft",950 sqft,(88 sqm),Plot Area,Ready To Move,"Peoples world campus new phase launch | 950 sqft plots in prime bhopal location Location: Near peoples mall, bhopal Plot size: 950 sqft Project name: Peoples world campus new phase Key features & amenities: Strategic location near peoples mall & main road connectivity Wide rcc roads 24x7 water supply Underground electricity connection Green surroundings & landscaped areas Secured gated campus w...","Plot area 950
(88.26 sq.m.)  
sq.ft.","₹ 47.5 Lac
@ 5,000 per sq.ft. View Price Details","People World
, Bhopal",West,2.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Kolar Road, Bhopal","Kolar Road, Bhopal",₹76.8 Lac,"₹3,200 /sqft","2,400 sqft",(223 sqm),Plot Area,Ready To Move,"Residential plot for sale priyanka nagar, kolar road bhopal Bechna hai 2400 sq.Ft. Best facing residential plot in priyanka nagar, one of the prime locations of kolar road, bhopal. Just near d mart kolar road & surrounded by all facilities Wide roads & prime residential area Ideal for dream home or safe investment Clear title & ready for registry Location priyanka nagar, kolar road, bhopal Cont...","Plot area 2400
(222.97 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 76.8 Lac+ Govt Charges & Tax
@ 3,200 per sq.ft. (Negotiable) View Price Details","Kolar Road, Bhopal",West,1.0,"Others,Main Road,Park/Garden",Immediate,,,,Yes,,
"Residential land / Plot in Amrawad Khurd, Bhopal",294 Vedavati Yojana Bda Colony Amrawad Khurd,₹41 Lac,"₹2,822 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,"Check out this plot for sale in amrawad khurd, one of the best locations in bhopal. It spans over spectacular 1453 sq.Ft. Super built up area. To build the residence, possession is expected immediately. The owner of the property has leasehold entitlement over the land. The asking price is only 41 lac. Negotiable. 1. 60ft wide road in front of the plot 2. This property/plot is developed and sold...","Plot area 1452.6
(134.95 sq.m.)
l x b : 49.21 ft.(15.00 mt.) x 29.52 ft.(9.00 mt.)  
sq.ft.","₹ 41 Lac
@ 2,822 per sq.ft. (Negotiable)","294 Vedavati Yojana Bda Colony Amrawad Khurd
Amrawad Khurd, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Badwai, Bhopal",Sanskriti City,₹72 Lac,"₹5,750 /sqft","1,252 sqft",(116 sqm),Plot Area,Ready To Move,"The plot is open from two sides, east facing and in the phase 1 of the sanskriti city","Plot area 1252
(116.31 sq.m.)
l x b : 50.16 ft.(15.29 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 72 Lac
@ 5,750 per sq.ft. (All inclusive)","Sanskriti City
Badwai, Bhopal",,2.0,"Pool,Park/Garden,Club,Main Road,Others",Immediate,,,,Yes,25 Floors,
"Residential land / Plot in Barkheda Salam, Bhopal","Barkheda Salam, Bhopal",₹7 Lac,₹197 /sqft,"3,550 sqft",(330 sqm),Plot Area,Ready To Move,Barkheda salaam bhori by pass road bhopal,"Plot area 3550
(329.81 sq.m.)
l x b : 75.00 ft.(22.86 mt.) x 50.00 ft.(15.24 mt.)  
sq.ft.","₹ 7 Lac
@ 197 per sq.ft. (All inclusive)","Barkheda Salam, Bhopal",East,1.0,"Main Road,Others",Immediate,,,,,,Yes
"Residential land / Plot in Katara, Bhopal","Katara, Bhopal",₹71.5 Lac,"₹1,300 /sqft","5,500 sqft",(511 sqm),Plot Area,Ready To Move,"Farmhouse for sale near sagar public school,katara hills extension bhopal Amenities Water supply Electricity Sewage line Gated entrance gate with covered campus 247 cctv surveillance Park Two side govt road connected Dm me for more information","Plot area 5500
(510.97 sq.m.)  
sq.ft.","₹ 71.5 Lac+ Govt Charges & Tax
@ 1,300 per sq.ft. (All inclusive, Negotiable)","Katara, Bhopal",,1.0,"Park/Garden,Club,Main Road,Others",,,Yes,,Yes,,Yes
"Residential land / Plot in Katara, Bhopal","Katara, Bhopal",₹71.5 Lac,"₹1,300 /sqft","5,500 sqft",(511 sqm),Plot Area,Ready To Move,"Avanti meadows phase 2 near sagar public school , katara extension , bhopal","Plot area 5500
(510.97 sq.m.)  
sq.ft.","₹ 71.5 Lac+ Govt Charges & Tax
@ 1,300 per sq.ft. (All inclusive, Negotiable)","Katara, Bhopal",,1.0,"Park/Garden,Club,Main Road,Others",,,Yes,,Yes,,Yes
"Residential land / Plot in Sukhi Sewania, Bhopal","Sukhi Sewania, Bhopal",₹18 Lac,"₹1,206 /sqft","1,492 sqft",(139 sqm),Plot Area,Ready To Move,Urgently plot sell in good location vidisha bhopal main road under bhopal nagar nigam,"Plot area 1492
(138.61 sq.m.)  
sq.ft.","₹ 18 Lac+ Govt Charges & Tax
@ 1,206 per sq.ft. (All inclusive, Negotiable)","Sukhi Sewania, Bhopal",West,2.0,"Park/Garden,Main Road,Club,Others",,,Yes,,Yes,,
"Residential land / Plot in Ratibad, Bhopal","Ratibad, Bhopal",₹27.5 Lac,₹550 /sqft,"5,000 sqft",(465 sqm),Plot Area,Ready To Move,"Ratibad bhopal madhya pradesh is an ideal location for buying residential plots in bhopal. This plot in ratibad bhopal madhya pradesh is a great buy for you. It spreads over 5000 sq.Ft. Super built up area. Immediately, possession of property can be transferred. Currently the nature of ownership of the property is freehold. The expected price for the property is just 27.5 lac and it is negotiable.","Plot area 5000
(464.52 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 50.00 ft.(15.24 mt.)  
sq.ft.","₹ 27.5 Lac
@ 550 per sq.ft. (Negotiable)","Ratibad, Bhopal",North,1.0,"Park/Garden,Main Road,Club,Pool",Immediate,,Yes,,,,
"Residential land / Plot in Himanshu green colony, Bhopal","Himanshu green colony, Bhopal",₹15 Lac,"₹1,041 /sqft","1,440 sqft",(134 sqm),Plot Area,Ready To Move,"This plot in himanshu green colony provides you great opportunity to build a fabulous residence in bhopal. The plot is around super built up area of 1440 sq.Ft. In size. Immediately, possession of property can be transferred. The property is owned under freehold contract. The plot is available at a price of 15 lac. The owner is open for negotiation. This plot is facing the west direction. The p...","Plot area 1440
(133.78 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 36.00 ft.(10.97 mt.)  
sq.ft.","₹ 15 Lac
@ 1,041 per sq.ft. (Negotiable)","Himanshu green colony, Bhopal",West,1.0,Park/Garden,Immediate,,,,,0 Floors,
"Residential land / Plot in Bairagarh Kalan, Bhopal","Bairagarh Kalan, Bhopal",₹45 Lac,"₹4,500 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,"Peace , security and serenity are the words.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 45 Lac
@ 4,500 per sq.ft. (Negotiable)","Bairagarh Kalan, Bhopal",,2.0,,Immediate,No,,,Yes,0 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹85.21 Lac,"₹5,864 /sqft","1,453 sqft",(135 sqm),Plot Area,Ready To Move,"Location: Misrod phase-2, sector-B, salaiya, bhopal Area: 1453 sqft (135 sqm) Direction/facing: South Front road: 7.5m (25ft) Ownership type: Freehold / land ownership Key features: Only 1 plot behind 100ft road, so there is good possibility of this plot being used commercially in future. One company already running just in front of this plot i.E. In plot b-164. Nearest location: Very close to ...","Plot area 1453
(134.99 sq.m.)
l x b : 49.21 ft.(15.00 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 85.21 Lac+ Govt Charges & Tax
@ 5,864 per sq.ft. (Negotiable)","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",South,1.0,,Immediate    View Construction Status,,,,Yes,3 Floors,
"Residential land / Plot in Mubarikpur, Bhopal","Mubarikpur, Bhopal",₹44 Lac,"₹1,571 /sqft","2,800 sqft",(260 sqm),Plot Area,Ready To Move,"Bhopal airport is 5 km, nearby schools and resorts.","Plot area 2800
(260.13 sq.m.)  
sq.ft.","₹ 44 Lac+ Govt Charges & Tax
@ 1,571 per sq.ft. (Negotiable)","Mubarikpur, Bhopal",East,1.0,"Main Road,Others",Immediate,,,,Yes,,
"Residential land / Plot in Mubarikpur, Bhopal","Mubarikpur, Bhopal",₹55 Lac,"₹1,571 /sqft","3,500 sqft",(325 sqm),Plot Area,Ready To Move,"Bhopal airport is 5 km, nearby schools and resorts.","Plot area 3500
(325.16 sq.m.)  
sq.ft.","₹ 55 Lac+ Govt Charges & Tax
@ 1,571 per sq.ft. (Negotiable)","Mubarikpur, Bhopal",East,2.0,Main Road,,,,,Yes,,Yes
"Residential land / Plot in Parwaliya Sadak, Bhopal","Parwaliya Sadak, Bhopal",₹6 Lac,₹60 /sqft,"10,000 sqft",(929 sqm),Plot Area,Ready To Move,It is farm land and near to bhopal city,"Plot area 10000
(929.03 sq.m.)  
sq.ft.","₹ 6 Lac
@ 60 per sq.ft. (All inclusive, Negotiable)","Parwaliya Sadak, Bhopal",,2.0,,Immediate,No,,,,,
"Residential land / Plot in Mungalia Kot, Bhopal",Bhavishya Metro City Sector A,₹27 Lac,₹270 /sqft,"10,000 sqft",(929 sqm),Plot Area,Ready To Move,10000 sqft land for 130 front main road Near sukhiswaniya atal bihari university road urgent sell,"Plot area 10000
(929.03 sq.m.)
l x b : 130.00 ft.(39.62 mt.) x 80.00 ft.(24.38 mt.)  
sq.ft.","₹ 27 Lac+ Govt Charges & Tax
@ 270 per sq.ft. (Negotiable)","Bhavishya Metro City Sector A
Mungalia Kot, Bhopal",,1.0,,Immediate,No,,20.0 Feet,,,
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹35 Lac,₹700 /sqft,"5,000 sqft",(465 sqm),Plot Area,Ready To Move,"Near international cricket stadium, ies college, dps school","Plot area 5000
(464.52 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 10.00 ft.(3.05 mt.)  
sq.ft.","₹ 35 Lac
@ 700 per sq.ft. (Negotiable)","Neelbad, Bhopal",East,2.0,"Park/Garden,Club,Main Road",,,Yes,,,,Yes
"Residential land / Plot in Airport Road, Bhopal","Airport Road, Bhopal",₹70 Lac,"₹1,000 /sqft","7,000 sqft",(650 sqm),Plot Area,Ready To Move,Boundary wall Gate Boring 450 ft Two sides road In berkhedi bondar Near airport,"Plot area 7000
(650.32 sq.m.)
l x b : 128.00 ft.(39.01 mt.) x 66.00 ft.(20.12 mt.)  
sq.ft.","₹ 70 Lac+ Govt Charges & Tax
@ 1,000 per sq.ft. (All inclusive, Negotiable)","Airport Road, Bhopal",,4.0,,Immediate,Yes,,46.0 Feet,,1 Floors,
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹36 Lac,"₹2,000 /sqft","1,800 sqft",(167 sqm),Plot Area,Ready To Move,Bhopal neelbad siddhivinayak phase-1 mai 1800 sqrft plot sale karna hai urjent,"Plot area 1800
(167.23 sq.m.)
l x b : 45.00 ft.(13.72 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 36 Lac
@ 2,000 per sq.ft.","Neelbad, Bhopal",,1.0,,Immediate,Yes,,,,0 Floors,
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹29.38 Lac,"₹2,350 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,Neelbad siddhi vinayak face -2,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","₹ 29.38 Lac
@ 2,350 per sq.ft.","Neelbad, Bhopal",West,3.0,"Park/Garden,Main Road",Immediate,,Yes,,,,
"Residential land / Plot in Raisen Road, Bhopal","Raisen Road, Bhopal",₹28 Lac,₹451 /sqft,"6,200 sqft",(576 sqm),Plot Area,Ready To Move,"This is a very good property situated just 3 km ahead of lnct college at bilkhiriya road, best place for an investment of 2-3 years. And this property is well developed as you can see in the picture. This property is anyway going to be the best property as it has so many amenities without any extra effort. For more details:","Plot area 6200
(576 sq.m.)  
sq.ft.","₹ 28 Lac
@ 451 per sq.ft. (All inclusive)","Raisen Road, Bhopal",East,2.0,"Pool,Park/Garden,Club",,,Yes,,Yes,,
"Residential land / Plot in Neelbad, Bhopal",sidhivinayak,₹29.38 Lac,"₹2,350 /sqft","1,250 sqft",(116 sqm),Plot Area,Under Construction,From 100 meter neelbad main chouraha Covered campus colony diverted Facilities 25 ft cc road Covered campus Sevage Water connection Main gate Security guard,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","₹ 29.38 Lac
@ 2,350 per sq.ft. (Negotiable)","sidhivinayak
Neelbad, Bhopal",West,1.0,"Main Road,Park/Garden,Others",,,Yes,,Yes,,
"Residential land / Plot in Thua Kheda, Bhopal",CI Estate,₹26 Lac,"₹2,626 /sqft",990 sqft,(92 sqm),Plot Area,Ready To Move,"Premium residential plot for sale at kolar road, bhopal! Location: Ci estate, kolar road prime spot near d-Mart and all essential facilities just minutes away! Property details: Plot size: 990 sq. Ft. Situated in a covered campus with proper gate 247 water facility Round-The-Clock security with dedicated guard Peaceful yet well-Connected location Why choose this plot? Premium location with top-...","Plot area 990
(91.97 sq.m.)  
sq.ft.","₹ 26 Lac
@ 2,626 per sq.ft.","CI Estate
Thua Kheda, Bhopal",North-East,1.0,"Park/Garden,Main Road",Immediate,,Yes,,,,
