pname,society,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area
"6 Bedroom House for sale in Neerja Nagar, Bhopal",neerja nagar,320.0,13333,Ready To Move,"6 room, 1 common hall Pooja mandir Wooden work cabinets 5 toilets, 2 kitchen, 2 car parking 2 scooter parking 5000 litre water storage tank 24 hours water supply Self 24 hours boring Expandable first floor Wide first floor terrace 2 terrace Front mini garden 2 seperate gate entry Wide open kitchen 12 x 12 East facing North side 2 plots south side 4 plots, west 12. Well maintained.","Plot area 2100
(195.1 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)
Carpet area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.",1,NA,10+ Year Old,"['8 Wardrobe', '10 Fan', '1 Exhaust Fan', '10 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,6,5,3," pooja room,study room,servant room,others",2400.06
"3 Bedroom House for sale in Shahpura, Bhopal",amrit south avenue,300.0,16666,Ready To Move,Premium location near sai board. No brokers . Direct communication with owner.,"Plot area 1800
(167.23 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.",2,South-West,10+ Year Old,,,,3,3,1,Not Available,1800.07
"8 Bedroom House for sale in Mandakini Colony, Bhopal",drishti plaza,105.0,9900,Ready To Move,"We are proud owners of house/villa available for sale in kolar road, bhopal. Available at price of rs 99 lacs. It has plot area of 1000 sq ft. It has 8 bhk, 6 bathroom, balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.",3,NA,5 to 10 Year Old,,['Visitor Parking'],,8,6,0,Not Available,1060.61
"4 Bedroom House for sale in Panchwati Colony, Bhopal",panchwati colony,67.0,8933,Ready To Move,"It's in one of the best colonies in bhopal. It has access to all the amenities whether it's schools, hospital, shops and everything within the colony itself","Plot area 750
(69.68 sq.m.)  
sq.ft.",2,East,10+ Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal']","Park/Garden,Club,Main Road",4,4,1,Not Available,750.03
"4 Bedroom House for sale in Katara Hills, Bhopal",sage suncity,200.0,16666,Ready To Move,"1. East facing. 2. Garden facing. 3. Constructed for g+3 floors. 4. Inside sage university, so very good for hostel or rental. 5. 1 km from sagar school.","Plot area 1200
(111.48 sq.m.)
Carpet area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.",2,East,0 to 1 Year Old,"['5 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Club house / Community Center']",Park/Garden,4,3,2," pooja room,store room",1200.05
"3 Bedroom House for sale in Vidya Nagar, Bhopal",hig b 60 vidhya nagar,400.0,15267,Ready To Move,"Near hosangabad road ,corner plot,2620 sq ft","Plot area 2620
(243.41 sq.m.)  
sq.ft.",2,North,10+ Year Old,"['1 Bed', '1 Fan', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,3,1,Not Available,2620.03
"4 Bedroom House for sale in Sanjeev Nagar, Bhopal",elixir gardens,100.0,9689,Ready To Move,"Located in the vibrant community of new jail road, elixir garden in bhopal, a stunning opportunity awaits. Presenting a luxurious 4 bhk corner residential house, this property epitomizes elegance and comfort. From its spacious interiors to its serene surroundings, every aspect of this home reflects modern living at its finest. Property specifications This meticulously designed 4 bhk residential property boasts a super area of 2250 sqft and is thoughtfully crafted according to vaastu principles. Facing east, this home welcomes abundant natural light and positive energy throughout the day. Spread across a g+2 structure, each floor offers a perfect blend of functionality and comfort. Ground floor: The ground floor features a spacious living room, a well-Appointed open kitchen with a chimney and a dining area, two bedrooms, and two bathrooms (One attached and one common). Both indian and western-Style amenities are provided, with geysers in all bathrooms for added convenience. First floor: On the first floor, you'll find two cozy bedrooms with attached western-Style bathrooms, along with a charming balcony and separate pooja room. Second floor: The third floor offers a serene retreat with an open terrace, perfect for relaxation or entertaining under the open sky. The ground floor also boasts a modern modular kitchen with a chimney, ensuring an enjoyable and convenient cooking experience. Throughout the property, the elegant tile flooring adds timeless charm and is easy to maintain. This residence epitomizes contemporary living at its best. Facilities The property offers 1 open parking space and 24/7 security with cctv surveillance at the entrance of the colony. Locality Convenience is at your doorstep, with schools, hospitals, malls, and supermarkets all within a 1 km radius, ensuring easy access to essential amenities. Public transport options are abundant, with buses and auto-Rickshaws readily available for daily commutes. Additionally, banks and atms are conveniently located nearby.","Plot area 1032
(95.88 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old,"['2 Bed', '2 Wardrobe', '5 Fan', '1 Sofa', '1 Exhaust Fan', '2 Geyser', '30 Light', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Waste Disposal']",Park/Garden,4,4,1," pooja room,study room",1032.1
"4 Bedroom House for sale in Talaiya, Bhopal",talaiya,65.0,7319,Ready To Move,2bhk in ground floor and 2 big rooms in first floor . Distance from main chowk bazar of bhopal approx 500 meter and bada taalab approx 400 meters.,"Plot area 888
(82.5 sq.m.)  
sq.ft.",2,North-West,10+ Year Old,"['1 Wardrobe', '4 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,Main Road,4,4,1,Not Available,888.1
"6 Bedroom House for sale in Chouksey Nagar, Bhopal",chouksey nagar,70.0,5833,Ready To Move,Rambha nagar prime location pr makan hai individual,"Plot area 1200
(111.48 sq.m.)  
sq.ft.",3,NA,1 to 5 Year Old,,,,6,4,2,Not Available,1200.07
"3 Bedroom House for sale in Arwaliya, Bhopal",arwaliya,40.0,3333,Ready To Move,"This was our dreamhouse. I have used quality products in the home for our living but since i am in army we have to move frequently. This is a good house in a good locality. It has a car parking (We park dezire), a garden area, hall with stylish roofing and leds, 3 bedrooms, one kitchen, one gallery, two bathrooms( One indian and one western attached to bedroom), store area and granite finishing in kitchen.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1,South-West,1 to 5 Year Old,"['1 Exhaust Fan', '1 Geyser', '17 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking']",,3,2,1,Not Available,1200.12
"3 Bedroom House for sale in Pushpa Nagar, Bhopal",pushpa nagar,70.0,5154,Ready To Move,Society is located near the city centre which makes it convenient for the people to reach out in shorten time period,"Plot area 1358
(126.16 sq.m.)  
sq.ft.",2,South,10+ Year Old,,,Park/Garden,3,2,0," pooja room,study room",1358.17
"6 Bedroom House for sale in Piplani, Bhopal",mamta nagar,50.0,6153,Ready To Move,3 storied house in front of by pass road highway. Prices expected to increase at least 4 fold in coming years since the highway is going to expand.,"Plot area 650
(60.39 sq.m.)  
sq.ft.",3,North,5 to 10 Year Old,,,,6,3,3,Not Available,812.61
"5 Bedroom House for sale in Priyanka Nagar, Bhopal",priyanka nagar,250.0,7142,Ready To Move,"This is not just a homeits a multipurpose villa that offers both luxury and opportunity. The property features: a spacious 5 bhk villa with two beautifully maintained gardens private parking space a fully furnished rooftop restaurant, complete with modern kitchen appliances","Plot area 3500
(325.16 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.",1,North,1 to 5 Year Old,,,Park/Garden,5,5,2, others,3500.42
"6 Bedroom House for sale in Idgah Hills, Bhopal",idgah hills,120.0,12000,Ready To Move,"This newly renovated 3-Storey home offers the perfect blend of comfort and convenience. With 5 spacious rooms, 2 large halls, and a premium semi-Furnished setup, its ideal for a growing family or investment. Solar water heating system Freshly renovated interiors Peaceful surroundings A beautiful 4-Floors-Equal-Sized mango tree adding charm & shade","Plot area 1000
(92.9 sq.m.)
Built Up area: 2800 sq.ft. (260.13 sq.m.)  
sq.ft.",3,NA,10+ Year Old,"['3 Wardrobe', '8 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",Park/Garden,6,5,2, study room,1000.0
"4 Bedroom House for sale in Pallavi Nagar, Bhopal",pallavi nagar,90.0,8866,Ready To Move,It's a very good property decent property need to sell it urgently please contact as soon as possible nagar bhopal,"Plot area 1015
(94.3 sq.m.)  
sq.ft.",3,NA,5 to 10 Year Old,,['Water Storage'],,4,2,2,Not Available,1015.11
"10 Bedroom House for sale in TT Nagar, Bhopal",ambedkar nagar,85.0,3269,Ready To Move,"9 rooms , 5 kitchen, 6 late bath, 4 walcony Ambedkar nagar, near mata mandir, bhopal","Plot area 1050
(97.55 sq.m.)
Carpet area: 2600 sq.ft. (241.55 sq.m.)  
sq.ft.",3,North,10+ Year Old,"['15 Fan', '1 Fridge', '1 Sofa', '1 Washing Machine', '15 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Stove', 'No Wardrobe', 'No Water Purifier']",['Visitor Parking'],,10,6,3,Not Available,2600.18
"5 Bedroom House for sale in Indrapuri, Bhopal",kashi vishwanath,350.0,14583,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in indrapuri, bhopal. Available at price of rs 3.5 crores. It has plot area of 2400 sq ft. It has 5 bhk, 3 bathroom, 2 balcony.It is a leasehold property","Plot area 2400
(222.97 sq.m.)  
sq.ft.",3,NA,1 to 5 Year Old,,,,5,3,2,Not Available,2400.05
"4 Bedroom House for sale in Indus Towne, Bhopal",ishaan grand estate,80.0,7272,Ready To Move,Very good 4bhk house in tncp approved and covered campus with boring and furniture,"Plot area 1100
(102.19 sq.m.)
Built Up area: 2600 sq.ft. (241.55 sq.m.)  
sq.ft.",3,East,0 to 1 Year Old,"['1 Wardrobe', '4 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'No open drainage around', 'Park', 'Bank Attached Property', 'Spacious Interiors']","Park/Garden,Main Road,Others",4,5,3," pooja room,study room,others",1100.11
"10 Bedroom House for sale in Chola Naka, Bhopal",risaldar colony chola naka,65.0,7222,Ready To Move,"Railway station, bus stand or old market 2 km ki duri hai makan se","Plot area 900
(83.61 sq.m.)  
sq.ft.",3,South,10+ Year Old,,,,10,4,3, others,900.03
"3 Bedroom House for sale in Neelbad, Bhopal",krishna colony,59.0,3856,Ready To Move,Plot size: 1530 sq ft Bedrooms: 3 Bathrooms: 2 Parking: 1 car covered parking Construction: Modern design | vastu-Compliant | ready to move,"Plot area 1530
(142.14 sq.m.)
Built Up area: 1530 sq.ft. (142.14 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",1,North,5 to 10 Year Old,,"['Water Storage', 'Waste Disposal', 'Rain Water Harvesting']",,3,2,0,Not Available,1530.08
"4 Bedroom House for sale in Indus Towne, Bhopal",ishaan grand estate,135.0,10800,Ready To Move,"West-Facing house on a plot size of 25 ft x 50 ft, featuring a garden in front in a closed campus society. The house includes 3 master bedrooms, each measuring 12.6 ft x 15 ft, with attached bathrooms. The drawing room is sized at 11 ft x 16 ft. A modular kitchen with an open dining area is present. There is one study room on the first floor measuring 11 ft x 11 ft and a multipurpose room on the ground floor measuring 12.6 ft x 10 ft. Additionally, there is one store room, sized 18 ft x 12 ft, on the terrace.","Plot area 1250
(116.13 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.",2,West,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'No open drainage around', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting']",Main Road,4,3,2," pooja room,study room,store room",1250.0
"10 Bedroom House for sale in Aishbagh, Bhopal",aishbagh,65.0,10833,Ready To Move,Parking space for two wheeler Water storage tank,"Plot area 600
(55.74 sq.m.)  
sq.ft.",2,North,10+ Year Old,,"['Water Storage', 'Visitor Parking']",,10,5,3,Not Available,600.02
"6 Bedroom House for sale in Tilak Nagar, Bawadiya Kalan, Bhopal",tilak nagar bawadiya kalan,285.0,6224,Ready To Move,"Tilak nagar, bawadiya kalan is one of bhopal's most sought after destination for residential houses and this 6 bhk house in tilak nagar, bawadiya kalan is your opportunity to be a part of this community. The floor plan additionally contains 6 bedrooms, 7 bathrooms and 2 balconies. All in all, the independent house is spread over a built-Up area of 4579 sq.Ft. This 6 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). Another added advantage of this is that it is available for immediate possession. The type of ownership of this property is freehold. The property is available for sale at a competitive price of 2.85 crore. Lift is available","Built Up area: 4579
(425.4 sq.m.)  
sq.ft.",3,NA,0 to 1 Year Old,,"['False Ceiling Lighting', 'No open drainage around', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",,6,7,2,Not Available,4579.05
"6 Bedroom House for sale in Katara Hills, Bhopal",asnani pebble bay phase 2,196.0,8558,Under Construction,"Spacious west-Facing duplex located in a secure covered campus, offering all modern amenities for a comfortable and luxurious lifestyle.","Plot area 2290
(212.75 sq.m.)  
sq.ft.",2,West,,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",Park/Garden,6,6,2," study room,store room,pooja room",2290.25
"4 Bedroom House for sale in Peoples Campus, Bhopal",people world,95.0,9500,Ready To Move,"Located inside the peoples mall , around with covered campus and has water facility 24/7 and electricity provided by peoples group only .","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old    View Construction Status,"['5 Fan', '6 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Visitor Parking', 'Natural Light']",,4,4,2,Not Available,1000.0
"4 Bedroom House for sale in Karond, Bhopal",mp housing park colony,40.0,4634,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in karond, bhopal. Available at price of rs 40 lacs. It has plot area of 863 sq ft. It has 4 bhk, 2 bathroom, 2 balcony.It is a freehold property","Plot area 863
(80.18 sq.m.)  
sq.ft.",2,North,1 to 5 Year Old,,['Feng Shui / Vaastu Compliant'],Park/Garden,4,2,2,Not Available,863.19
"6 Bedroom House for sale in Zone 1, Bhopal",nawab colony,30.0,499,Ready To Move,Ek new bana hua makan bechna hai nawab colony new karond mandi bhopal mai bijli pani 24h behtreen bana huaa parking swidha school 10m hospital 500m peoples mall 1k.M gym 500m khel maidan sabzi mandi har chiz ghar k bilkul pass agar makan ko aap kiraye par bhi dengey to 20k.25k kiraya hi aajayega rehne k liye bhi bht acha hai 400ft bor laga hai sath mai kolar nal line bhi hai 24h bijli hai pata 61mawab colony masjid ziya hul hasan k samne new karond mandi bhopal,"Plot area 6001
(557.51 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",3,East,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Park']","Main Road,Others",6,3,3," others,study room",6012.02
