pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 Bedroom House for sale in Bagli, Bhopal",JDN Kasturi Smart City,₹70 Lac,"₹8,641 /sqft",Under Construction,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in bagli, which is an ideal choice for a family. This residential property boasts proximity to key landmarks like close to market, close to school and close to hospital. This house occupies a super built up area of 810 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 1 balcony. There is 1 covered & 1 open parking available with this house. This residential property is still under construction and will be available for possession within 3 months. The type of ownership of this property is freehold. The price of this spacious independent house is 70 lac. The house will offer a modern lifestyle as it is presented with many of the amenities such as park and visitor parking. The residents of this house enjoy a 24*7 access to clean water. This property faces the east direction.","Plot area 810
(75.25 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 70 Lac
@ 8,641 per sq.ft. (Negotiable) View Price Details","JDN Kasturi Smart City
Bagli, Bhopal",2 Floors,East,,,[],"['Park', 'Visitor Parking']",[],Within 3 months
"2 Bedroom House for sale in Katara Hills, Bhopal",Kasturi royal park,₹80 Lac,"₹6,666 /sqft",Ready To Move,"For sale 2 bhk singlex house 1200 sqft plot area (24*50) kasturi roya park katara hills Price - 80,00,000/- Lakh (Sanjay)","Plot area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 80 Lac
@ 6,666 per sq.ft. View Price Details","Kasturi royal park
Katara Hills, Bhopal",1 Floors,,Park/Garden,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",New friends colony,₹95 Lac,"₹7,037 /sqft",Ready To Move,For sale 3 bhk garden facing duplex house new friends colony near dana pani restaurant bawadiya kala bhopal Best rental service's,"Plot area 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Study Room,Pooja Room,Others","₹ 95 Lac+ Govt Charges & Tax
@ 7,037 per sq.ft. View Price Details","New friends colony
Bawadia Kalan, Bhopal",2 Floors,North-West,Park/Garden,5 to 10 Year Old,"['2 Wardrobe', '2 Bed', '3 Fan', '1 Exhaust Fan', '3 Geyser', '10 Light', '1 Curtains', '1 AC', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"6 Bedroom House for sale in Chuna Bhatti, Bhopal",amaltas phase 2,₹6.7 Cr,"₹16,750 /sqft",Ready To Move,Best duplex in chuna bhatti bhopal location,"Plot area 4000
(371.61 sq.m.)
Built Up area: 8700 sq.ft. (808.26 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 3 Balconies with Pooja Room,Store Room,Study Room,Servant Room","₹ 6.7 Crore
@ 16,750 per sq.ft. View Price Details","amaltas phase 2
Chuna Bhatti, Bhopal",,,"Park/Garden,Pool,Others,Club,Main Road",1 to 5 Year Old,"['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '8 Light', '1 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Geyser', 'No Wardrobe']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Sant Asharam Nagar Phase 3, Bhopal","Sant Asharam Nagar Phase 3, Bhopal",₹1.35 Cr,"₹9,642 /sqft",Ready To Move,"Corner triplex for sale at abdl - 3 , asaram phase 3 . Plot size - 1400 sq ft - 5 units of 1 bhk flat with attached washrooms + 1 single room . - East & north corner - Current rental income 31,500 per month . - Brand new construction. - Separate sub-Meter for all units . - Asking 1.25 crore","Plot area 1400
(130.06 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3 Balconies with Servant Room","₹ 1.35 Crore
@ 9,642 per sq.ft. (Negotiable) View Price Details","Sant Asharam Nagar Phase 3, Bhopal",2 Floors,North-East,Main Road,1 to 5 Year Old,[],[],[],
"4 Bedroom House for sale in Golden City, Bhopal","Golden City, Bhopal",₹5 Cr,"₹12,500 /sqft",Ready To Move,"4.Bhk luxury bungalow available for sale very prime location golden city jaat khedi hoshangabad road near by aashima mall no. 1 covered campus in bhopal, surrounding mall, all market, hospital, school, college, mnc companies etc. Final price 5.Cr More information please contact me vinod namdev","Plot area 2900
(269.42 sq.m.)
Built Up area: 4500 sq.ft. (418.06 sq.m.)
Carpet area: 4000 sq.ft. (371.61 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Study Room","₹ 5 Crore+ Govt Charges & Tax
@ 12,500 per sq.ft. View Price Details","Golden City, Bhopal",2 Floors,East,"Park/Garden,Main Road,Club,Pool,Others",5 to 10 Year Old,"['10 Fan', '1 Exhaust Fan', '20 Light', '1 Modular Kitchen', '1 Chimney', '12 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],
"4 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹1.7 Cr,"₹11,333 /sqft",Ready To Move,"Near sps school , near saket nagar , near aiims, 200 m to main road, open terrace good condition","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 1.7 Crore
@ 11,333 per sq.ft. View Price Details","Saket Nagar, Bhopal",,North-East,Park/Garden,10+ Year Old,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Bagmugaliya, Bhopal",Amrit Bindras Pebble Bay,₹1.1 Cr,"₹9,540 /sqft",Ready To Move,Northwest corner garden facing a well maintained covered campus,"Plot area 1153
(107.12 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 1.1 Crore+ Govt Charges & Tax
@ 9,540 per sq.ft. (Negotiable) View Price Details","Amrit Bindras Pebble Bay
Bagmugaliya, Bhopal",2 Floors,North-West,"Pool,Park/Garden",1 to 5 Year Old    View Construction Status,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Arera Colony, Bhopal","Arera Colony, Bhopal",₹4.32 Cr,"₹18,000 /sqft",Ready To Move,Ultra premium house,"Plot area 2400
(222.97 sq.m.)
Built Up area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Others","₹ 4.32 Crore
@ 18,000 per sq.ft. (All inclusive, Negotiable) View Price Details","Arera Colony, Bhopal",2 Floors,West,"Park/Garden,Main Road",10+ Year Old,[],"['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Danish Kunj, Bhopal","Danish Kunj, Bhopal",₹1.3 Cr,"₹5,652 /sqft",Ready To Move,5bhk duplex avaliable,"Plot area 1500
(139.35 sq.m.)
Built Up area: 2700 sq.ft. (250.84 sq.m.)
Carpet area: 2300 sq.ft. (213.68 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Others,Study Room","₹ 1.3 Crore
@ 5,652 per sq.ft. (Negotiable) View Price Details","Danish Kunj, Bhopal",2 Floors,West,"Park/Garden,Others,Main Road",10+ Year Old,[],"['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Shri Rameshwaram, Bhopal","Shri Rameshwaram, Bhopal",₹2.02 Cr,"₹8,015 /sqft",Ready To Move,"This 3 bhk house for sale in shri rameshwaram, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. The house has over super built up area of 2520 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 1 balcony. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). Another added advantage of this 10+ years old house is that it is available for immediate possession. The type of ownership of this property is freehold. This spacious house can be all yours at an attractive price of 2.02 crore. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is north-East-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 2520
(234.12 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.02 Crore
@ 8,015 per sq.ft. (Negotiable) View Price Details","Shri Rameshwaram, Bhopal",1 Floors,North-East,Main Road,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Awadhpuri, Bhopal",Regal Paradise,₹70 Lac,"₹7,070 /sqft",Under Construction,3bhk duplex under construction plot size 22x45 = 990 sq.Ft. In @ 70 lacs rs,"Plot area 990
(91.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room","₹ 70 Lac
@ 7,070 per sq.ft.","Regal Paradise
Awadhpuri, Bhopal",2 Floors,,,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Within 6 months
"3 Bedroom House for sale in Samardha, Bhopal","Samardha, Bhopal",₹40 Lac,"₹5,000 /sqft",Ready To Move,"Near school, near hospital, near highway, near temple","Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 40 Lac
@ 5,000 per sq.ft. View Price Details","Samardha, Bhopal",1 Floors,North,Park/Garden,10+ Year Old,[],['Park'],[],
"6 Bedroom House for sale in E 4 Arera Colony, Bhopal","E 4 Arera Colony, Bhopal",₹3.75 Cr,"₹15,625 /sqft",Ready To Move,Independent property at prime location of bhopal at arera colony e-4 sector near 10.No market,"Plot area 2400
(222.97 sq.m.)
Built Up area: 3050 sq.ft. (283.35 sq.m.)
Carpet area: 2800 sq.ft. (260.13 sq.m.)  
sq.ft.","6 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 3.75 Crore+ Govt Charges & Tax
@ 15,625 per sq.ft. View Price Details","E 4 Arera Colony, Bhopal",1 Floors,,"Main Road,Others",10+ Year Old,"['1 Water Purifier', '6 Fan', '1 Exhaust Fan', '1 Geyser', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Private Garden / Terrace', 'Water purifier', 'False Ceiling Lighting', 'Swimming Pool', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",[],
3 Bedroom House for sale in ayodhya Bypass bhopal,"ayodhya Bypass bhopal, Bhopal",₹50 Lac,"₹9,090 /sqft",Ready To Move,"New duplex , near school, near hospital, near highway, near temple","Plot area 550
(51.1 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 50 Lac
@ 9,090 per sq.ft. View Price Details","ayodhya Bypass bhopal, Bhopal",2 Floors,East,,0 to 1 Year Old,[],['Park'],[],
"1 Bedroom House for sale in Vidisha Road, Bhopal","Vidisha Road, Bhopal",₹30 Lac,"₹3,726 /sqft",Ready To Move,"T and cp approved government project , nagar nigam govt project","Plot area 805
(74.79 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 30 Lac
@ 3,726 per sq.ft. View Price Details","Vidisha Road, Bhopal",1 Floors,East,Park/Garden,1 to 5 Year Old,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Shakti Nagar, Bhopal","Shakti Nagar, Bhopal",₹2 Cr,"₹13,333 /sqft",Ready To Move,"Near aiims ,near school, near highway , near gurudwara","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Study Room,Pooja Room","₹ 2 Crore
@ 13,333 per sq.ft. View Price Details","Shakti Nagar, Bhopal",2 Floors,South,Park/Garden,10+ Year Old,[],"['Park', 'Visitor Parking']",[],
"4 Bedroom House for sale in Jatkhedi, Bhopal",Swadesh Red Square,₹1.25 Cr,"₹10,416 /sqft",Ready To Move,Just for selling property available 4bhk duplex/ house semi furnished and well maintained house covered cumpas plot area 1200 square feet . (Rental and selling property: Semi furnished and fully furnished duplex and apartment available). Only genius parson contact me. Rp property,"Plot area 1200
(111.48 sq.m.)
Built Up area: 3500 sq.ft. (325.16 sq.m.)
Carpet area: 1230 sq.ft. (114.27 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Study Room,Pooja Room,Others","₹ 1.25 Crore
@ 10,416 per sq.ft. View Price Details","Swadesh Red Square
Jatkhedi, Bhopal",2 Floors,East,"Park/Garden,Main Road,Others",5 to 10 Year Old,"['4 Wardrobe', '3 Fan', '1 Exhaust Fan', '3 Geyser', '8 Light', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],
"6 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹90 Lac,"₹7,200 /sqft",Ready To Move,Valus for money triplex for sale @ awadhpuri,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","6 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 90 Lac
@ 7,200 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",3 Floors,West,,5 to 10 Year Old,[],"['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Katara Hills, Bhopal",AB Smart City Phase 1,₹75 Lac,"₹6,521 /sqft",Ready To Move,"House/villa available on sell in katara hills, bhopal. Contact us for price details.","Plot area 1150
(106.84 sq.m.)
Built Up area: 2100 sq.ft. (195.1 sq.m.)
Carpet area: 1950 sq.ft. (181.16 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 75 Lac+ Govt Charges & Tax
@ 6,521 per sq.ft. (Negotiable) View Price Details","AB Smart City Phase 1
Katara Hills, Bhopal",2 Floors,,,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
