pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"3 Bedroom House for sale in Chanakyapuri, Bhopal","Chanakyapuri, Bhopal",₹1.5 Cr,"₹10,000 /sqft",Ready To Move,"Duplex house. Drawing dinning and study room puja room and cover parking with garden. Located at chanakyapuri chunna bhatti Near to hospital, school and new market bhopal","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.5 Crore
@ 10,000 per sq.ft. (Negotiable)","Chanakyapuri, Bhopal",2 Floors,10+ Year Old,[],[],[],,,
"10 Bedroom House for sale in Kohefiza, Bhopal","Kohefiza, Bhopal",₹7 Cr,"₹31,111 /sqft",Ready To Move,The iconic location near vip with a cinematic view of upper lake of bhopal.,"Plot area 2250
(209.03 sq.m.)  
sq.ft.","10 Bedrooms , 5 Bathrooms, 2 Balconies","₹ 7 Crore
@ 31,111 per sq.ft. (All inclusive)","Kohefiza, Bhopal",3 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Karond, Bhopal","Karond, Bhopal",₹23 Lac,"₹1,533 /sqft",Ready To Move,Best in class property available at karond location in bhopal,"Built Up area: 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 1 Bathroom, No Balcony","₹ 23 Lac
@ 1,533 per sq.ft.","Karond, Bhopal",1 Floors,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,undefined
"5 Bedroom House for sale in Idgah Hills, Bhopal","Idgah Hills, Bhopal",₹1.3 Cr,"₹7,428 /sqft",Ready To Move,Independent house at great location..,"Plot area 1750
(162.58 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 1.3 Crore
@ 7,428 per sq.ft.","Idgah Hills, Bhopal",2 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Rajharsh Colony, Bhopal","Rajharsh Colony, Bhopal",₹42 Lac,"₹3,281 /sqft",Ready To Move,"Hello potentail buyers, I've a duplex, located in rajharsh, colony kolar. It is a 3bhk+balcony+parking space. Near to temple,bus stop, shopping complex, and school.It is recently renovated. I'm owner of the property therefore there is no commission. The property has own bore with plenty of water, concreate road in front. Since the construction was done under my supervision therefore the quality is assured.There is a big playground just 100 meters away.","Plot area 750
(69.68 sq.m.)
Built Up area: 1280 sq.ft. (118.92 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 42 Lac
@ 3,281 per sq.ft. View Price Details","Rajharsh Colony, Bhopal",2 Floors,5 to 10 Year Old,[],"['Water Storage', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Bagmugaliya, Bhopal",indenpent house in a society,₹95 Lac,"₹4,318 /sqft",Ready To Move,"Good maintaining the house and locate near to super markets, hospitals, educational hubs and near to hoshangabad road.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)
Carpet area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 95 Lac
@ 4,318 per sq.ft. (Negotiable)","indenpent house in a society
Bagmugaliya, Bhopal",2 Floors,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Sofa', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'No open drainage around', 'Park', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Main Road,
"4 Bedroom House for sale in Katara Hills, Bhopal",Fast Track Heavens Life,₹95 Lac,"₹6,333 /sqft",Ready To Move,"House/villa available on sell in hoshangabad road, bhopal. Contact us for price details.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2300 sq.ft. (213.68 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Others","₹ 95 Lac
@ 6,333 per sq.ft.","Fast Track Heavens Life
Katara Hills, Bhopal",2 Floors,1 to 5 Year Old,[],"['Maintenance Staff', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Ashoka Garden, Bhopal",Vardhman Green Park,₹1.1 Cr,"₹7,054 /sqft",Ready To Move,"Right in heart of city and peace of covered campus, security, etc.","Plot area 1417.5
(131.69 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 1.1 Crore+ Govt Charges & Tax
@ 7,054 per sq.ft.","Vardhman Green Park
Ashoka Garden, Bhopal",1 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Arera Colony, Bhopal","Arera Colony, Bhopal",₹7.5 Cr,"₹25,000 /sqft",Ready To Move,This proparty is very good locations near by main city,"Plot area 3000
(278.71 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room,Store Room","₹ 7.5 Crore
@ 25,000 per sq.ft. View Price Details","Arera Colony, Bhopal",3 Floors,10+ Year Old,[],"['Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"5 Bedroom House for sale in Kolar Road, Bhopal",Fortune Greenshire,₹42 Lac,"₹4,421 /sqft",Ready To Move,Tncp & rera approved colony garden facing hai,"Plot area 800
(74.32 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 42 Lac
@ 4,421 per sq.ft.","Fortune Greenshire
Kolar Road, Bhopal",2 Floors,1 to 5 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Anand Nagar, Bhopal",Raj Sidharth Lake City,₹1.1 Cr,"₹7,857 /sqft",Ready To Move,Independent house in well maintained society Park in front,"Plot area 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 1.1 Crore
@ 7,857 per sq.ft. (All inclusive, Negotiable)","Raj Sidharth Lake City
Anand Nagar, Bhopal",2 Floors,5 to 10 Year Old,"['4 Wardrobe', '5 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Main Road",
"4 Bedroom House for sale in Mahawadiya, Bhopal",Rai Pink City,₹62 Lac,"₹4,880 /sqft",Ready To Move,"East facing corner plot, right next to temple and garden","Plot area 1250
(116.13 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 62 Lac
@ 4,880 per sq.ft. (Negotiable)","Rai Pink City
Mahawadiya, Bhopal",2 Floors,5 to 10 Year Old    View Construction Status,[],"['Private Garden / Terrace', 'Water Storage']",[],East,Park/Garden,
"4 Bedroom House for sale in Ashoka Garden, Bhopal","sector -b,h no.4",₹61 Lac,"₹12,577 /sqft",Ready To Move,"Perfect family triplex home, prime location near bhopal railway station,very comfortable and bathroom on every floor with modular kitchen.","Plot area 485
(45.06 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room","₹ 61 Lac
@ 12,577 per sq.ft. (Negotiable)","sector -b,h no.4
Ashoka Garden, Bhopal",3 Floors,5 to 10 Year Old,"['1 Fridge', '1 Sofa', '1 Geyser', '3 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Light', 'No Microwave', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,,
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Aakriti Aqua City,₹50 Lac,"₹4,347 /sqft",Ready To Move,"Mansarovar duplex ( Covered campus) east facing with modular kitchen etc , curtains etc , very spacious rooms.","Plot area 1150
(106.84 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 50 Lac+ Govt Charges & Tax
@ 4,347 per sq.ft.","Aakriti Aqua City
Hoshangabad Road, Bhopal",2 Floors,10+ Year Old,"['1 Bed', '7 Fan', '1 Exhaust Fan', '7 Light', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 Bedroom House for sale in New Minal Residency, Bhopal","New Minal Residency, Bhopal",₹75 Lac,"₹9,375 /sqft",Ready To Move,E type property in new minal residency and in old minal residency 2%commission is mandatory,"Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 9,375 per sq.ft. (Negotiable)","New Minal Residency, Bhopal",1 Floors,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road,Others",
"2 Bedroom House for sale in Awadhpuri, Bhopal",Girnar Hills,₹28 Lac,"₹3,733 /sqft",Ready To Move,"Covered campus, clean and gated community , well maintained .","Plot area 560
(52.03 sq.m.)
Built Up area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 28 Lac
@ 3,733 per sq.ft. (Negotiable) View Price Details","Girnar Hills
Awadhpuri, Bhopal",2 Floors,1 to 5 Year Old,[],"['Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Club",
"5 Bedroom House for sale in Ruchi Lifescape, Bhopal","Ruchi Lifescape, Bhopal",₹1 Cr,"₹6,856 /sqft",Under Construction,"Check out this 5 bhk house (Corner and garden facing ) for sale in ruchi lifescape, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential property boasts proximity to key landmarks like close to metro station, close to school and close to market. This house occupies a built up area of 1458 sqft and super built up area of 3400 sq.Ft. And contains 5 bedrooms, 6 bathrooms and 3 balconies. This 5 bhk house comes attached with 3 open parking for your vehicle(s). This villa is currently under construction stage and you can expect to get the immediate possession of the property.This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 1 crore. Many of the modern amenities being offered, like park and visitor parking, will provide a pleasant living experience for you. The house provides continuous water supply with individual bore hole of 240 ft and borewell/tank. This is a north-East-Facing property. The house is under construction and can be modified as per requirements.","Plot area 1458.5
(135.5 sq.m.)
Built Up area: 3400 sq.ft. (315.87 sq.m.)  
sq.ft.","5 Bedrooms , 6 Bathrooms, 3 Balconies","₹ 1 Crore
@ 6,856 per sq.ft. (Negotiable)",", Bhopal",2 Floors,,[],"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",[],North-East,"Park/Garden,Club,Main Road",Within 3 months
"4 Bedroom House for sale in Bawadia Kalan, Bhopal",Shaligram Rudraksh Kingston,Price on Request,,Under Construction,"Shaligram rudraksh kingston is a residential development in huzur, bhopal. The project is built by shaligram developers bhopal. They provide 1bhk, 3bhk, 4bhk, 5bhk apartments and villa with all necessities.",,,,,,,[],[],"[{'Connectivity': '3.9 out of 5'}, {'Lifestyle': '3.9 out of 5'}, {'Safety': '3.8 out of 5'}, {'Green Area': '4 out of 5'}]",,,
"4 Bedroom House for sale in Katara Hills, Bhopal",Fast Track Heavens Life,₹95 Lac,"₹6,333 /sqft",Ready To Move,"House/villa available on sell in hoshangabad road, bhopal. Contact us for price details.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2300 sq.ft. (213.68 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Others","₹ 95 Lac
@ 6,333 per sq.ft.","Fast Track Heavens Life
Katara Hills, Bhopal",2 Floors,1 to 5 Year Old,[],"['Maintenance Staff', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
