society,colony,property_type,price,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,mainarea,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
rudraksh kasturi,salaiya,Flat,67.99,3885,5.0,East,3,3,2,1750.0,0,0,0,0,0,0,1,67,Amenity Facing Homes
girnar hills,awadhpuri,Flat,23.0,3622,1.0,,2,2,2,635.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
anupam kasturi,bhopal,House,40.0,7619,3.0,,2,1,1,525.0,0,0,0,0,0,0,1,22,Road Facing Homes
naveen nagar,bhopal,House,180.0,18750,2.0,North,4,4,1,960.0,0,0,0,0,0,0,0,3,Road Facing Homes
chanakyapuri,chuna bhatti,House,150.0,10000,2.0,,3,4,2,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
hoshangabad road,hoshangabad road,House,259.99,18571,4.0,,4,5,1,1400.0,0,1,0,1,1,0,1,22,Amenity Facing Homes
yashoda desire,bagmuliya,Flat,59.99,3833,1.0,West,3,3,3,1565.0,0,0,0,0,0,0,0,28,Green View Homes
bairagarh,bairagarh,House,39.99,5925,1.0,,3,3,0,675.0,0,0,0,0,0,0,1,0,Road Facing Homes
trilanga,shahpura,House,199.98,9523,2.0,East,6,7,3,2100.0,0,0,1,1,0,0,0,13,Green View Homes
bagsewaniya,bagmuliya,House,294.98,10350,2.0,East,4,4,1,2850.0,0,0,0,1,0,0,0,31,Amenity Facing Homes
maharshi patanjali,gandhinagar,Flat,7.0,1272,1.0,,1,1,1,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
gulmohar g3,shahpura,House,600.0,30769,1.0,North-East,4,4,1,1950.0,0,0,0,0,0,0,0,9,Green View Homes
omen residency,habib ganj,Flat,26.0,4031,2.0,,1,1,1,645.0,0,0,0,1,0,0,0,22,Road Facing Homes
nirupam royal palms,hoshangabad road,Flat,22.0,2588,4.0,West,2,1,1,850.0,0,0,0,0,0,0,1,51,Amenity Facing Homes
aerocity,gandhinagar,House,56.66,5666,1.0,South-West,3,4,2,1000.0,0,0,0,0,0,0,1,25,Green View Homes
ramayan south avenue,katara hills,House,100.0,8333,2.0,,3,3,1,1200.0,0,0,0,0,0,0,1,70,Green View Homes
kalapani,outside bhopal,House,110.0,6111,2.0,North,4,2,2,1800.0,0,0,0,0,1,0,1,3,Green View Homes
agrawal sagar landmark,ayodhya bypass,Flat,74.99,3797,7.0,North,4,4,3,1975.0,0,0,0,0,0,0,0,56,Amenity Facing Homes
katara hills,katara hills,House,78.0,6500,1.0,East,2,2,1,1200.0,0,0,0,1,0,0,1,14,Green View Homes
laharpur,bagmuliya,House,277.2,9240,2.0,South,4,3,2,3000.0,1,1,0,0,1,0,1,8,Green View Homes
asnani pebble bay phase 2,katara hills,House,174.66,8733,2.0,North,3,3,2,2000.0,0,0,0,1,0,0,1,9,Green View Homes
signature residency,shirdipuram,Flat,81.99,4823,2.0,East,3,3,2,1700.0,0,0,0,0,0,0,0,62,Amenity Facing Homes
lalita nagar,gehu kheda,House,99.99,3333,1.0,North,6,6,2,3000.0,0,0,0,0,0,0,1,21,Road Facing Homes
f-sectorkolar road,kolar road,House,39.0,520,2.0,North,3,2,1,7500.0,0,0,0,0,0,0,1,8,Road Facing Homes
kalpana nagar,piplani,House,199.99,8333,2.0,,5,4,2,2400.0,0,0,0,0,0,0,1,19,Road Facing Homes
harisiddhi apartment s2,bhopal,Flat,26.0,3933,2.0,,2,2,0,661.0,0,0,0,0,0,0,1,0,Road Facing Homes
signature residency,shirdipuram,Flat,129.99,724,6.0,,4,3,3,17954.0,0,0,0,0,0,0,1,93,Amenity Facing Homes
geet skyville,ayodhya bypass,Flat,34.99,2333,6.0,,2,2,3,1500.0,0,0,0,0,0,1,0,27,Green View Homes
kolar road,kolar road,House,45.0,3333,1.0,,3,3,0,1350.0,0,0,0,0,0,0,1,13,Road Facing Homes
krishna colony,neelbad,House,59.0,3856,1.0,North,3,2,0,1530.0,0,0,0,0,0,0,1,9,Road Facing Homes
sagar pearl phase 2,hoshangabad road,Flat,58.0,5800,3.0,North,3,2,2,1000.0,0,0,0,0,0,0,0,45,Green View Homes
bda flats,piplani,Flat,45.0,3750,1.0,,2,1,2,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
sagar eden garden,hoshangabad road,Flat,45.0,3409,3.0,,3,2,2,1320.0,0,0,0,0,0,0,1,0,Road Facing Homes
sanjeev nagar,gandhinagar,House,170.02,3696,1.0,West,7,6,3,4600.0,0,0,0,0,0,0,1,7,Green View Homes
gomti colony,bhopal,House,125.0,10417,2.0,,4,4,2,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
sector c shahpura,shahpura,House,48.0,8000,1.0,North,2,2,1,600.0,0,0,0,0,0,0,1,9,Green View Homes
vasundhara parisar teela jamalpura,shahjahanabad,Flat,24.99,2617,4.0,North,4,4,1,955.0,0,0,0,0,0,0,0,73,Road Facing Homes
radha apartment bhagat singh chowk,shahjahanabad,Flat,12.0,2962,2.0,East,1,1,1,405.0,0,0,0,0,0,0,1,3,Road Facing Homes
aakriti garden,central bhopal,House,175.0,7000,1.0,West,3,3,2,2500.0,0,0,0,0,0,0,1,0,Road Facing Homes
new minal residency,bhopal,House,301.92,12580,1.0,West,4,3,3,2400.0,1,0,0,1,0,0,0,24,Green View Homes
raj minal residency,ayodhya bypass,Flat,25.0,5000,3.0,,1,1,1,500.0,0,0,0,0,0,0,1,65,Road Facing Homes
sanjeev nagar,gandhinagar,House,114.99,7666,2.0,West,8,5,3,1500.0,0,0,0,1,0,0,0,7,Green View Homes
bharati niketan,habib ganj,House,150.0,10000,2.0,East,5,4,2,1500.0,0,0,0,0,0,0,1,9,Green View Homes
rajved colony,gehu kheda,House,31.0,5166,2.0,North,4,3,1,600.0,0,0,0,1,0,0,1,6,Road Facing Homes
swadesh red square,misrod,House,340.0,10625,2.0,East,5,5,2,3200.0,1,1,1,1,0,0,1,85,Amenity Facing Homes
fortune soumya atlantis,katara hills,Flat,22.0,2355,2.0,West,2,2,2,934.0,0,0,0,0,0,0,1,42,Amenity Facing Homes
victoria appts.,shahjahanabad,Flat,35.0,4545,3.0,,2,2,1,770.0,0,0,0,0,0,0,1,9,Road Facing Homes
patel nagar colony,patel nagar,House,46.53,5816,2.0,East,2,2,1,800.0,0,0,0,0,0,0,0,24,Road Facing Homes
landmark the prospera,bagmuliya,Flat,23.0,3066,0.0,,2,2,1,750.0,0,0,0,0,0,0,1,35,Green View Homes
fine avenue phase 2,bhopal,House,70.0,5833,1.0,East,3,2,2,1200.0,0,0,0,1,1,0,1,0,Road Facing Homes
gopal nagar,patel nagar,House,79.54,6363,2.0,,3,2,2,1250.0,0,0,0,0,0,0,1,13,Road Facing Homes
saket nagar,habib ganj,House,269.99,10588,2.0,North-East,5,4,3,2550.0,1,1,0,0,0,0,1,22,Road Facing Homes
bhel nagar,ayodhya bypass,House,65.0,4333,1.0,West,3,3,0,1500.0,0,0,1,0,0,0,1,0,Road Facing Homes
karond,karond,House,70.0,7000,2.0,West,4,2,1,1000.0,0,0,0,0,1,0,0,4,Green View Homes
khajuri,bhopal,House,68.99,2156,2.0,,2,2,2,3200.0,0,0,0,1,0,0,1,0,Road Facing Homes
ikon kanha greens,bawadia kalan,Flat,42.01,2593,4.0,,3,3,0,1620.0,0,0,0,0,0,0,1,8,Amenity Facing Homes
girnar hills,awadhpuri,Flat,19.5,2191,2.0,East,3,2,2,890.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
shobharam gaud apartment,habib ganj,Flat,22.75,3033,2.0,,2,1,1,750.0,0,0,0,0,0,0,0,0,Road Facing Homes
ayodhya nagar,ayodhya nagar,House,38.0,4750,2.0,,3,3,0,800.0,0,0,0,0,0,0,1,3,Road Facing Homes
landmark the prospera,bagmuliya,Flat,55.99,4666,4.0,East,3,2,2,1200.0,0,0,0,0,0,0,0,35,Green View Homes
kolar,kolar road,House,25.0,5555,1.0,West,3,3,0,450.0,0,0,0,0,0,0,1,10,Amenity Facing Homes
karod,karond,House,50.0,6666,3.0,,5,7,3,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
globus coral woods,misrod,Flat,74.87,4593,3.0,,4,4,2,1630.0,1,0,0,0,0,0,1,30,Amenity Facing Homes
sagar residency,arera colony,Flat,15.0,3000,3.0,,1,1,1,500.0,0,0,0,0,0,0,1,3,Road Facing Homes
awadhpuri,awadhpuri,House,95.0,7600,2.0,,4,5,0,1250.0,0,0,0,0,0,0,1,4,Green View Homes
18 down hills,bawadia kalan,House,480.0,15000,3.0,,5,8,3,3200.0,1,1,1,1,0,0,1,22,Road Facing Homes
bhojpal shri radhakrishna residency,hoshangabad road,House,129.63,9259,2.0,,4,4,2,1400.0,0,0,0,0,0,0,1,21,Green View Homes
kamal the bellaire,gandhinagar,Flat,30.0,3000,4.0,,2,2,3,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
pink homes,awadhpuri,Flat,14.0,3500,0.0,,1,1,0,400.0,0,0,0,0,0,0,1,0,Road Facing Homes
lig flats,central bhopal,Flat,43.0,10804,1.0,,1,1,1,398.0,0,0,0,0,0,0,0,0,Road Facing Homes
globus coral woods,misrod,Flat,86.99,5605,2.0,,4,4,2,1552.0,0,1,0,0,0,0,1,91,Amenity Facing Homes
amrit south avenue,shahpura,House,499.98,16666,2.0,South-West,3,3,1,3000.0,0,0,0,0,0,0,1,0,Road Facing Homes
people world,karond,House,27.0,6750,2.0,,4,2,1,400.0,0,0,0,0,0,0,1,20,Road Facing Homes
narela jod ayodhya bypass,ayodhya bypass,House,315.0,21000,3.0,East,2,2,2,1500.0,0,1,0,0,1,0,1,4,Green View Homes
noor mahal ashok colony,bhopal,House,499.99,9259,1.0,North-East,4,3,2,5400.0,1,1,0,0,0,0,0,27,Green View Homes
jeevan sagar apartment,bhopal,Flat,50.0,6666,1.0,East,2,2,2,750.0,0,0,0,1,1,0,0,2,Road Facing Homes
saikripa apartment mandakini colony kolar road,bhopal,Flat,37.99,3830,2.0,East,2,2,2,992.0,0,0,0,0,0,0,0,50,Green View Homes
lambakheda,navi bagh,House,54.99,3928,1.0,,3,2,0,1400.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
ratibad,neelbad,House,58.33,138888,2.0,,5,5,0,42.0,0,0,0,0,0,0,1,8,Road Facing Homes
shri rameshwaram,bagmuliya,House,201.98,8015,1.0,North-East,3,3,1,2520.0,0,0,0,0,0,0,1,85,Road Facing Homes
laharpur,bagmuliya,House,35.0,4861,1.0,,2,2,0,720.0,0,0,0,0,1,0,1,8,Green View Homes
ayodhya nagar,ayodhya nagar,House,130.0,7879,2.0,,4,2,0,1650.0,0,0,0,0,0,0,1,3,Road Facing Homes
imperial harmony,katara hills,Flat,30.0,2222,4.0,South-East,3,2,2,1350.0,0,0,0,0,0,0,1,24,Green View Homes
hoshanganad road,bagmugaliya,House,161.33,7333,2.0,North,5,4,2,2200.0,1,0,0,1,1,0,1,22,Green View Homes
ashoka garden,ashoka garden,House,105.0,4200,3.0,East,4,5,1,2500.0,0,0,0,0,0,0,1,27,Road Facing Homes
geet mohini flats,ayodhya bypass,Flat,7.35,2989,0.0,South,1,1,0,246.0,0,0,0,0,0,0,1,0,Road Facing Homes
jeet homes,ayodhya bypass,Flat,22.21,3120,5.0,South,2,1,1,712.0,0,0,0,0,0,1,1,65,Road Facing Homes
mandakini colony,shahpura,House,179.99,8571,2.0,South-West,5,4,3,2100.0,0,0,0,0,0,0,1,0,Road Facing Homes
shiva whispering woods,salaiya,Flat,45.0,4245,4.0,,3,2,0,1060.0,0,0,0,0,0,0,1,25,Green View Homes
bharat nagar karam veer nagar,piplani,House,125.0,8333,2.0,,3,2,2,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
keelandev apartments,central bhopal,Flat,224.99,11166,3.0,East,3,4,3,2015.0,0,1,0,0,0,0,1,35,Premium Scenic Homes
dilip nandgaon,bagmugaliya,House,132.64,6632,3.0,West,7,3,2,2000.0,0,0,0,0,0,0,2,13,Green View Homes
lambakheda,navi bagh,House,29.0,3222,1.0,,3,2,0,900.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
girnar hills,awadhpuri,House,34.99,4666,2.0,,2,2,2,750.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
simran residency,govindpura,Flat,33.62,3539,2.0,East,3,2,2,950.0,0,0,1,0,0,0,0,55,Road Facing Homes
aks land mark sector a,bhopal,House,150.0,6250,1.0,,4,4,0,2400.0,0,0,0,0,0,0,1,0,Road Facing Homes
natraj society,misrod,Flat,35.0,3500,2.0,East,3,2,2,1000.0,0,0,0,0,0,0,1,45,Road Facing Homes
paras heights,ayodhya bypass,Flat,30.49,2839,6.0,,3,3,2,1074.0,1,0,0,0,0,0,0,19,Green View Homes
ville panache,salaiya,Flat,75.07,5142,6.0,,3,2,3,1460.0,0,0,0,0,0,0,1,66,Amenity Facing Homes
bx sector rajharsh colony kolar road,gehu kheda,House,84.33,7666,2.0,West,3,3,1,1100.0,0,0,0,0,1,0,0,3,Road Facing Homes
agrawal sagar golden palm,katara hills,Flat,25.0,3846,2.0,West,2,2,1,650.0,0,0,0,0,0,0,0,82,Green View Homes
aakriti aqua city,hoshangabad road,House,70.88,5250,2.0,,3,2,1,1350.0,1,0,0,1,0,0,1,9,Green View Homes
agrawal sagar pearl phase 1,hoshangabad road,House,265.46,11061,2.0,East,4,4,3,2400.0,1,0,0,1,1,0,0,56,Premium Scenic Homes
sage suncity,katara hills,House,75.0,9615,2.0,,3,3,2,780.0,0,0,0,0,0,0,1,71,Green View Homes
drishti city,kolar road,Flat,29.85,2388,4.0,,3,2,2,1250.0,0,0,0,0,0,0,1,43,Amenity Facing Homes
ibd hallmark citii,mahawadiya,Flat,14.92,1953,3.0,North,3,2,1,764.0,0,0,0,0,0,1,1,12,Road Facing Homes
fortune kasturi,hoshangabad road,Flat,36.99,2850,1.0,East,2,2,2,1298.0,0,0,0,0,0,0,1,46,Amenity Facing Homes
sagar royal villas,bagmugaliya,Flat,37.99,2171,4.0,,3,3,2,1750.0,0,0,0,0,0,0,0,59,Amenity Facing Homes
bda flats,piplani,Flat,24.99,2777,3.0,,2,2,1,900.0,0,0,0,0,0,0,1,0,Road Facing Homes
on request,piplani,Flat,17.0,3090,0.0,East,2,2,1,550.0,0,0,0,0,0,0,1,3,Road Facing Homes
harshit lifestyle,gandhinagar,Flat,40.0,4255,1.0,,3,2,1,940.0,0,0,0,0,0,0,1,28,Amenity Facing Homes
shirdipuram,shirdipuram,House,114.99,10454,2.0,East,4,4,2,1100.0,0,0,0,0,0,0,1,48,Green View Homes
krishna nagar street no 2,bypass road,House,15.0,2727,1.0,,1,1,1,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
bangrasia,bhopal,House,70.0,5833,1.0,East,2,2,1,1200.0,0,0,0,0,0,0,1,3,Road Facing Homes
awadhpuri,awadhpuri,House,85.0,7391,3.0,East,4,5,2,1150.0,0,0,0,1,0,0,1,4,Green View Homes
karond,karond,House,95.0,2111,3.0,,7,6,0,4500.0,0,0,0,0,0,0,1,4,Green View Homes
kolar road,kolar road,House,80.0,5333,2.0,East,4,4,2,1500.0,0,0,0,0,0,0,1,13,Road Facing Homes
sheetal dham society,mandideep,Flat,25.0,3333,1.0,,2,2,1,750.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
jd kasturi vihar,misrod,House,170.05,10628,2.0,East,3,4,1,1600.0,0,0,0,1,0,0,0,7,Road Facing Homes
dk devsthali,arera colony,House,134.99,10384,3.0,,3,3,2,1300.0,0,1,0,1,0,0,1,9,Green View Homes
hoshangabad road,bhopal,Flat,35.0,3608,5.0,North,2,2,1,970.0,0,0,0,0,0,0,1,22,Amenity Facing Homes
crystal ideal city,awadhpuri,House,279.98,11666,3.0,,5,3,0,2400.0,0,0,0,0,0,0,1,4,Road Facing Homes
nariyalkheda,karond,House,75.0,7500,2.0,,2,1,0,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
trilanga,shahpura,House,149.99,7692,2.0,East,4,5,2,1950.0,0,0,0,0,1,0,0,9,Road Facing Homes
neelbad,neelbad,House,50.0,3834,1.0,,2,2,1,1304.0,0,0,0,0,0,0,1,42,Road Facing Homes
pushpa nagar,bhopal,House,69.99,5154,2.0,South,3,2,0,1358.0,1,0,0,1,0,0,1,0,Green View Homes
hoshangabad road,hoshangabad road,House,250.0,22563,2.0,,4,4,0,1108.0,0,0,0,0,0,0,1,22,Amenity Facing Homes
sector c indrapuri,piplani,House,449.99,16304,2.0,,8,5,3,2760.0,0,0,0,0,0,0,1,0,Road Facing Homes
maharishi patanjali parisar,gandhinagar,Flat,13.5,2250,4.0,East,2,1,1,600.0,0,0,0,0,1,0,1,44,Green View Homes
raj minal residency,ayodhya bypass,House,258.78,7013,3.0,East,5,4,3,3690.0,1,1,0,1,1,0,0,65,Road Facing Homes
,awadhpuri,Flat,22.0,2444,0.0,,2,2,0,900.0,0,0,0,0,0,0,1,0,Road Facing Homes
western courtyard,shirdipuram,Flat,85.0,5667,4.0,South-West,4,4,0,1500.0,0,0,0,0,0,0,1,36,Road Facing Homes
bairagarh,bairagarh,House,42.0,3500,3.0,,3,2,0,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
jdn kasturi smart city,misrod,House,69.99,8641,2.0,East,3,3,1,810.0,0,0,0,0,0,0,1,9,Road Facing Homes
chinarr 7th mile,outside bhopal,House,25.0,3125,,,2,2,1,800.0,0,0,0,0,0,0,1,16,Green View Homes
regal nest,awadhpuri,Flat,22.0,3554,4.0,East,2,2,1,619.0,0,0,0,0,0,0,1,23,Green View Homes
lila atulyam,salaiya,Flat,42.23,3071,7.0,,3,3,2,1375.0,0,0,0,0,0,0,1,59,Green View Homes
sunrise colony,shahjahanabad,House,541.63,10416,2.0,East,6,6,1,5200.0,0,0,0,1,0,0,2,10,Road Facing Homes
sudha apartment,kolar road,Flat,20.0,6666,3.0,,1,1,2,300.0,0,0,0,0,0,0,1,0,Road Facing Homes
gammon shrishti cbd,central bhopal,Flat,314.99,12475,8.0,East,4,5,3,2525.0,0,1,0,0,0,0,1,69,Amenity Facing Homes
unitech unihomes,gehu kheda,Flat,16.59,2242,5.0,East,2,2,3,740.0,0,0,0,0,0,0,1,41,Amenity Facing Homes
sarvadharm colony,kolar road,Flat,15.3,2125,2.0,North,2,2,2,720.0,0,0,0,0,1,0,0,8,Road Facing Homes
rosewood enclave,hoshangabad road,Flat,43.75,3125,2.0,,3,3,2,1400.0,0,0,0,0,0,0,0,71,Amenity Facing Homes
tirupati abhinav homes ayodhya bypass,ayodhya bypass,House,94.99,9178,2.0,,3,3,1,1035.0,0,0,0,0,0,0,1,4,Road Facing Homes
panchvati market,bhopal,House,234.99,15666,2.0,East,4,3,1,1500.0,0,0,0,0,0,0,1,8,Road Facing Homes
metro ashiyana,hoshangabad road,Flat,35.0,3286,5.0,North-East,2,2,1,1065.0,0,0,0,0,0,0,1,0,Green View Homes
fortune divine city,hoshangabad road,Flat,21.14,3020,4.0,,2,2,1,700.0,0,0,0,0,0,0,1,45,Green View Homes
lakhumal nikhil nestles,hoshangabad road,Flat,32.99,3666,6.0,West,2,2,1,900.0,0,0,0,0,0,0,0,59,Amenity Facing Homes
fortune soumya heritage,misrod,Flat,35.0,2800,5.0,,3,2,1,1250.0,0,0,0,0,0,0,0,62,Amenity Facing Homes
appartment,lalgathi,Flat,26.0,3466,2.0,,2,2,1,750.0,0,0,0,0,0,0,1,17,Green View Homes
satya prakash nice space,gandhinagar,Flat,25.09,2788,3.0,West,2,2,3,900.0,0,0,0,0,0,0,1,105,Amenity Facing Homes
abhi homes,aishbagh,Flat,50.0,5000,0.0,,3,2,0,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
swastik grand,misrod,Flat,27.0,2000,6.0,,3,4,2,1350.0,0,0,0,0,0,0,1,0,Road Facing Homes
salaiya,salaiya,House,282.68,14134,2.0,West,4,4,2,2000.0,0,0,0,0,0,0,1,16,Amenity Facing Homes
soumya parklands,awadhpuri,Flat,29.99,2661,4.0,,3,2,2,1127.0,0,0,0,0,0,0,0,48,Road Facing Homes
mp rachna towers,govindpura,Flat,170.0,9742,9.0,East,4,5,3,1745.0,1,1,0,0,0,0,2,28,Amenity Facing Homes
unihomes,chuna bhatti,Flat,17.0,2267,1.0,,2,2,0,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
sourabh colony,bhopal,House,30.0,3333,1.0,,2,2,2,900.0,0,0,0,0,0,0,1,0,Road Facing Homes
agrawal sagar eden garden,bagmugaliya,Flat,74.99,4166,5.0,,4,4,2,1800.0,0,0,0,0,0,0,0,43,Amenity Facing Homes
aakriti enclave,shahpura,Flat,31.0,4428,4.0,East,2,2,2,700.0,0,0,0,0,0,0,1,28,Green View Homes
ibd raisina,patel nagar,House,128.0,7111,2.0,West,10,6,3,1800.0,0,1,0,0,0,0,1,11,Amenity Facing Homes
nikhil devalaya pristine,bawadia kalan,Flat,67.99,4689,6.0,East,3,3,2,1450.0,0,0,0,0,0,0,0,35,Premium Scenic Homes
priyadarshini the athenaeum,bawadia kalan,House,399.98,13764,3.0,,7,8,3,2906.0,0,1,1,1,0,0,1,16,Road Facing Homes
my city,outside bhopal,House,48.0,5333,2.0,,4,2,2,900.0,0,0,0,0,1,0,1,0,Road Facing Homes
mandideep,mandideep,House,82.0,5125,2.0,East,10,7,2,1600.0,0,1,0,0,0,0,1,8,Road Facing Homes
sagar royal villas,bagmuliya,Flat,44.99,4285,5.0,,3,2,2,1050.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
ayodhya nagar,ayodhya bypass,House,22.0,5597,2.0,North,2,2,1,393.0,0,0,0,0,0,0,1,3,Road Facing Homes
luxe residences,bhopal,Flat,165.0,6600,5.0,North-East,4,4,2,2500.0,0,0,0,1,1,1,1,26,Road Facing Homes
e8 arera colony,arera colony,House,265.0,11736,2.0,North,6,6,2,2258.0,1,1,1,1,0,0,2,44,Green View Homes
fortune kasturi,hoshangabad road,Flat,59.99,5796,4.0,East,3,2,2,1035.0,1,0,1,1,0,0,0,105,Amenity Facing Homes
krishna nagar,bhopal,House,6.25,1388,1.0,East,2,2,1,450.0,0,0,0,0,0,0,1,7,Road Facing Homes
awadhpuri,awadhpuri,House,65.0,8125,2.0,East,3,3,1,800.0,0,0,0,0,0,0,1,4,Amenity Facing Homes
tilak society,lalgathi,House,115.28,8539,2.0,,3,3,1,1350.0,0,0,0,0,0,0,1,13,Road Facing Homes
janki apartments,kolar road,Flat,37.0,2960,5.0,,3,2,2,1250.0,0,0,0,0,0,0,0,9,Green View Homes
akashganga colony,bhopal,House,423.94,12396,3.0,South,5,6,3,3420.0,0,0,0,0,0,0,0,13,Green View Homes
airport road,gandhinagar,House,369.98,13703,1.0,,3,2,1,2700.0,0,0,0,0,0,0,1,38,Road Facing Homes
globus greens,lalgathi,House,210.0,14000,2.0,,4,3,1,1500.0,0,0,0,0,0,0,1,19,Amenity Facing Homes
nariyalkheda,karond,House,87.5,5833,3.0,South,3,2,1,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
satya prakash nice space,gandhinagar,Flat,32.14,2844,6.0,,3,3,3,1130.0,0,0,0,0,0,0,1,51,Green View Homes
saket nagar,habib ganj,House,218.75,8750,2.0,North,4,3,2,2500.0,1,0,0,0,1,0,1,22,Green View Homes
covered campus society,hoshangabad road,Flat,75.57,6571,10.0,East,3,3,2,1150.0,0,0,0,0,1,0,0,35,Premium Scenic Homes
gopal nagar,patel nagar,House,69.99,4666,1.0,,2,2,0,1500.0,0,0,0,0,0,0,1,13,Road Facing Homes
kolar,kolar road,House,40.0,5000,,,2,2,2,800.0,0,0,0,0,0,0,1,10,Amenity Facing Homes
aishbagh,aishbagh,House,28.0,87500,,,4,1,0,32.0,0,0,0,0,1,0,1,20,Green View Homes
faith imperial height,chuna bhatti,Flat,25.0,2744,1.0,South-East,2,2,3,911.0,0,0,0,0,0,0,1,0,Road Facing Homes
danish nagar d-1,bagmugaliya,Flat,499.97,13888,0.0,,13,14,2,3600.0,0,1,0,0,0,0,0,0,Road Facing Homes
chinarr dream city,misrod,Flat,18.4,2000,3.0,,3,2,1,920.0,0,0,0,0,0,0,1,22,Green View Homes
c21 corporate park,hoshangabad road,Flat,26.0,3250,4.0,,2,2,1,800.0,0,0,0,0,0,0,0,51,Green View Homes
chinar fortune city,bhopal,House,120.0,8333,2.0,East,4,4,2,1440.0,0,0,0,0,0,0,1,0,Amenity Facing Homes
western courtyard,shirdipuram,Flat,71.42,4683,6.0,West,4,4,1,1525.0,0,0,0,0,0,0,0,36,Road Facing Homes
soumya tulip heights,kolar road,Flat,16.5,3000,0.0,,1,1,0,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
khajuri kalan,khajuri kalan,House,118.0,7375,2.0,East,3,5,1,1600.0,1,0,0,1,0,0,1,3,Road Facing Homes
fortune soumya heritage,misrod,Flat,24.5,2606,4.0,East,2,2,1,940.0,0,0,0,0,0,0,1,73,Amenity Facing Homes
rsr opel orris,misrod,Flat,32.0,3131,1.0,East,3,2,2,1022.0,0,0,0,0,0,0,1,30,Amenity Facing Homes
bypass road,bypass road,House,110.01,4527,1.0,,4,3,3,2430.0,0,0,0,0,0,0,1,0,Green View Homes
