pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"3 BHK Flat in Rasla Khedi, Bhopal",BM Coral Casa,₹34 Lac,"₹3,238 /sqft",Ready To Move,Sale my flats interesting person contact my no,"Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 34 Lac
@ 3,238 per sq.ft. (All inclusive)","BM Coral Casa
Rasla Khedi, Bhopal",6th   of 7 Floors,,5 to 10 Year Old,"['1 Fan', '1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,
"2 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹26 Lac,"₹3,058 /sqft",Ready To Move,Reserve parking 2nd floor 2 washroom Generator back up Near ashima mall Big kitchen area Corner flat,"Super Built up area 990
(91.97 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 26 Lac
@ 3,058 per sq.ft. (Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",2nd   of 6 Floors,"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old,[],"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Hoshangabad Road, Bhopal",Sterling Globe Grand,₹1 Cr,"₹10,521 /sqft",Ready To Move,I want to sell my flat no f-1 and f-2 on plot no 4 shree shidhi vinayak complex sterling globe grand phase 3 situated at bawadiya kalan ward 53 p. H. 18 tehsil huzur dist bhopal. Flat is complete hall and there is no badrooms in flat. My property is on rent and from 1st month onwards purchaser gets rent approx 20k to 25k.,"Carpet area: 88.3   
sq.m.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 1 Crore
@ 1,13,250 per sq.m.","Sterling Globe Grand
Hoshangabad Road, Bhopal",1st   of 3 Floors,Main Road,1 to 5 Year Old,[],"['Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-East,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹30 Lac,"₹3,000 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in agrawal sagar golden palm, katara hills, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac
@ 3,000 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",2nd   of 7 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Khajuri Kalan , Bhopal",Shriram Sai Parisar,₹24 Lac,"₹2,666 /sqft",Ready To Move,Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a unfurnished property.Located in khajuri kalan .Available at an expected price of rs 2400000.Located on 1st floor out of the 4 the property comes with a good construction quality which ages 1-5 years old property,"Super Built up area 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 24 Lac
@ 2,666 per sq.ft. (Negotiable)","Shriram Sai Parisar
Khajuri Kalan , Bhopal",1st   of 4 Floors,Main Road,1 to 5 Year Old    View Construction Status,[],['Rain Water Harvesting'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Lambakheda, Bhopal",Ganga Jamuna Apartments,₹13 Lac,"₹2,015 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in ganga jamuna apartments, lambakheda, bhopal. This apartment is a 1-5 year old property, priced approximately at rs. 2000 per sq. Ft. Or rs. 1300000. It is a resale and a ready to move in apartment. The unit is located on the 1st floor and has a super built-Up area of 645. 0 sq. Ft. It has bathroom(s). The ownership is freehold type.","Super Built up area 645
(59.92 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 13 Lac+ Govt Charges & Tax
@ 2,015 per sq.ft. (All inclusive, Negotiable)","Ganga Jamuna Apartments
Lambakheda, Bhopal",1st   of 3 Floors,,10+ Year Old,[],"['Maintenance Staff', 'Park', 'Visitor Parking']",[],West,
"3 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹48 Lac,"₹4,266 /sqft",Ready To Move,"It is close to dmart , mall and other amenities that make life convenient. It have spacious living room , a well designed kitchen and a comfortable bedrooms.","Carpet area: 1125
(104.52 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 48 Lac
@ 4,266 per sq.ft. (Negotiable)","SARC Pacific Blue
Hoshangabad Road, Bhopal",2nd   of 6 Floors,,5 to 10 Year Old,"['4 Wardrobe', '4 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Airport Road, Bhopal",Harshit Lifestyle,₹33 Lac,"₹2,869 /sqft",Ready To Move,Luxurious 3 bhk apartment with all the modern amenities,"Built Up area: 1150
(106.84 sq.m.)
Carpet area: 940 sq.ft. (87.33 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 33 Lac+ Govt Charges & Tax
@ 2,869 per sq.ft. (Negotiable) View Price Details","Harshit Lifestyle
Airport Road, Bhopal",2nd   of 6 Floors,"Park/Garden,Club,Main Road,Others",0 to 1 Year Old    View Construction Status,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"3 BHK Flat in Arera Colony, Bhopal",BABA Apartments E7 Arera Colony,₹50 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in baba apartments e7 arera colony, near 11 no bus stop behind chitransh college, bhopal. This semifurnished apartment is a 10+ year old property, priced rs. 5000000 (Negotiable). It is a resale and a ready to move in apartment. The unit is located on the 2nd floor and has a super built-Up area of 1300 sq. Ft. It has marble flooring. It has 2 bathroom(S) and 4 balalcony(S). The ownership is freehold type. The property offers the best in class facilities such as park, visitor parking and water storage. It is positioned in a gated society. The apartment has 1 covered parking.","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1240 sq.ft. (115.2 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3+ Balconies","₹ 50 Lac
@ 3,333 per sq.ft.","BABA Apartments E7 Arera Colony
Arera Colony, Bhopal",2nd   of 3 Floors,,10+ Year Old,[],"['Park', 'Visitor Parking', 'Water Storage', 'Maintenance Staff']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Kolar Road, Bhopal",Ujjawala Aamra Valley,₹36 Lac,"₹3,512 /sqft",Ready To Move,Its a garden facing big room size 2 bhk,"Super Built up area 1025
(95.23 sq.m.)
Carpet area: 775 sq.ft. (72 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36 Lac
@ 3,512 per sq.ft. (Negotiable)","Ujjawala Aamra Valley
Kolar Road, Bhopal",2nd   of 6 Floors,"Pool,Park/Garden,Club,Main Road,Others",1 to 5 Year Old,"['1 Bed', '2 Wardrobe', '1 Water Purifier', '1 Sofa', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-West,
"2 BHK Flat in Indrapuri, Bhopal",BDA Flats,₹25 Lac,"₹2,777 /sqft",Ready To Move,Indrapuri j k on road coming metro,"Carpet area: 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,777 per sq.ft. (Negotiable)","BDA Flats
Indrapuri, Bhopal",3rd   of 3 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹65 Lac,"₹4,482 /sqft",Ready To Move,"3 bhk apartment for sale luxury living in bhopals most reputed & scenic campus - Danish hills view, kolar","Carpet area: 1450
(134.71 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 4,482 per sq.ft.","Danish Hills View
Kolar Road, Bhopal",4th   of 4 Floors,Park/Garden,5 to 10 Year Old,"['2 Bed', '2 Wardrobe', '4 Fan', '1 Fridge', '6 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 BHK Flat in Sector C Indrapuri, Bhopal",Indrapuri Apartments,₹21 Lac,"₹3,818 /sqft",Ready To Move,"Indrapuri apartments is one of the most popular destination for buying apartments/ flats in sector c indrapuri, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 550 sq.Ft. The residential building has 4 floors in total and the flat for sale is located on the 2nd floor. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move.","Carpet area: 550
(51.1 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 21 Lac
@ 3,818 per sq.ft.","Indrapuri Apartments
Sector C Indrapuri, Bhopal",2nd   of 4 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹50 Lac,"₹3,424 /sqft",Ready To Move,"For sale: Freshly renovated 3-Bhk, 1,460 sq ft ready to move","Super Built up area 1460
(135.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 50 Lac+ Govt Charges & Tax
@ 3,424 per sq.ft. (Negotiable)","SARC Pacific Blue
Hoshangabad Road, Bhopal",4th   of 7 Floors,,1 to 5 Year Old,"['6 Wardrobe', '3 Fan', '1 Geyser', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Shivaji Nagar, Bhopal",Ankur Complex,₹50 Lac,"₹6,369 /sqft",Ready To Move,"Its a prime well-Connected, posh, clean location of the city with railway station, business hub of the city (Mp nagar), mall, hospitals, hotels, locality market area, veggie vendors reachable within 5-10 minutes (Within 3 kilometers). House is clean, well-Lit, spacious, well-Maintained, access to the terrace safe (With a security guard, cctv surveillance), complex has its own temple, park and cultural area,","Carpet area: 785
(72.93 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 50 Lac
@ 6,369 per sq.ft. (Negotiable)","Ankur Complex
Shivaji Nagar, Bhopal",4th   of 4 Floors,"Park/Garden,Club,Main Road",10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Geyser', '1 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-West,
