pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"9 Bedroom House for sale in Harshavardhan Nagar, Bhopal","Harshavardhan Nagar, Bhopal",₹1.4 Cr,"₹7,777 /sqft",Ready To Move,"Mig 96,big bunglow ,harshvardhan nagar,near manit,rose marry school, 1813 sq feet plot,8 bedroam,6 let bath,3 hall,1 temple,2 close and 5 open car parking, built up,3200 sq feet ,good for residential with rent or guest house,hospital and school also 100 mtr from link road 3,price: 1.5 cr","Plot area 1800
(167.23 sq.m.)
Built Up area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.","9 Bedrooms , 6 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room","₹ 1.4 Crore+ Govt Charges & Tax
@ 7,777 per sq.ft. (All inclusive)","Harshavardhan Nagar, Bhopal",2 Floors,South-East,,10+ Year Old,"['2 Bed', '4 Fan', '1 Sofa', '1 Geyser', '2 AC', '2 TV', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']",[],
"4 Bedroom House for sale in New Minal Residency, Bhopal","New Minal Residency, Bhopal",₹92.8 Lac,"₹5,458 /sqft",Ready To Move,"Best location new minal , 4 bedroom, modular kitchen, pooja ghar.","Plot area 800
(74.32 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1700 sq.ft. (157.94 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 92.8 Lac
@ 5,458 per sq.ft.","New Minal Residency, Bhopal",2 Floors,West,,5 to 10 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '5 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Waste Disposal'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Shirdipuram, Bhopal",Signature Residency,₹1.15 Cr,"₹7,986 /sqft",Ready To Move,Prime location property is 50meter away from on 80 feet road jk hospital road manakhni to jk hospital kolar bhopal,"Plot area 1440
(133.78 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room","₹ 1.15 Crore
@ 7,986 per sq.ft. (Negotiable)","Signature Residency
Shirdipuram, Bhopal",,East,Park/Garden,5 to 10 Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Dining Table', '1 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Bed', '1 Sofa', '1 Microwave', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Stove', 'No Wardrobe', 'No Washing Machine']",[],[],
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹1.1 Cr,"₹8,986 /sqft",Ready To Move,4bhk duplex at hoshangabad road,"Plot area 1224
(113.71 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 1.1 Crore+ Govt Charges & Tax
@ 8,986 per sq.ft.","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",2 Floors,,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Kolar, Bhopal","Gehukheda, Coverd campus",₹48 Lac,"₹5,925 /sqft",Ready To Move,"Ground floor +2 , independent house, 1 big hall -540 square feet, and another hall -16*10,, enough ground water, personal tube well, electric meter,, near d mart, close to 6 lane kolar highway.. 4 bed room, enough open space at terrace,, lord hanuman temple in society,, cc road ,,","Plot area 810
(75.25 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 2 Balconies with Study Room","₹ 48 Lac
@ 5,925 per sq.ft. (Negotiable)","Gehukheda, Coverd campus
Kolar, Bhopal",3 Floors,West,Main Road,1 to 5 Year Old,[],[],[],
"4 Bedroom House for sale in Patel Nagar, Bhopal",IBD Raisina,₹75 Lac,"₹7,142 /sqft",Ready To Move,Tncp rera approved project ibd raisinna patel nagar near original college and nri college,"Plot area 1050
(97.55 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 75 Lac
@ 7,142 per sq.ft.","IBD Raisina
Patel Nagar, Bhopal",3 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Katara Hills, Bhopal",Trebhuvan Vihar,₹75 Lac,"₹6,000 /sqft",Ready To Move,"House have car parking,3 rooms ,kitchen ,2 wash areas ,1 hall ,near to school , collage,","Plot area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 75 Lac+ Govt Charges & Tax
@ 6,000 per sq.ft. (Negotiable)","Trebhuvan Vihar
Katara Hills, Bhopal",1 Floors,,"Park/Garden,Main Road",1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Katara Hills, Bhopal",Trebhuvan Vihar,₹95 Lac,"₹7,600 /sqft",Ready To Move,"Only 5 year old house having 2 wash areas and 3 bed room,1 kichan and 1 hall, in front car parking area .","Plot area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 95 Lac+ Govt Charges & Tax
@ 7,600 per sq.ft. (Negotiable)","Trebhuvan Vihar
Katara Hills, Bhopal",1 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹1.45 Cr,"₹6,590 /sqft",Ready To Move,"Semi commercial , corner house, two side road, narmada water connection, east facing,","Plot area 2200
(204.39 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Servant Room","₹ 1.45 Crore
@ 6,590 per sq.ft. (All inclusive)","Ayodhya Nagar, Bhopal",3 Floors,North-East,Main Road,10+ Year Old,"['2 Wardrobe', '1 Exhaust Fan', '15 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Low Density Society', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Rohit Nagar, Bhopal","Rohit Nagar, Bhopal",₹1.5 Cr,"₹15,000 /sqft",Ready To Move,Good investment opportunity. Can yield upto 40k rent per month.,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","4 Bedrooms , 7 Bathrooms, No Balcony","₹ 1.5 Crore+ Govt Charges & Tax
@ 15,000 per sq.ft. (Negotiable)","Rohit Nagar, Bhopal",2 Floors,East,,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Piped-gas', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 Bedroom House for sale in Samardha, Bhopal","Samardha, Bhopal",₹24.5 Lac,"₹4,083 /sqft",Ready To Move,"2 no of individual houses for sale, plot size 600sqft,built up area 1150 sqft.. Getting rental income of 6500rs per month. Genuine buyers, please contact me","Plot area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 24.5 Lac+ Govt Charges & Tax
@ 4,083 per sq.ft.","Samardha, Bhopal",1 Floors,,,10+ Year Old,[],[],[],
"2 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹24 Lac,"₹3,692 /sqft",Ready To Move,Ghar me independent tubel h or two rooms or one hall aur one bathroom h,"Plot area 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 24 Lac
@ 3,692 per sq.ft.","Ayodhya Nagar, Bhopal",1 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Lambakheda, Bhopal","Lambakheda, Bhopal",₹55 Lac,"₹3,928 /sqft",Ready To Move,"We have a house/villa available for sale in lambakheda, bhopal. Available at price of rs 55 lacs. It has plot area of 1400 sq ft. It has 3 bhk, 2 bathroom, 0 balcony.It is a freehold property","Plot area 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 55 Lac
@ 3,928 per sq.ft.","Lambakheda, Bhopal",1 Floors,,,5 to 10 Year Old,[],[],[],
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Globus Coral Cottages,₹1.25 Cr,"₹8,333 /sqft",Ready To Move,Best duplex in coral cottage hoshangabad road bhopal,"Plot area 1500
(139.35 sq.m.)
Built Up area: 2300 sq.ft. (213.68 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room","₹ 1.25 Crore
@ 8,333 per sq.ft. View Price Details","Globus Coral Cottages
Hoshangabad Road, Bhopal",,West,"Pool,Others,Park/Garden,Club,Main Road",1 to 5 Year Old,"['3 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"8 Bedroom House for sale in Budhwara, Bhopal","Budhwara, Bhopal",₹1.2 Cr,"₹12,000 /sqft",Ready To Move,"Located in old city.Market ,hospital railwaystation with only 2kms away","Plot area 1000
(92.9 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","8 Bedrooms , 5 Bathrooms, 2 Balconies","₹ 1.2 Crore
@ 12,000 per sq.ft. (Negotiable)","Budhwara, Bhopal",3 Floors,,,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Trebhuvan Hari Puram,₹85 - 95 Lac,"₹5,483 /sqft",Ready To Move,"Trebhuvan hari puram in hoshangabad road, bhopal by trebhuvan ventures is a residential project. The project offers villa with perfect combination of contemporary architecture and features to provide comfortable living. The villa are of the following configurations: 3bhk and 4bhk. The area of the villa is from 150.5 sq. Mt to 172.8 sq. Mt Trebhuvan hari puram price ranges from 47.50 lacs to 53.50 lacs. Trebhuvan hari puram offers facilities such as gymnasium.It also has amenities like jogging track and lawn tennis court. The project has indoor activities such as skating rink. It also offers services like community hall. It also offers car parking. Bank loan approved from hdfc home loans, canara bank and axis bank. It is an under construction project with few units already sold out. The project is spread over a total area of 5 acres of land. It has 50% of open space. The construction is of 2 floors. An accommodation of 91 units has been provided. You can find trebhuvan hari puram price list on 99acres.Com. Trebhuvan hari puram brochure is also available for easy reference. About city: The real estate market of bhopal shows positivity with increasing demands from buyers and supply from developers. With improving physical infrastructure that better connects the micro-Markets of the city, bhopal has seen a positive impact on the realty market. Other factors that support the real estate of this city are presence of excellent healthcare centers, educational institutes and recreational centers in almost every part of the city.",,,,,,,,,[],[],"[{'Connectivity': '4 out of 5'}, {'Lifestyle': '4.3 out of 5'}, {'Safety': '4.1 out of 5'}, {'Green Area': '4.2 out of 5'}]",
"3 Bedroom House for sale in Karamveer Nagar, Bhopal","Karamveer Nagar, Bhopal",₹3.5 Cr,"₹23,333 /sqft",Ready To Move,"Interested to sell independent house/villa.It is a 5 to 10 years old constructionplaced at karmveer nagar.2200 sq.Ft.(Builtup area) , 1500 sq.Ft.(Plot area) is the area of the propertyit has spacious 3 bedrooms and 4 bathrooms. .Want to sell it for 3.5 crore amenities:Feng shui / vaastu compliant parking space for car and bike. Washing area also available.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3+ Balconies with Pooja Room,Servant Room","₹ 3.5 Crore
@ 23,333 per sq.ft. View Price Details","Karamveer Nagar, Bhopal",2 Floors,East,Main Road,5 to 10 Year Old,[],['Feng Shui / Vaastu Compliant'],[],
"7 Bedroom House for sale in Ashoka Garden, Bhopal",Sundar Nagar,₹65 Lac,"₹6,500 /sqft",Ready To Move,"My property is nearly 2km from main railway station, everything is nearby to the area.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","7 Bedrooms , 5 Bathrooms, 1 Balcony with Others","₹ 65 Lac+ Govt Charges & Tax
@ 6,500 per sq.ft. (All inclusive, Negotiable)","Sundar Nagar
Ashoka Garden, Bhopal",2 Floors,North,Main Road,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Ayodhya Bypass , Bhopal",Om Ganpati Abode,₹44 - 68 Lac,"₹7,916 /sqft",Ready To Move,"Om ganpati abode in ayodhya bypass , bhopal by om construction and builders is a residential project. The project offers villa with perfect combination of contemporary architecture and features to provide comfortable living. The villa are of the following configurations: 1bhk and 3bhk. The area of the villa is from 41.81 sq. Mt to 119.29 sq. Mt Om ganpati abode price ranges from 20.00 lacs to 40.00 lacs. Om ganpati abode offers facilities such as gymnasium.It also has amenities like jogging track and swimming pool. The project has indoor activities such as pool table. It also offers car parking. Bank loan approved from hdfc home loans and state bank of india. It is an under construction project with possession offered in mar, 2021. The project is spread over a total area of 5.31 acres of land. It has 25% of open space. The construction is of 2 floors. An accommodation of 185 units has been provided. You can find om ganpati abode price list on 99acres.Com. Om ganpati abode brochure is also available for easy reference. About city: The real estate market of bhopal shows positivity with increasing demands from buyers and supply from developers. With improving physical infrastructure that better connects the micromarkets of the city, bhopal has seen a positive impact on the realty market. Other factors that support the real estate of this city are presence of excellent healthcare centers, educational institutes and recreational centers in almost every part of the city.",,,,,,,,,[],[],"[{'Connectivity': '4.2 out of 5'}, {'Lifestyle': '4.1 out of 5'}, {'Safety': '3.9 out of 5'}, {'Green Area': '4.1 out of 5'}]",
"2 Bedroom House for sale in Teela Jamalpura, Bhopal","Teela Jamalpura, Bhopal",₹30 Lac,"₹6,666 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in teela jamalpura, bhopal and make it your new address. This residential house is located close to close to railway station, close to school, close to hospital and close to market. This house occupies a super built up area of 450 sq.Ft. And contains 2 bedrooms, 2 bathrooms and 1 balcony. The houses comes with dedicated 1 open parking space(s) where you can easily park your vehicle(s). This is a ready to move house, which is 1-5 years old. The ownership right of this property is freehold. By paying just 30 lac, you can become the proud owner of this independent house. You can enjoy additional wellness features and amenities such as fitness centre / gym, that are part of this housing locality. The independent house provides access to clean water through borewell/tank supply. This independent house is facing the west direction. The beautifully designed vitrified flooring enhances the beauty of this independent house.","Plot area 450
(41.81 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 6,666 per sq.ft. (Negotiable)","Teela Jamalpura, Bhopal",2 Floors,East,"Main Road,Park/Garden,Others",1 to 5 Year Old,"['2 Wardrobe', '6 Fan', '15 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 Bedroom House for sale in Borda, Bhopal",Chinarr 7th Mile,₹25 Lac,"₹3,125 /sqft",Ready To Move,"Peaceful environment ,hill view","Plot area 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,125 per sq.ft.","Chinarr 7th Mile
Borda, Bhopal",,,,1 to 5 Year Old,[],[],[],
"8 Bedroom House for sale in Nishatpura, Bhopal",nagar nigam colony,₹90 Lac,"₹6,000 /sqft",Ready To Move,Good rental property Good road connectivity Hospitals,"Plot area 1500
(139.35 sq.m.)
Built Up area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.","8 Bedrooms , 8 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 90 Lac
@ 6,000 per sq.ft. (All inclusive, Negotiable)","nagar nigam colony
Nishatpura, Bhopal",2 Floors,North,Park/Garden,5 to 10 Year Old,[],['Park'],[],
"5 Bedroom House for sale in Gandhinagar, Bhopal","Gandhinagar, Bhopal",₹2.5 Cr,"₹7,812 /sqft",Under Construction,"New luxury 5 bhk house for sale in paras trinity colony, bhopal","Plot area 3200
(297.29 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 2 Balconies with Pooja Room,Study Room,Store Room","₹ 2.5 Crore
@ 7,812 per sq.ft.","Gandhinagar, Bhopal",2 Floors,,"Park/Garden,Main Road,Club",Under Construction,"['1 Water Purifier', '1 Geyser', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Private Garden / Terrace', 'Centrally Air Conditioned', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Barkhera Pathani, Bhopal",shanti nagar berkhera pathni,₹10 Lac,"₹2,083 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in barkhera pathani, bhopal and make it your new address. This residential house is located close to close to school, close to market and close to hospital. Constructed on a super built up area of 480 sq.Ft., this house comprises 3 bedrooms, 1 bathroom . The owner of the house also gets 1 open parking slot(s) to park their car safely. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 10 lac. The independent house provides access to clean water through municipal corporation supply.","Plot area 480
(44.59 sq.m.)  
sq.ft.","3 Bedrooms , 1 Bathroom, No Balcony","₹ 10 Lac
@ 2,083 per sq.ft. (Negotiable)","shanti nagar berkhera pathni
Barkhera Pathani, Bhopal",0 Floors,,,10+ Year Old,[],[],[],
