pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 BHK Flat in TT Nagar, Bhopal",Gammon Shrishti CBD,₹2.4 Cr,"₹11,532 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in tt nagar is available for sale in one of bhopal's most popular projects, gammon shrishti cbd. This property faces the east direction. The flat occupies a super built up area of 2081 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. This flat is situated on the 13th floor of this 22 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The beautifully designed marble flooring enhances the beauty of the flat. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance, lift(s), security personnel, maintenance staff and visitor parking will make life easier for you. This residential project ensures a 24*7 water supply for its residents.","Super Built up area 2081
(193.33 sq.m.)
Carpet area: 1246 sq.ft. (115.76 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3+ Balconies with Servant Room
View Floor Plan","₹ 2.4 Crore
@ 11,532 per sq.ft. (Negotiable) View Price Details","Gammon Shrishti CBD
TT Nagar, Bhopal",13rd   of 22 Floors,East,"Pool,Park/Garden,Club,Main Road",1 to 5 Year Old,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹33 Lac,"₹2,640 /sqft",Ready To Move,These are very good flat in fortune soumya heritge on hoshangabad road bhopal,"Carpet area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 33 Lac
@ 2,640 per sq.ft. View Price Details","Fortune Soumya Heritage
Misrod, Bhopal",2nd   of 6 Floors,,"Club,Park/Garden",5 to 10 Year Old    View Construction Status,"['3 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in TT Nagar, Bhopal",Gammon Shrishti CBD,₹2.5 Cr,"₹12,013 /sqft",Ready To Move,"Gammon shrishti cbd is one of the most popular destination for buying apartments/ flats in tt nagar, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is east-Facing. Constructed on a super built up area of 2081 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconies. The property is located on the 10th floor of a 22 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using marble flooring, giving the flat an alluring look. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance, lift(s), security personnel and maintenance staff.","Super Built up area 2081
(193.33 sq.m.)
Carpet area: 1246 sq.ft. (115.76 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3+ Balconies with Servant Room","₹ 2.5 Crore
@ 12,013 per sq.ft. View Price Details","Gammon Shrishti CBD
TT Nagar, Bhopal",10th   of 22 Floors,East,"Park/Garden,Club,Pool",1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bawadia Kalan, Bhopal",Aakar Canal Kinship,₹56 Lac,"₹3,771 /sqft",Ready To Move,"Located in the popular residential address of bawadia kalan, bhopal, aakar canal kinship is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. The flat is facing the east direction. The flat is over 1485 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 1st floor. This is a ready to move project and the property is 1-5 years old. The well built marble flooring enhances the aesthetic appeal of this flat. The society is well equipped with many modern amenities, including club house / community center and lift(s).","Super Built up area 1485
(137.96 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 56 Lac
@ 3,771 per sq.ft. (Negotiable) View Price Details","Aakar Canal Kinship
Bawadia Kalan, Bhopal",1st   of 6 Floors,East,"Park/Garden,Club,Main Road",1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 BHK Flat in Bawadia Kalan, Bhopal",Ultimate Sky Villas,₹2.5 Cr,"₹10,000 /sqft",Ready To Move,"Check out this 5 bhk apartment for sale in ultimate sky villas, a popular residential project that houses in-Demand flats in bawadia kalan, bhopal. The flat occupies a carpet area of 2500 sq.Ft. That consists of 5 bedrooms, 4 bathrooms and 3 balconies. The residential building has 6 floors in total and the flat for sale is located on the top floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. Price - 2,50,00,000/- Crore (Abhinav group)","Carpet area: 2500
(232.26 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 2.5 Crore
@ 10,000 per sq.ft. View Price Details","Ultimate Sky Villas
Bawadia Kalan, Bhopal",6th   of 6 Floors,,Park/Garden,1 to 5 Year Old,"['5 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bawadia Kalan, Bhopal",Aakar Canal Kinship,₹55 Lac,"₹3,703 /sqft",Ready To Move,"Aakar canal kinship is one of the most popular destination for buying apartments/ flats in bawadia kalan, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. This is a east-Facing property. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1485 sq.Ft. The property is located on the top floor of a 6 floors tall building. This 5-10 years old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. This flat is located near close to market, close to school and close to hospital. Aakar canal kinship is designed very well to provide modern facilities such as club house / community center, lift(s), maintenance staff, visitor parking and park. This residential project ensures a 24*7 water supply for its residents.","Super Built up area 1485
(137.96 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 55 Lac
@ 3,703 per sq.ft. View Price Details","Aakar Canal Kinship
Bawadia Kalan, Bhopal",6th   of 6 Floors,East,Park/Garden,5 to 10 Year Old    View Construction Status,"['1 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in MP Nagar, Bhopal",Keelandev Apartments,₹2.25 Cr,"₹11,166 /sqft",Ready To Move,3.5bhk flat sale Coverd campus society Near by db mall Call me further details,"Carpet area: 2015
(187.2 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room","₹ 2.25 Crore
@ 11,166 per sq.ft. (Negotiable) View Price Details","Keelandev Apartments
MP Nagar, Bhopal",3rd   of 10 Floors,East,"Pool,Main Road,Park/Garden,Others,Sea facing,Club",0 to 1 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹55 Lac,"₹4,583 /sqft",Ready To Move,These are very good flat in coral woods on hoshangabad road bhopal,"Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony with Study Room","₹ 55 Lac
@ 4,583 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",5th   of 6 Floors,,"Main Road,Club,Park/Garden,Pool,Others",1 to 5 Year Old    View Construction Status,"['4 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Swimming Pool', 'Park', 'Piped-gas', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Bawadia Kalan, Bhopal",Aakriti The Nest,₹35 Lac,"₹5,384 /sqft",Ready To Move,It's very premium society very spacious n luxurious society,"Carpet area: 650
(60.39 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 35 Lac
@ 5,384 per sq.ft. View Price Details","Aakriti The Nest
Bawadia Kalan, Bhopal",2nd   of 6 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹42 Lac,"₹2,333 /sqft",Ready To Move,It's newly constructed flat fresh property clear n beautiful society,"Carpet area: 1800
(167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 42 Lac
@ 2,333 per sq.ft. View Price Details","Shiva Whispering Woods
Salaiya, Bhopal",5th   of 6 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Chuna Bhatti, Bhopal",chuna bhati,₹45 Lac,"₹3,600 /sqft",Ready To Move,"A beautiful 2 bhk apartment inchuna bhati kolar road, bhopal. The property is a part of apolo. It is a resale property in a promising locality. This well-Designed new property is ready to move in. It is located on the 4th floor. The property ownership is co-Operative society type and has a super built-Up area of 1200. 0 sq. Ft. The price of the property is estimated at rs. 3500000 the price is negotiable. The apartment is 0-1 year old. With 2 balcony(s) and 2 bathroom(s),. 1 covered parking and 1 open parking.","Super Built up area 1250
(116.13 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 45 Lac+ Govt Charges & Tax
@ 3,600 per sq.ft. (Negotiable) View Price Details","chuna bhati
Chuna Bhatti, Bhopal",2nd   of 6 Floors,East,"Main Road,Pool",5 to 10 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Sofa', '1 Geyser', '2 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Sant Asharam Nagar Phase 2, Bhopal",KUNDAN NAGAR,₹25 Lac,"₹3,846 /sqft",Ready To Move,"Kundan nagar is one of bhopal's most sought after destination for apartments and this 2 bhk flat in sant asharam nagar phase 2 is your opportunity to be a part of this community. The flat is north-Facing. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 650 sq.Ft. The residential building has 2 floors in total and the flat for sale is located on the top floor. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to market, close to school and close to hospital. Kundan nagar is designed very well to provide modern facilities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff and water softening plant. You enjoy a 24*7 access to water in your flat.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,846 per sq.ft. View Price Details","KUNDAN NAGAR
Sant Asharam Nagar Phase 2, Bhopal",2nd   of 2 Floors,North,,10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",[],
"3 BHK Flat in Bawadia Kalan, Bhopal",Vishnu Hitech City,₹44 Lac,"₹3,666 /sqft",Ready To Move,"Vishnu hitech city is one of the most popular destination for buying apartments/ flats in bawadia kalan, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. This is a north-Facing property. The flat occupies a super built up area of 1200 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The property is located on the 4th floor of a 6 floors tall building. This 10+ years old property is available for immediate possession as the project is ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. This flat is located near close to market, close to school and close to hospital. The flat will offer a modern lifestyle as it is presented with many of the amenities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff, water softening plant and visitor parking. You enjoy a 24*7 access to water in your flat.","Super Built up area 1200
(111.48 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 44 Lac
@ 3,666 per sq.ft. (Negotiable) View Price Details","Vishnu Hitech City
Bawadia Kalan, Bhopal",4th   of 6 Floors,North,Park/Garden,10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Bawadia Kalan, Bhopal",Aakar Canal Kinship,₹30 Lac,"₹4,109 /sqft",Ready To Move,"Situated in bawadia kalan, bhopal, aakar canal kinship is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in bhopal is your opportunity to be a part of this community. This residential flat is north-Facing direction. Containing 2 bedroom(s), 1 bathroom and 1 balcony, this flat is spread over a super built up area of 730 sq.Ft. The flat has a total of 6 floors and this property is situated on 4th floor. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. This residential property is situated near close to market, close to school and close to hospital. The society is well equipped with many modern amenities, including club house / community center, lift(s), visitor parking and park. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.","Super Built up area 730
(67.82 sq.m.)
Built Up area: 540 sq.ft. (50.17 sq.m.)
Carpet area: 500 sq.ft. (46.45 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 30 Lac
@ 4,109 per sq.ft. View Price Details","Aakar Canal Kinship
Bawadia Kalan, Bhopal",4th   of 6 Floors,North,Main Road,5 to 10 Year Old    View Construction Status,"['2 Wardrobe', '2 Bed', '3 Fan', '1 Sofa', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Visitor Parking', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
