pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"7 Bedroom House for sale in Chuna Bhatti, Bhopal",Hills View Bunglow,₹5.45 Cr,"₹5,450 /sqft",Ready To Move,"For sale: A beautiful and ultra-Spacious 7bhk bungalow located in bhopal's prime chunabhatti area, near bansal hospital square, offering seamless connectivity to arera hills and charimli, surrounded by a lush green environment and nestled in a posh residential locality, this fully furnished home features a-Class construction, high-Quality interiors, a modern modular kitchen, power backup, a private lift, and ample parking spacemaking it an ideal blend of luxury, comfort, and convenience.","Plot area 3982
(369.94 sq.m.)
Built Up area: 12000 sq.ft. (1114.84 sq.m.)
Carpet area: 10000 sq.ft. (929.03 sq.m.)  
sq.ft.","7 Bedrooms , 7 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 5.45 Crore+ Govt Charges & Tax
@ 5,450 per sq.ft. (All inclusive, Negotiable) View Price Details","Hills View Bunglow
Chuna Bhatti, Bhopal",4 Floors,1 to 5 Year Old,"['1 Water Purifier', '8 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '6 Bed', '8 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No TV']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,"Main Road,Park/Garden",
"4 Bedroom House for sale in Sonagiri, Bhopal","Sonagiri, Bhopal",₹95 Lac,"₹10,857 /sqft",Ready To Move,"Park-Facing, east-Facing independent house in sonagiri sector-B. This beautiful 2.5-Story building features modern architecture, modular kitchen and an awe-Inspiring interior design. Spacious layout, abundant natural light, and premium finishes make it a perfect blend of comfort and elegance.","Plot area 850
(78.97 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 95 Lac
@ 10,857 per sq.ft.","Sonagiri, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"2 Bedroom House for sale in Katara Hills, Bhopal",Devki Nikunj Heights,₹27 Lac,"₹3,590 /sqft",Ready To Move,"Nikunj heights , near st. Fransis school , katara hills,","Plot area 752
(69.86 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac
@ 3,590 per sq.ft. View Price Details","Devki Nikunj Heights
Katara Hills, Bhopal",,1 to 5 Year Old,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"4 Bedroom House for sale in Sehore Road, Bhopal","Sehore Road, Bhopal",₹2.5 Cr,"₹16,666 /sqft",Ready To Move,"Looking for buyer to purchase our house/villa available for sale in sehore, bhopal. Available at price of rs 2.5 crores. It has plot area of 1500 sq ft. It has 4 bhk, 10 bathroom, 4 balcony.It is a power of attorney property","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3+ Balconies","₹ 2.5 Crore
@ 16,666 per sq.ft.","Sehore Road, Bhopal",3 Floors,1 to 5 Year Old,[],[],[],,,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹60 Lac,"₹8,571 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in shivnagar, bhopal. Available at price of rs 60 lacs. It has plot area of 700 sq ft. It has 1 rk, 4 bathroom, 1 balcony.It is a freehold property","Plot area 700
(65.03 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 60 Lac
@ 8,571 per sq.ft.","Hoshangabad Road, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Katara Hills, Bhopal",Ramayan South Avenue,₹1 Cr,"₹8,333 /sqft",Ready To Move,Hello we are move in panjab so that's why sell my house call me if any one interested,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 1 Crore
@ 8,333 per sq.ft. (All inclusive)","Ramayan South Avenue
Katara Hills, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Crystal Campus, Bhopal","crystal campus, awadhpuri",₹85 Lac,"₹7,727 /sqft",Ready To Move,03 bhk duplex available in crystal ideal city,"Plot area 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 85 Lac
@ 7,727 per sq.ft. (Negotiable)","crystal campus, awadhpuri
Crystal Campus, Bhopal",2 Floors,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],,,
"4 Bedroom House for sale in Kolar Road, Bhopal",Rajharsh colony kolar road,₹40 Lac,"₹6,666 /sqft",Ready To Move,"Self constructed independent house inclusive 4 living rooms, 2 halls, 2 kitchens,4 bathrooms, 2 store rooms and 2/4 wheeler parking space. Cc road till house and with around connectivity, nagar nigam water supply.","Plot area 600
(55.74 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony with Store Room","₹ 40 Lac+ Govt Charges & Tax
@ 6,666 per sq.ft. (All inclusive, Negotiable)","Rajharsh colony kolar road
Kolar Road, Bhopal",1 Floors,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Bhojpal Shri Radhakrishna Residency,₹1 Cr,"₹9,259 /sqft",Ready To Move,Broad road parking area near hosangabad road west facing,"Plot area 1080
(100.34 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1 Crore
@ 9,259 per sq.ft.","Bhojpal Shri Radhakrishna Residency
Hoshangabad Road, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 Bedroom House for sale in Neelbad, Bhopal","Neelbad, Bhopal",₹58 Lac,"₹7,435 /sqft",Ready To Move,"Check out this 2 bhk house for sale in neelbad, a popular residential locality that contains many of the in-Demand properties in bhopal. Another plus point for the house is that it is situated near close to hospital, close to school, close to market and close to mall. This house occupies a super built up area of 780 sq.Ft. And contains 2 bedrooms, 2 bathrooms and 1 balcony. As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. This independent house is available at an attractive price of 58 lac. All the modern amenities such as visitor parking will make life easier for you. Borewell/tank and municipal corporation provides a regular supply of water to this residential house. The residential house is west-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 780
(72.46 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 58 Lac+ Govt Charges & Tax
@ 7,435 per sq.ft. (Negotiable)","Neelbad, Bhopal",2 Floors,1 to 5 Year Old,[],"['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Main Road,
"4 Bedroom House for sale in Kalpana Nagar, Bhopal","Kalpana Nagar, Bhopal",₹54.9 Lac,"₹3,050 /sqft",Ready To Move,"Good news for all! I want to sell a spacious 1000 sq. Ft., 4-Bhk duplex of my friend urgently. It is located near sonagiri, sundar nagar, ayodhya bypass road, bhopal.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 54.9 Lac+ Govt Charges & Tax
@ 3,050 per sq.ft.","Kalpana Nagar, Bhopal",2 Floors,10+ Year Old,[],['Visitor Parking'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South,,
"2 Bedroom House for sale in Gandhinagar, Bhopal",Maharishi Patanjali Parisar,₹12.5 Lac,"₹2,777 /sqft",Ready To Move,Near to airport and all facilities available,"Plot area 450
(41.81 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 12.5 Lac+ Govt Charges & Tax
@ 2,777 per sq.ft. (All inclusive, Negotiable)","Maharishi Patanjali Parisar
Gandhinagar, Bhopal",,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"1 Bedroom House for sale in Gandhinagar, Bhopal",Maharishi Patanjali Parisar,₹12.5 Lac,"₹2,777 /sqft",Ready To Move,Al facilities available. Near to airport and railway station,"Plot area 450
(41.81 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 12.5 Lac+ Govt Charges & Tax
@ 2,777 per sq.ft. (All inclusive, Negotiable)","Maharishi Patanjali Parisar
Gandhinagar, Bhopal",1 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 Bedroom House for sale in Karond, Bhopal",Elixir Greens,₹55 Lac,"₹4,761 /sqft",Ready To Move,2 bhk + terrace in well maintained society. Ideal for families.,"Plot area 1050
(97.55 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 55 Lac+ Govt Charges & Tax
@ 4,761 per sq.ft.","Elixir Greens
Karond, Bhopal",1 Floors,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"4 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹80 Lac,"₹4,336 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in bypass road, pilibhit. Available at price of rs 80 lacs. It has plot area of 205 sq yards. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 205
(171.41 sq.m.)  
sq.yards","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 80 Lac
@ 39,024 per sq.yards","Bypass Road, Bhopal",1 Floors,1 to 5 Year Old,[],[],[],,,
"3 Bedroom House for sale in Katara Hills, Bhopal",Fast Track Heavens Life,₹82 Lac,"₹6,833 /sqft",Ready To Move,"House for sale in heavens life, katara hills","Plot area 1200
(111.48 sq.m.)
Built Up area: 1900 sq.ft. (176.52 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 82 Lac
@ 6,833 per sq.ft. (Negotiable)","Fast Track Heavens Life
Katara Hills, Bhopal",2 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-West,Park/Garden,
"3 Bedroom House for sale in E 6 Arera Colony, Bhopal","E 6 Arera Colony, Bhopal",₹1.25 Cr,"₹13,888 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in narmadapuram deepak nagar, which is an ideal choice for a family. Containing 3 bedrooms, 2 bathrooms and 2 balconies, this independent house is spread over a super built up area of 900 sq.Ft. There are 2 covered & 4 open parking available with this house. As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. This independent house is available at an attractive price of 1.25 crore. All the modern amenities such as visitor parking will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is west-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 13,888 per sq.ft. (Negotiable) View Price Details","E 6 Arera Colony, Bhopal",1 Floors,10+ Year Old,"['4 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Visitor Parking'],[],West,Others,
"4 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹1.43 Cr,"₹7,751 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in bypass road, pilibhit. Available at price of rs 143 lacs. It has plot area of 205 sq yards. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 205
(171.41 sq.m.)  
sq.yards","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 1.43 Crore
@ 69,756 per sq.yards","Bypass Road, Bhopal",1 Floors,1 to 5 Year Old,[],[],[],,,
"2 Bedroom House for sale in Peoples Campus, Bhopal","Peoples Campus, Bhopal",₹25 Lac,"₹2,777 /sqft",Ready To Move,Call me on 73890 18915 ok whstap no h ye 83199 75813,"Plot area 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room,Others","₹ 25 Lac
@ 2,777 per sq.ft. (All inclusive, Negotiable)",", Bhopal",2 Floors,0 to 1 Year Old,"['1 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Maintenance Staff', 'Rain Water Harvesting']",[],North-East,"Park/Garden,Main Road",
"2 Bedroom House for sale in Arera Colony, Bhopal",Paras City,₹15 Lac,"₹2,500 /sqft",Under Construction,"We have a house/villa available for sale in vidisha road, bhopal. Available at price of rs 15 lacs. It has plot area of 600 sq ft. It has 2 bhk, 1 bathroom, 0 balcony.It is a freehold property","Plot area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 15 Lac
@ 2,500 per sq.ft.","Paras City
Arera Colony, Bhopal",1 Floors,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,By 2025
"3 Bedroom House for sale in Shiv Sangam Nagar, Bhopal","Shiv Sangam Nagar, Bhopal",₹20 Lac,"₹2,000 /sqft",Ready To Move,"New construction ,good entireor","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 20 Lac
@ 2,000 per sq.ft. (Negotiable)","Shiv Sangam Nagar, Bhopal",2 Floors,0 to 1 Year Old,[],[],[],,,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Globus Coral Cottages,₹1.5 Cr,"₹10,000 /sqft",Ready To Move,"East facing, overlooking park, back side open, duplex, independent house/villa. It has spacious 4 bedrooms and 4 bathrooms. Nice semi furnished, with good breeze and light. Enhancing decor located at hoshangabad road.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.5 Crore+ Govt Charges & Tax
@ 10,000 per sq.ft. (Negotiable)","Globus Coral Cottages
Hoshangabad Road, Bhopal",2 Floors,5 to 10 Year Old,"['2 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",Urban River,₹75 Lac,"₹7,500 /sqft",Ready To Move,"For sale 3 bhk duplex semi furnished in urban river bawadia kalan rohit nagar Price - 75,00,000/- Lakh (Vikrant)","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 7,500 per sq.ft. View Price Details","Urban River
Bawadia Kalan, Bhopal",1 Floors,1 to 5 Year Old    View Construction Status,"['3 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"4 Bedroom House for sale in Bhanpur, Bhopal",People World,₹27 Lac,"₹6,750 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in shiv nagar, bhopal. Available at price of rs 27 lacs. It has plot area of 400 sq ft. It has 4 rk, 2 bathroom, 1 balcony.It is a leasehold property","Plot area 400
(37.16 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac
@ 6,750 per sq.ft.","People World
Bhanpur, Bhopal",2 Floors,1 to 5 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Mandideep, Bhopal",Shree Ganesh Lotus Park,₹25 Lac,"₹3,472 /sqft",Ready To Move,If any one interested to purchase 2 house in same time will give in 4200000 final price for 2 houses,"Plot area 720
(66.89 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 25 Lac+ Govt Charges & Tax
@ 3,472 per sq.ft.","Shree Ganesh Lotus Park
Mandideep, Bhopal",1 Floors,5 to 10 Year Old    View Construction Status,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"2 Bedroom House for sale in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹25 Lac,"₹2,500 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in hoshangabad road, bhopal. Available at price of rs 2500000. It has plot area of 1000 sq ft. It has 2 bhk, 2 bathroom, 2 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25 Lac
@ 2,500 per sq.ft.","Hoshangabad Road, Bhopal",1 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
